num,app,alongwith,budget,ind_exec,exec,config,slowdown_p,slowdown_gt,success_p,success_gt,raw_qos,qos
2,swaptions,swaptions/ferret,21.938838958740234,6.642896413803101,6.744027376174927,num-300000,2.0,1.0152239258407958,True,True,96.20027589799918,0.7346635225411773
2,ferret,swaptions/ferret,1.9440078735351562,1.3722498416900635,1.399703025817871,hash-2-itr-12-probe-2,2.0,1.020005966328986,False,True,0.0,0.0
2,bodytrack,swaptions/bodytrack,8.757810831069946,2.857672691345215,2.909719705581665,layer-3-particle-1833,2.0,1.0182130775137685,True,True,3.553656390542353,0.6845800113356241
2,swaptions,swaptions/bodytrack,21.938838958740234,6.642896413803101,6.7415783405303955,num-300000,2.0,1.0148552559877715,True,True,96.20027589799918,0.7346635225411773
2,swaptions,swaptions/nn,21.938838958740234,6.642896413803101,7.27680516242981,num-300000,2.0,1.0954265593107138,True,True,96.20027589799918,0.7346635225411773
2,nn,swaptions/nn,21.02316689491272,12.970833778381348,13.311765670776367,batch-1-learning-12-regular-12,2.0,1.0262845009210784,False,True,0.0,0.0
2,swaptions,swaptions/facedetect,21.938838958740234,6.642896413803101,6.7209577560424805,num-300000,2.0,1.0117511003298467,True,True,96.20027589799918,0.7346635225411773
2,facedetect,swaptions/facedetect,98.80850052833557,21.4960834980011,21.8334002494812,eyes-0-pyramid-9-selectivity-1,2.0,1.0156920097333764,True,True,92.7307139386279,1.0
2,bodytrack,ferret/bodytrack,8.757810831069946,2.857672691345215,2.912484884262085,layer-3-particle-1833,2.0,1.019180710612127,True,True,3.553656390542353,0.6845800113356241
2,ferret,ferret/bodytrack,1.9440078735351562,1.3722498416900635,1.4043505191802979,hash-2-itr-12-probe-2,2.0,1.0233927354297954,False,True,0.0,0.0
2,ferret,ferret/nn,1.9440078735351562,1.3722498416900635,1.449333906173706,hash-2-itr-12-probe-2,2.0,1.056173491256305,False,True,0.0,0.0
2,nn,ferret/nn,21.02316689491272,12.970833778381348,13.45871090888977,batch-1-learning-12-regular-12,2.0,1.037613397784927,False,True,0.0,0.0
2,facedetect,ferret/facedetect,98.80850052833557,21.4960834980011,21.855438232421875,eyes-0-pyramid-9-selectivity-1,2.0,1.0167172189508007,True,True,92.7307139386279,1.0
2,ferret,ferret/facedetect,1.9440078735351562,1.3722498416900635,1.4061973094940186,hash-2-itr-12-probe-2,2.0,1.0247385474369197,False,True,0.0,0.0
2,bodytrack,bodytrack/nn,8.757810831069946,2.857672691345215,3.198009729385376,layer-3-particle-1833,2.0,1.1190958779397342,True,True,3.553656390542353,0.6845800113356241
2,nn,bodytrack/nn,21.02316689491272,12.970833778381348,13.361355543136597,batch-1-learning-12-regular-12,2.0,1.030107684010733,False,True,0.0,0.0
2,bodytrack,bodytrack/facedetect,8.757810831069946,2.857672691345215,2.897707939147949,layer-3-particle-1833,2.0,1.0140097387373948,True,True,3.553656390542353,0.6845800113356241
2,facedetect,bodytrack/facedetect,98.80850052833557,21.4960834980011,21.791351079940796,eyes-0-pyramid-9-selectivity-1,2.0,1.0137358780713313,True,True,92.7307139386279,1.0
