app,config,exec,slowdown
swaptions,num-1000000,22.78972840309143,1.0
ferret,hash-8-itr-4-probe-20,1.9939837455749512,1.0
bodytrack,layer-5-particle-4000,9.00434684753418,1.0
swaptions,num-1000000,22.814894676208496,1.0
swaptions,num-1000000,24.611047506332397,1.0
svm,batch-2-learning-34-regular-1,2.6351206302642822,1.0
swaptions,num-1000000,28.34545660018921,1.0
nn,batch-4-learning-56-regular-67,3.864684820175171,1.0
swaptions,num-1000000,22.686696767807007,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,5.776499509811401,1.0
bodytrack,layer-5-particle-4000,9.083202600479126,1.0
ferret,hash-8-itr-4-probe-20,1.9937057495117188,1.0
ferret,hash-8-itr-4-probe-20,2.166930675506592,1.0
svm,batch-2-learning-34-regular-1,2.681387186050415,1.0
ferret,hash-8-itr-4-probe-20,2.085045576095581,1.0
nn,batch-4-learning-56-regular-67,3.533308744430542,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,5.7825233936309814,1.0
ferret,hash-8-itr-4-probe-20,1.9903244972229004,1.0
bodytrack,layer-5-particle-4000,9.703537464141846,1.0
svm,batch-2-learning-34-regular-1,2.690201759338379,1.0
bodytrack,layer-5-particle-4000,11.305123090744019,1.0
nn,batch-4-learning-56-regular-67,3.5988495349884033,1.0
bodytrack,layer-5-particle-4000,9.035633563995361,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,5.7896647453308105,1.0
nn,batch-4-learning-56-regular-67,3.862722635269165,1.0
svm,batch-2-learning-34-regular-1,3.1654348373413086,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.189885139465332,1.0
svm,batch-2-learning-34-regular-1,2.6659016609191895,1.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.949496030807495,1.0
nn,batch-4-learning-56-regular-67,3.57283091545105,1.0
bodytrack,layer-5-particle-4000,9.244488000869751,1.0
swaptions,num-1000000,23.69328022003174,1.0
ferret,hash-8-itr-4-probe-20,2.005753993988037,1.0
swaptions,num-1000000,25.30014657974243,1.0
ferret,hash-8-itr-4-probe-20,2.1259243488311768,1.0
svm,batch-2-learning-34-regular-1,2.8043830394744873,1.0
swaptions,num-1000000,29.953016996383667,1.0
ferret,hash-8-itr-4-probe-20,2.1048707962036133,1.0
nn,batch-4-learning-56-regular-67,3.747973918914795,1.0
