app,config,exec,slowdown
swaptions,num-300000,6.844966888427734,2.0
ferret,hash-7-itr-12-probe-4,1.6702454090118408,2.0
bodytrack,layer-3-particle-2700,3.9979209899902344,2.0
swaptions,num-300000,6.890894412994385,2.0
swaptions,num-300000,8.15331506729126,2.0
svm,batch-5-learning-45-regular-23,3.6552536487579346,2.0
swaptions,num-300000,7.40938663482666,2.0
nn,batch-1-learning-100-regular-45,3.002110242843628,2.0
swaptions,num-300000,6.780560255050659,2.0
facedetect,eyes-0-pyramid-25-selectivity-0,5.740155935287476,2.0
bodytrack,layer-3-particle-2700,4.0194480419158936,2.0
ferret,hash-7-itr-12-probe-4,1.6827609539031982,2.0
ferret,hash-7-itr-12-probe-4,1.7389473915100098,2.0
svm,batch-5-learning-45-regular-23,3.622828722000122,2.0
ferret,hash-7-itr-12-probe-4,1.741506576538086,2.0
nn,batch-1-learning-100-regular-45,2.692930221557617,2.0
facedetect,eyes-0-pyramid-25-selectivity-0,5.762529134750366,2.0
ferret,hash-7-itr-12-probe-4,1.66133451461792,2.0
bodytrack,layer-3-particle-2700,4.804541110992432,2.0
svm,batch-5-learning-45-regular-23,3.633201837539673,2.0
bodytrack,layer-3-particle-2700,4.336160182952881,2.0
nn,batch-1-learning-100-regular-45,2.674360752105713,2.0
bodytrack,layer-3-particle-2700,4.03288197517395,2.0
facedetect,eyes-0-pyramid-25-selectivity-0,5.771076202392578,2.0
nn,batch-1-learning-100-regular-45,3.2155911922454834,2.0
svm,batch-5-learning-45-regular-23,4.187411546707153,2.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.984998464584351,2.0
svm,batch-5-learning-45-regular-23,3.8203847408294678,2.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.214374780654907,2.0
nn,batch-1-learning-100-regular-45,2.6808788776397705,2.0
bodytrack,layer-4-particle-966,2.3140974044799805,3.0
swaptions,num-300000,6.889648199081421,3.0
ferret,hash-7-itr-12-probe-4,1.6781904697418213,3.0
swaptions,num-300000,8.666283130645752,3.0
ferret,hash-7-itr-12-probe-4,1.7477600574493408,3.0
svm,batch-5-learning-45-regular-23,3.8653054237365723,3.0
swaptions,num-300000,7.536273241043091,3.0
ferret,hash-7-itr-12-probe-4,1.7495934963226318,3.0
nn,batch-1-learning-100-regular-45,2.786644697189331,3.0
swaptions,num-300000,6.858278751373291,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,5.810873508453369,3.0
ferret,hash-7-itr-12-probe-4,1.6664276123046875,3.0
bodytrack,layer-4-particle-966,2.349074602127075,3.0
swaptions,num-300000,8.5370934009552,3.0
svm,batch-5-learning-45-regular-23,3.597351312637329,3.0
bodytrack,layer-4-particle-966,2.477294683456421,3.0
swaptions,num-300000,7.544838905334473,3.0
nn,batch-1-learning-100-regular-45,2.7563276290893555,3.0
bodytrack,layer-4-particle-966,2.2781198024749756,3.0
swaptions,num-300000,6.9018847942352295,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,5.804921388626099,3.0
swaptions,num-300000,9.272294044494629,3.0
nn,batch-1-learning-100-regular-45,3.3054966926574707,3.0
svm,batch-5-learning-45-regular-23,4.323408842086792,3.0
swaptions,num-300000,8.913129806518555,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.944300889968872,3.0
svm,batch-5-learning-45-regular-23,3.884605884552002,3.0
swaptions,num-300000,7.477773189544678,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.3968751430511475,3.0
nn,batch-1-learning-100-regular-45,2.687847375869751,3.0
bodytrack,layer-4-particle-966,2.3746557235717773,3.0
ferret,hash-7-itr-12-probe-4,1.767435073852539,3.0
svm,batch-5-learning-45-regular-23,3.8397488594055176,3.0
bodytrack,layer-4-particle-966,2.420315980911255,3.0
ferret,hash-7-itr-12-probe-4,1.7735867500305176,3.0
nn,batch-1-learning-100-regular-45,2.7523036003112793,3.0
bodytrack,layer-4-particle-966,2.2890710830688477,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,5.822558641433716,3.0
ferret,hash-7-itr-12-probe-4,1.6833667755126953,3.0
ferret,hash-7-itr-12-probe-4,1.8379545211791992,3.0
nn,batch-1-learning-100-regular-45,3.039158344268799,3.0
svm,batch-5-learning-45-regular-23,4.250887393951416,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.957539796829224,3.0
ferret,hash-7-itr-12-probe-4,1.7590827941894531,3.0
svm,batch-5-learning-45-regular-23,3.9708850383758545,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.72901177406311,3.0
ferret,hash-7-itr-12-probe-4,1.7846338748931885,3.0
nn,batch-1-learning-100-regular-45,2.9727540016174316,3.0
bodytrack,layer-4-particle-966,2.9828946590423584,3.0
nn,batch-1-learning-100-regular-45,3.727595329284668,3.0
svm,batch-5-learning-45-regular-23,4.782994270324707,3.0
bodytrack,layer-4-particle-966,2.3593010902404785,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.103207111358643,3.0
svm,batch-5-learning-45-regular-23,3.7232935428619385,3.0
bodytrack,layer-4-particle-966,2.4530582427978516,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.384026527404785,3.0
nn,batch-1-learning-100-regular-45,2.8821752071380615,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.464527606964111,3.0
nn,batch-1-learning-100-regular-45,3.3557534217834473,3.0
svm,batch-5-learning-45-regular-23,4.269139051437378,3.0
bodytrack,layer-5-particle-533,1.8852934837341309,4.0
swaptions,num-200000,5.516024589538574,4.0
ferret,hash-7-itr-12-probe-4,1.7873358726501465,4.0
svm,batch-5-learning-45-regular-23,4.018314361572266,4.0
bodytrack,layer-5-particle-533,1.9293608665466309,4.0
swaptions,num-200000,5.063538551330566,4.0
ferret,hash-7-itr-12-probe-4,1.7743549346923828,4.0
nn,batch-1-learning-100-regular-45,2.934119939804077,4.0
bodytrack,layer-5-particle-533,1.9613301753997803,4.0
swaptions,num-200000,4.699426889419556,4.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.015527009963989,4.0
ferret,hash-7-itr-12-probe-4,1.710181713104248,4.0
swaptions,num-200000,6.037482976913452,4.0
ferret,hash-7-itr-12-probe-4,1.8508598804473877,4.0
nn,batch-1-learning-100-regular-45,3.407090902328491,4.0
svm,batch-5-learning-45-regular-23,4.349213361740112,4.0
swaptions,num-200000,5.7037341594696045,4.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.09409761428833,4.0
ferret,hash-7-itr-12-probe-4,1.772944688796997,4.0
svm,batch-5-learning-45-regular-23,4.129064083099365,4.0
swaptions,num-200000,5.0787224769592285,4.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.577347040176392,4.0
ferret,hash-7-itr-12-probe-4,1.7921650409698486,4.0
nn,batch-1-learning-100-regular-45,2.9300971031188965,4.0
bodytrack,layer-5-particle-533,1.9653913974761963,4.0
swaptions,num-200000,5.891158103942871,4.0
nn,batch-1-learning-100-regular-45,3.656074285507202,4.0
svm,batch-5-learning-45-regular-23,4.176269054412842,4.0
bodytrack,layer-5-particle-533,1.8848867416381836,4.0
swaptions,num-200000,5.591874361038208,4.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.9203941822052,4.0
svm,batch-5-learning-45-regular-23,3.8448920249938965,4.0
bodytrack,layer-5-particle-533,1.8742198944091797,4.0
swaptions,num-200000,5.111468553543091,4.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.564504384994507,4.0
nn,batch-1-learning-100-regular-45,3.0544967651367188,4.0
swaptions,num-200000,5.730059862136841,4.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.859250545501709,4.0
nn,batch-1-learning-100-regular-45,3.5539731979370117,4.0
svm,batch-5-learning-45-regular-23,4.2288901805877686,4.0
bodytrack,layer-5-particle-533,1.9296514987945557,4.0
ferret,hash-7-itr-12-probe-4,1.935699462890625,4.0
nn,batch-1-learning-100-regular-45,3.6258082389831543,4.0
svm,batch-5-learning-45-regular-23,4.724885702133179,4.0
bodytrack,layer-5-particle-533,2.2978262901306152,4.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.419846296310425,4.0
ferret,hash-7-itr-12-probe-4,1.9056906700134277,4.0
svm,batch-5-learning-45-regular-23,4.299744606018066,4.0
bodytrack,layer-5-particle-533,1.9156360626220703,4.0
facedetect,eyes-0-pyramid-25-selectivity-0,6.618118524551392,4.0
ferret,hash-7-itr-12-probe-4,1.7974157333374023,4.0
nn,batch-1-learning-100-regular-45,3.016676664352417,4.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.643654108047485,4.0
ferret,hash-7-itr-12-probe-4,1.8443737030029297,4.0
nn,batch-1-learning-100-regular-45,3.49224853515625,4.0
svm,batch-5-learning-45-regular-23,4.4205029010772705,4.0
bodytrack,layer-5-particle-533,1.95857572555542,4.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.848987340927124,4.0
nn,batch-1-learning-100-regular-45,3.3404030799865723,4.0
svm,batch-5-learning-45-regular-23,4.777536153793335,4.0
bodytrack,layer-5-particle-100,1.670452356338501,5.0
swaptions,num-100000,2.496241331100464,5.0
ferret,hash-7-itr-12-probe-4,2.313081979751587,5.0
nn,batch-1-learning-100-regular-45,3.9543912410736084,5.0
svm,batch-5-learning-45-regular-23,4.539978742599487,5.0
bodytrack,layer-5-particle-100,1.6175456047058105,5.0
swaptions,num-100000,2.5236823558807373,5.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.539777517318726,5.0
ferret,hash-7-itr-12-probe-4,2.2252197265625,5.0
svm,batch-5-learning-45-regular-23,4.306478977203369,5.0
bodytrack,layer-5-particle-100,0.9565317630767822,5.0
swaptions,num-100000,3.235325574874878,5.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.39813756942749,5.0
ferret,hash-7-itr-12-probe-4,2.154296875,5.0
nn,batch-1-learning-100-regular-45,3.3127493858337402,5.0
swaptions,num-100000,4.8575074672698975,5.0
facedetect,eyes-0-pyramid-25-selectivity-0,7.433331251144409,5.0
ferret,hash-7-itr-12-probe-4,1.8581035137176514,5.0
nn,batch-1-learning-100-regular-45,3.259854555130005,5.0
