app,config,exec,slowdown
swaptions,num-300000,67.28792643547058,2.0
ferret,hash-2-itr-25-probe-20,216.83805561065674,2.0
bodytrack,layer-3-particle-2700,30.53833317756653,2.0
swaptions,num-300000,67.21674656867981,2.0
swaptions,num-300000,71.57349467277527,2.0
svm,batch-1-learning-56-regular-34,25.54977321624756,2.0
swaptions,num-300000,73.56455397605896,2.0
nn,batch-1-learning-34-regular-67,26.632993459701538,2.0
swaptions,num-300000,67.21590280532837,2.0
facedetect,eyes-0-pyramid-25-selectivity-0,95.95683407783508,2.0
bodytrack,layer-3-particle-2700,30.440717220306396,2.0
ferret,hash-2-itr-25-probe-20,217.00374555587769,2.0
ferret,hash-2-itr-25-probe-20,233.0054006576538,2.0
svm,batch-1-learning-56-regular-34,25.743064641952515,2.0
ferret,hash-2-itr-25-probe-20,239.03018617630005,2.0
nn,batch-1-learning-34-regular-67,26.626300573349,2.0
facedetect,eyes-0-pyramid-25-selectivity-0,96.25516414642334,2.0
ferret,hash-2-itr-25-probe-20,217.03137397766113,2.0
bodytrack,layer-3-particle-2700,32.554901123046875,2.0
svm,batch-1-learning-56-regular-34,25.63263201713562,2.0
bodytrack,layer-3-particle-2700,33.75507068634033,2.0
nn,batch-1-learning-34-regular-67,26.4737765789032,2.0
bodytrack,layer-3-particle-2700,30.468690633773804,2.0
facedetect,eyes-0-pyramid-25-selectivity-0,96.0745530128479,2.0
nn,batch-1-learning-34-regular-67,29.798375606536865,2.0
svm,batch-1-learning-56-regular-34,28.928728103637695,2.0
facedetect,eyes-0-pyramid-25-selectivity-0,101.2403883934021,2.0
svm,batch-1-learning-56-regular-34,25.66578960418701,2.0
facedetect,eyes-0-pyramid-25-selectivity-0,103.67241024971008,2.0
nn,batch-1-learning-34-regular-67,26.48597812652588,2.0
bodytrack,layer-4-particle-966,17.415976762771606,3.0
swaptions,num-300000,67.50593900680542,3.0
ferret,hash-2-itr-25-probe-20,217.16898250579834,3.0
swaptions,num-300000,72.12638401985168,3.0
ferret,hash-2-itr-25-probe-20,233.36874127388,3.0
svm,batch-1-learning-56-regular-34,25.95879817008972,3.0
swaptions,num-300000,74.23997855186462,3.0
ferret,hash-2-itr-25-probe-20,239.71670961380005,3.0
nn,batch-1-learning-34-regular-67,26.8048894405365,3.0
swaptions,num-300000,67.31918525695801,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,96.27442932128906,3.0
ferret,hash-2-itr-25-probe-20,216.99278616905212,3.0
bodytrack,layer-4-particle-966,18.718290328979492,3.0
swaptions,num-300000,72.18969821929932,3.0
svm,batch-1-learning-56-regular-34,25.611554622650146,3.0
bodytrack,layer-4-particle-966,19.529942512512207,3.0
swaptions,num-300000,74.5601179599762,3.0
nn,batch-1-learning-34-regular-67,26.96177840232849,3.0
bodytrack,layer-4-particle-966,17.418678045272827,3.0
swaptions,num-300000,67.44734621047974,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,96.26199793815613,3.0
swaptions,num-300000,80.1655502319336,3.0
nn,batch-1-learning-34-regular-67,30.277428150177002,3.0
svm,batch-1-learning-56-regular-34,29.600725889205933,3.0
swaptions,num-300000,72.52031922340393,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,101.64926099777222,3.0
svm,batch-1-learning-56-regular-34,25.77271819114685,3.0
swaptions,num-300000,74.34738278388977,3.0
facedetect,eyes-0-pyramid-25-selectivity-0,103.96970748901367,3.0
nn,batch-1-learning-34-regular-67,27.165201902389526,3.0
bodytrack,layer-4-particle-966,18.800302743911743,3.0
ferret,hash-2-itr-25-probe-20,234.67080283164978,3.0
svm,batch-1-learning-56-regular-34,25.983049154281616,3.0
bodytrack,layer-4-particle-966,19.257823705673218,3.0
ferret,hash-2-itr-25-probe-20,241.57418251037598,3.0
nn,batch-1-learning-34-regular-67,26.794418573379517,3.0
