,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,Proc Energy (Joules),READ,TIME(ticks),WRITE,
hash-8-iteration-7-probe-4,111000,0.974,91.8,0,8.22,0,0,0,0,0,0,0,0,0,1.07,0.894,133000,2.13,53.3,1.19,0.615,46.9,0.000353,0.248,32.8,0.000247,2.39,59.6,207,16.3,15600,27.9,1.355504934
,53400,1.05,51.6,0,41,0,0,0,0,0,0,0,0,0,0.636,0.539,63000,1.27,31.8,1.18,0.533,36.9,0.000585,0.21,26.5,0.000421,2.36,59,169,14.2,12400,27.3,1.0946046025
,164000,1.03,95.2,0,4.77,0,0,0,0,0,0,0,0,0,1.34,0.982,225000,2.69,67.1,1.37,0.636,25.3,0.000113,0.298,17.2,0.0000766,2.73,68.3,355,12.3,20900,19.8,1.8079191613
,35700,0.988,36.1,0,38,0,0,0,0,0,0,0,0,0,0.565,0.357,56500,1.13,28.3,1.58,0.582,19.5,0.000345,0.268,13.5,0.000238,3.17,79.2,118,8.71,12500,13.9,1.1346412523
,274000,1.01,93.5,0,6.49,0,0,0,0,0,0,0,0,0,1.12,0.94,328000,2.25,56.2,1.19,0.613,80.2,0.000244,0.266,52.2,0.000159,2.39,59.7,550,30.5,36500,64.9,3.1276197083
,72100,1.01,72.2,0,26.3,0,0,0,0,0,0,0,0,0,1.06,0.728,105000,2.11,52.8,1.45,0.727,31.6,0.000302,0.34,19.9,0.000191,2.9,72.5,180,11.7,12400,16.5,1.0902185925
,67500,0.974,61.7,0,36.3,0,0,0,0,0,0,0,0,0,0.616,0.601,69300,1.23,30.8,1.03,0.607,43.8,0.000632,0.259,27.8,0.000401,2.05,51.3,158,16.6,14000,38.2,1.2747854577
,231000,1.04,99.9,0,0.0901,0,0,0,0,0,0,0,0,0,1.22,1.04,271000,2.44,61,1.17,0.711,119,0.00044,0.482,42.8,0.000158,2.34,58.6,492,34.8,27800,43.1,2.3704386432
,392000,1,97.3,0,2.71,0,0,0,0,0,0,0,0,0,1.12,0.977,451000,2.25,56.1,1.15,0.727,165,0.000367,0.364,80.9,0.00018,2.3,57.5,768,58.5,50200,98.4,4.273765281
,417000,1.01,82.9,0,17.1,0,0,0,0,0,0,0,0,0,1.12,0.839,554000,2.23,55.8,1.33,0.661,147,0.000265,0.272,89.4,0.000161,2.66,66.5,955,59.6,62100,115,5.2611873432
