,EXEC,L2MPI,INST,L2MISS,MEM,IPC,L3MPI,L3MISS,FREQ,PhysIPC%,L3HIT,INSTnom%,GT,Pred
202,0.35333333333333333,0.023227746591841708,0.3212962333989965,0.018562831858411125,0.01680688111227996,0.7270531400978262,0.010282973621107912,0.011045331045336764,0.28014663322389344,0.727053140094203,0.9886666666670001,0.35333333333333333,0.9945847767739999,1.0026477722628973
272,0.36599999999999994,0.3584121892543538,0.4637276042083442,0.2934796460175952,0.011433015199717214,0.5043478260869565,0.007142446043165467,0.007897039897039897,0.418522091452665,0.5042028985507246,0.9998,0.36613333333333337,1.0192275955299999,1.016793612969412
186,0.32293333333333335,0.06491259021654568,0.880987553897205,0.04967362831856648,0.7420289855072464,0.35934782608695653,0.5150503597122302,0.5455169455169455,0.6984564923786616,0.3592753623188406,0.8240000000000001,0.32293333333333335,1.03010736814,1.0499575471578848
290,0.28833333333333333,0.4077786688052958,0.39609359314932746,0.2656194690264546,0.017324142806645456,0.5896739130434783,0.012456834532374101,0.010952380952380955,0.281473085085749,0.5905797101449275,0.9990000000000001,0.28833333333333333,0.98700333486,1.0221162693108687
656,0.6271111111113333,0.018692862870897633,0.360376912334293,0.02637876106193756,0.020167314716578295,0.6485507246376813,0.006479616306949641,0.012355212355212357,0.5578172229726769,0.6478260869565218,0.991,0.6266666666666666,1.03805107734,1.023616579627116
183,0.3273333333333333,0.028968524458712494,0.3472115250080565,0.021209734513266826,0.024036762106751503,0.6730072463768116,0.012082733812949642,0.011947661947661949,0.28067721396863565,0.6730072463768116,0.98975,0.32766666666666666,1.00655722176,1.0176524532093456
555,0.3085,0.04615477145150206,0.6563454196643912,0.03260707964600615,0.5503711558854719,0.43106884057971023,0.25593525179856114,0.24873444873444875,0.4982153193129468,0.43097826086956526,0.866,0.30866666666666664,1.0543433771600002,1.0190328979315317
178,0.3473333333333333,0.042852846832414936,0.3292559328003633,0.033507079646005834,0.016588900671615413,0.7101449275362319,0.014241007194244605,0.01513942513942514,0.2820036658304912,0.7101449275362319,0.99175,0.3473333333333333,1.00483963261,0.9940363782431756
554,0.4415555555553334,0.02166399358459971,0.2563661584882635,0.021546902654849008,0.019121008601385648,0.9130434782608696,0.008690647482014388,0.011674531674525958,0.279085471734409,0.9130434782608696,0.99,0.44177777777733335,1.03349494207,1.0154215140754856
257,0.9746666666666667,0.122550120288742,0.4038404821331967,0.2687575221237986,0.01167338282078473,0.5789855072463769,0.002627338129496403,0.007797511797511797,0.9713872274740608,0.5789855072463769,0.9992,0.9746666666666667,1.27716698575,1.3266044399754136
198,0.3735555555553334,0.4667201283069232,0.4564784820884264,0.3929203539810998,0.01688700365265465,0.5120772946847827,0.009031175059956835,0.01026741026740455,0.42092739082918346,0.511835748792029,0.9996666666670001,0.37333333333333335,0.982215228813,0.9816477418854552
302,0.3295,0.030457097032891116,0.3470377486755319,0.02261946902654066,0.031063980205019444,0.673913043478261,0.01896043165467626,0.018961818961818963,0.28226895620286235,0.6733695652173913,0.98475,0.3296666666666667,0.985489032762,1.0081348911195327
299,0.63,0.020253608660794006,0.36031751796261763,0.02891150442476852,0.01727112053729233,0.6494565217391305,0.005194244604316547,0.010025740025740026,0.5587015242135602,0.65,0.9935,0.63,0.998032507147,1.0295853331236458
660,0.98,0.13135525260630768,0.4017347998404616,0.2919823008848524,0.017497348886532343,0.582427536231884,0.003564748201438849,0.010673530673530674,0.9704321821335248,0.5822463768115942,0.9990000000000001,0.98,1.1719189745899998,1.2767237395250826
546,0.451,0.6279069767444377,0.622913747170651,0.6403539823006582,0.01603039943442913,0.375,0.008514388489208633,0.01175890175890176,0.6942649044951981,0.37481884057971016,1.0,0.45100000000000007,1.14328516072,1.0890345840724664
556,0.339777777778,0.053648757016982226,0.3351646578409018,0.04141592920352516,0.0214021444562743,0.6980676328514492,0.013510791366906475,0.014048334048339767,0.2812077947133779,0.6975845410630436,0.9936666666670001,0.33911111111066666,1.0288801397,0.9932521490316579
192,0.33116666666666666,0.07889434643146707,0.9567177285103916,0.0611761061946686,0.8762813715093672,0.2814311594202899,0.7014388489208633,0.7407550407550407,0.7810148562605514,0.2811594202898551,0.7915,0.33133333333333337,1.0140348400799999,1.0504747633799254
189,0.3285,0.0354009623095571,0.3463500301421972,0.026426548672557015,0.026182396606574763,0.673913043478261,0.012784172661870504,0.012891462891462892,0.28067721396863565,0.6746376811594202,0.991,0.32866666666666666,0.999123326937,1.0127365821960002
666,0.33044444444466664,0.03328388131515769,0.34372668205760554,0.025136283185831807,0.03291151172376105,0.6799516908224639,0.016642685851366905,0.016931216931222653,0.2805003537200345,0.6799516908210146,0.987333333333,0.33066666666666666,1.01111688641,1.0072569558093982
269,0.3413333333333333,0.03884723336007973,0.33342088432371264,0.029692035398219574,0.013944856839872748,0.7010869565217392,0.008733812949640289,0.009009009009009009,0.28094250434100676,0.7010869565217392,0.99425,0.3413333333333333,1.0167601798299999,1.004728492843846
200,0.98,0.11992782678421009,0.4005645564613407,0.2644247787609683,0.015025332862028985,0.582125603865942,0.0030743405275827336,0.009152009152003433,0.9709627628782671,0.5828502415456521,0.9990000000000001,0.9813333333333333,1.10596033674,1.3506837749401541
557,0.6133333333333334,0.02868885324780621,0.36873620575606947,0.0393451327433489,0.019034994697773065,0.634963768115942,0.0062050359712230215,0.011497211497211498,0.5568444916069625,0.6347826086956522,0.9945,0.6133333333333334,1.04969857051,1.0040882150688986
553,0.98,0.11706495589419288,0.40068800968453683,0.2596460176990231,0.01576811594202899,0.5840579710144927,0.0031510791366906477,0.009444873444873445,0.9701138336866795,0.5836231884057972,0.9990000000000001,0.9813333333333333,1.37641868863,1.3611891985442384
184,0.3273333333333333,0.026803327987179954,0.3463700521900789,0.01983982300884253,0.02593142453163662,0.673913043478261,0.013676258992805754,0.013676533676533676,0.2796160524791512,0.6744565217391305,0.987,0.327,1.00733038781,1.0164750818107797
287,0.3128571428573333,0.07835949135075314,0.7318011217630748,0.05609355246507749,0.766954501843761,0.4266563146992754,0.6294758478935252,0.6140834712260833,0.5633251564175908,0.42681159420289855,0.8271428571430001,0.3127619047613333,1.2859336749799999,1.2390105826097793
206,0.333777777778,0.025717722534104134,0.34120975593244396,0.01929557522124272,0.03149758454106752,0.6847826086956522,0.01739568345323741,0.017640497640497643,0.2812077947133779,0.6850241545891305,0.983333333333,0.3342222222226667,0.9901905503180001,1.005816136569114
283,0.2828,0.42582197273473366,0.40312112586117577,0.2686300884954801,0.011577235772357725,0.5804347826086956,0.009769784172661871,0.008322608322608324,0.2812077947133779,0.5802898550724638,0.9990000000000001,0.2826666666666667,1.0282048215100001,1.0563845856969427
