,EXEC,MEM,FREQ,L3MPI,PhysIPC%,INSTnom%,L3HIT,IPC,L3MISS,INST,L2MPI,L2MISS,GT,Pred
29,0.43816666666666665,0.05602686461647225,0.28014663322389344,0.0074928057553956835,0.9021739130434784,0.438,0.99225,0.9021739130434784,0.010150150150150151,0.25922110913213925,0.024845629510835944,0.024889380530964636,1.01229426427,1.0159113690339139
4,0.3135,0.0565358784023047,0.28041192359626455,0.008888489208633093,0.6447463768115942,0.313555555556,0.9946666666670001,0.644625603865942,0.008547118547112828,0.3626516125637898,0.04255212510037793,0.03030530973450254,1.01979191362,1.0151775573545254
26,0.36166666666666664,0.05610816542948039,0.41942407871872683,0.010241007194244605,0.4972826086956522,0.36199999999999993,0.9995,0.4972826086956522,0.011252681252681253,0.4702143861732046,0.5954290296714496,0.4850442477874389,1.0038025287999999,1.0508615321149524
30,0.3132,0.7383527748320963,0.49068107273760725,0.5620431654676259,0.4744927536231885,0.31306666666666666,0.8296,0.4749275362318841,0.5708451308451309,0.6342746660038927,0.0692862870890414,0.0504828318583892,1.13379546021,1.1667534603330083
32,0.31302564102533337,0.014192566005924355,0.27916709954137403,0.007995572772546762,0.6469899665550725,0.3130256410253333,0.995307692308,0.6471571906340581,0.007794607794611755,0.3614491476442157,0.04316513478490103,0.031169775357387193,1.02911341649,1.021536782470224
37,0.4388095238093333,0.00664242791496642,0.6948333838648678,0.003745118191165468,0.36428571428550727,0.43885714285733335,1.0,0.3642339544528985,0.005063430777709137,0.6411448378978922,0.6910585404974704,0.6913274336280738,1.0472309139899998,1.0880264405492412
34,0.30403921568599995,0.7829829704955815,0.5557365141694749,0.6645450698258994,0.421994884910145,0.304,0.8100588235289999,0.421973572036232,0.6305902541192622,0.7401479100307036,0.07963252983623884,0.05563227485690065,1.2076522224200001,1.2143769646689127
40,0.95074074074,0.006264640037709438,0.9960179647131986,0.0018958433253381296,0.5506441223833334,0.9508888888893333,0.999888888889,0.5507246376811594,0.005445445445439726,0.4246333043176432,0.12798716920626624,0.27203539823002754,1.3151538487299999,1.2233700411938084
7,0.9408888888866667,0.04754320725821138,0.9908418547809218,0.002530839328532374,0.5482608695652174,0.9418666666666667,0.999733333333,0.5480676328514493,0.007207207207207208,0.42641873086894677,0.12524458700899166,0.2644247787609683,1.2958668957600001,1.2121500949192463
10,0.314,0.05516319076229057,0.2793507621067801,0.00802278177457554,0.6485507246376813,0.314,0.995583333333,0.6485507246376813,0.007732017732012013,0.3604201139434424,0.04709302325583284,0.0336000000000943,1.01907520466,1.0154660670622084
11,0.6120555555553333,0.048159538117172156,0.5709048813426313,0.00270863309352518,0.6182971014492754,0.612,0.996833333333,0.6186594202898551,0.0050922350922350925,0.37781640706230774,0.021510625501199483,0.029912389380530997,1.0253510728,1.032600834829827
31,0.29573333333333335,0.6803817603393426,0.37183098591534947,0.4686043165467626,0.5207246376811595,0.29573333333333335,0.8444,0.521304347826087,0.40271128271128276,0.5096028084865384,0.060546110665621704,0.03988035398228676,1.1145045915,1.0956161486212208
33,0.42533333333333334,0.007296951899285967,0.27892221612047885,0.003816270060877698,0.8784838350072465,0.42533333333333334,0.9969230769230001,0.8787625418043479,0.004993564993564994,0.2660871350033286,0.03113441490346477,0.030187066031288422,1.02235379471,1.0236436805249833
27,0.32516666666666666,0.06643336868151291,0.28067721396863565,0.013140287769784173,0.6673913043478261,0.3246666666666667,0.99125,0.667572463768116,0.013067353067353068,0.35024604859994707,0.0378819165998548,0.02789999999999012,1.01053566005,1.0146762714353452
47,0.3243589743586667,0.007283900263739838,0.27941198296226916,0.005377974543438849,0.6697324414717392,0.324307692308,0.996769230769,0.6702898550724639,0.0053499653499613905,0.3490433989068722,0.04111097402996837,0.0303463580666866,1.0175258856899998,1.0218032052654626
