,EXEC,L2MISS,MEM,L2MPI,IPC,PhysIPC%,L3HIT,L3MISS,L3MPI,FREQ,INSTnom%,INST,GT,Pred
3052,0.2812131268436577,0.011819113502434028,0.48219335555811016,0.01772219925589086,0.6585637114712424,0.6591921119592875,0.3920600858369099,0.35937323864276854,0.5078898363226502,0.31871463217461593,0.2810840707964602,0.5396554183826382,1.0149579635240062,1.023110339041533
2816,0.4089786135693216,0.0110927491673072,0.4409893857531516,0.011475816453079784,0.9580552907530979,0.9576972010178118,0.34098712446351936,0.36591139668583017,0.35656179555032835,0.3185125303152789,0.40884955752212393,0.371054261757508,1.022014797512976,1.017176728882982
3103,0.6322455752212388,0.019983986676915196,0.4505805264972986,0.013365026870607689,0.9064188115665711,0.9083969465648856,0.4768478779208393,0.38530041708939233,0.24326178574928936,0.5214227970897332,0.6323746312684366,0.39292957657600813,1.0536574217121413,1.0402748328314861
3267,0.9498525073746312,0.27754291570586737,0.40140782465417485,0.12166184373708144,0.733238004448681,0.734096692111959,0.9773962804005722,0.3332206064705219,0.1381750465549348,0.9674616006467258,0.9506268436578171,0.4840429985348205,1.0809611369219514,1.1336203415787647
2953,0.6312131268436576,0.01845055085831412,0.4052879641338085,0.012381149235221168,0.917540514775977,0.9182569974554705,0.5047210300429185,0.3377296809829782,0.2132706066843085,0.5161681487469683,0.6313421828908556,0.38918547074926996,1.0874614184073936,1.0658471375650462
86,0.4100110619469027,0.011662182936202923,0.4422117484768365,0.011897478296816867,0.9556720686367968,0.9540394402035622,0.3503338102050549,0.3774095366925938,0.362834460452808,0.3201293451899757,0.409882005899705,0.37183371589834047,1.0169338341625045,1.026064355250485
151,0.6436025073746312,0.01740584166026134,0.42340498907920454,0.01142207523770153,0.9254845884969812,0.9273218829516539,0.49287076776347166,0.3492278209897418,0.21660295991375084,0.5191996766370248,0.6434734513274336,0.3842568785541994,1.0426689779763882,1.0518857685441636
2233,0.6337942477876105,0.021024212144504232,0.4535923669387287,0.014051260851591568,0.8881474420082617,0.8891539440203563,0.5002145922746781,0.3744786382594972,0.23640105851220225,0.5333468067906224,0.6336651917404128,0.40058638859090057,1.040838679450241,1.0406210112252956
1817,0.41439896755162237,0.7568537022802972,0.439052764685596,0.7701529557668458,0.3775023832221162,0.37786259541984735,0.9915832141154031,0.3719986472776462,0.35754189944134074,0.8195230396119644,0.4142699115044248,0.9415944226883043,1.0589169629399515,1.0990252214984157
2871,0.9824391592920353,0.28079362029208305,0.33489481549603406,0.11995659363373296,0.7584604385128693,0.759780534351145,0.9831545064377682,0.25634088603314165,0.10357247868274036,0.9670573969280516,0.9828263274336283,0.4688655700319707,1.3381812508526922,1.2917798970687269
2126,0.4105272861356933,0.011760825006405332,0.4704303176610339,0.011893344357172387,0.9556720686367968,0.9548346055979645,0.34749642346208875,0.3837222410100326,0.3657747721258453,0.3209377526273241,0.4106563421828909,0.37204757706032654,1.0296934621986171,1.0236490580486004
2700,0.28147123893805304,0.011810146041506538,0.47099666628348086,0.017693261678379493,0.6593581188433428,0.66014631043257,0.40040534096328084,0.3541878029534438,0.49985298441634807,0.31831042845594176,0.28134218289085544,0.5392173863871977,1.0262561403409407,1.023260470907695
1622,0.4069137168141592,0.010989623366641046,0.43464152967774083,0.011339396444811904,0.955672068636797,0.9572201017811703,0.34749642346208875,0.3577950625634088,0.3481329020876212,0.3181083265966047,0.4070427728613569,0.37209903837376435,1.0387305150541952,1.0189029324541292
3595,0.6370206489675515,0.0207865744299257,0.4460972525577652,0.013766019016122363,0.8937082936129646,0.8928117048346056,0.48803051979017653,0.3677150264908128,0.2295403312751151,0.534357316087308,0.6370206489675516,0.4000297062785186,1.0627723415697663,1.0413556376721342
4168,0.27914823008849554,0.012540994107097105,0.5256312986166992,0.018995452666391067,0.65379726723864,0.654262086513995,0.36418693371483063,0.40018036298049814,0.5714005684602568,0.3185125303152789,0.27876106194690276,0.5439818072735266,1.032357536023405,1.0227789829123262
3102,0.2797935103244837,0.011944657955418912,0.4983867877533817,0.018069450186027285,0.6561804893549411,0.6566475826972009,0.3668574153552694,0.3794386202231992,0.541017347838871,0.31790622473726754,0.2797935103244838,0.5417624461963314,1.0298594872080755,1.0212773667674993
68,0.4115597345132743,0.010074942352036896,0.3962294516611105,0.01038859032658123,0.9596441054972988,0.9619910941475827,0.3701955174058177,0.3163115770488107,0.30716455944330096,0.31952303961196443,0.4119469026548673,0.3700839172143691,1.0178674327498711,1.0190749734716844
403,0.6415376106194689,0.020575839098129645,0.45067249109093005,0.013493178999586606,0.894502700985065,0.8959923664122138,0.5220791607057701,0.3643332206064705,0.2250318533764579,0.5369846402586903,0.6414085545722713,0.3986786771276129,1.0421414178260997,1.0460619698801488
2001,0.9856194690265487,0.2867025365103767,0.37137930468198327,0.12136065670584067,0.761950156611739,0.7621319520174483,0.9815450643776825,0.2846514324363496,0.11455454278153485,0.9652384801940178,0.9845132743362832,0.46640943739071816,1.2136793743715024,1.2122735303565444
