feature,LR-1,LR-2,LS-1,LS-2,EN-1,EN-2,BR-1,BR-2,nn,SVR-1,SVR-2,final
EXEC,0.06967449188232422,0.1933274269104004,0.20530009269714355,20.130386114120483,0.805713415145874,35.79485464096069,0.008444070816040039,0.3387184143066406,23.89281916618347,0.40248823165893555,2.2641053199768066,0.0013270378112792969
FREQ,0.004564762115478516,0.18802261352539062,0.38147830963134766,27.77419400215149,0.3166787624359131,43.62653040885925,0.008328914642333984,0.3344147205352783,21.43591856956482,0.48578572273254395,3.2683072090148926,21.331351280212402
INST,0.005951881408691406,0.18463706970214844,2.525991916656494,23.48380446434021,0.6526849269866943,34.82121467590332,0.008520841598510742,0.3406834602355957,21.4977605342865,1.637378215789795,10.726888179779053,0.007668018341064453
INSTnom%,0.00452733039855957,0.18513917922973633,0.1877727508544922,20.188796281814575,1.1656339168548584,45.44690680503845,0.008471488952636719,0.333082914352417,21.4040846824646,0.06345915794372559,0.3680903911590576,0.0013344287872314453
IPC,0.0045397281646728516,0.19013428688049316,0.20977330207824707,9.338322162628174,0.7496607303619385,29.549684047698975,0.008818387985229492,0.3722195625305176,21.48198628425598,1.331040382385254,8.235773086547852,0.005437374114990234
L2MISS,0.0045375823974609375,0.18528532981872559,0.18724346160888672,7.044939994812012,0.12776899337768555,2.519209861755371,0.008866071701049805,0.4250636100769043,21.294196367263794,12.569323062896729,75.97056269645691,0.0018968582153320312
L2MPI,0.004532337188720703,0.1925973892211914,0.24480032920837402,90.58487701416016,0.406083345413208,134.21003556251526,0.008212089538574219,0.36228203773498535,21.405168056488037,0.0028505325317382812,0.016037940979003906,0.0022237300872802734
L3HIT,0.004506587982177734,0.18685078620910645,15.180635690689087,108.3766131401062,3.6230039596557617,219.48118019104004,0.008212089538574219,0.34941911697387695,21.21195125579834,1.2844247817993164,8.359886884689331,18.768332958221436
L3MISS,0.005825042724609375,0.18747258186340332,0.3097817897796631,15.798344850540161,0.3926107883453369,57.877715826034546,0.008861064910888672,0.35190629959106445,21.523375034332275,7.247623920440674,48.09558463096619,22.081679105758667
L3MPI,0.0052547454833984375,0.1841750144958496,0.28907084465026855,62.708290815353394,0.2893033027648926,63.56192064285278,0.008671760559082031,0.31725358963012695,21.82813811302185,0.00298309326171875,0.016336917877197266,0.3067500591278076
PhysIPC%,0.007330894470214844,0.16646671295166016,0.20761346817016602,9.266675472259521,1.1069154739379883,16.98835802078247,0.008408546447753906,0.3429558277130127,21.916452646255493,0.3791375160217285,1.8330698013305664,0.005318403244018555
MEM,0.005200386047363281,0.18344497680664062,0.2625696659088135,6.884508371353149,0.2022237777709961,10.304845333099365,0.008450508117675781,0.3233675956726074,24.463437795639038,6.188617467880249,46.54272699356079,0.0024819374084472656
r2
EXEC,0.9759554129971469,0.9854139202979861,0.9745192354579391,0.9799334731147195,0.9742648218523458,0.9798379862885818,0.9759413515410605,0.9851748202433475,0.9847262472049574,0.9609183242483796,0.9547027053491186,0.9495359386634858
FREQ,0.9441654272870792,0.9618760005114617,0.9427825141128631,0.9554474391077964,0.9426809570549873,0.9543006472587036,0.9441913907887018,0.96171721917624,0.9627910501668432,0.9255018909337267,0.915407397635833,0.95487549093106
INST,0.9365598098220941,0.9662911707239039,0.9352247520531525,0.9579961234372627,0.9344067906423269,0.956920972782881,0.936556691911669,0.9663062903479587,0.9660815479370999,0.9411624215904396,0.9395401232468668,0.9433401747620037
INSTnom%,0.9759548305937955,0.9854066567693816,0.9745225756193066,0.9799329504337235,0.9744086306201484,0.9799209224977944,0.9759409709956232,0.9851690273346919,0.9845942336844271,0.9118197496656987,0.9052860560078795,0.949534377907725
IPC,0.9538061233663271,0.9822754133622259,0.9510249543217999,0.9718984088596834,0.9502243498984716,0.9711362212021273,0.9537944633524262,0.9824450999397816,0.9810127370263126,0.9632341805820541,0.9608690926692829,0.9501391789441215
L2MISS,0.9533109393464174,0.9694483689008639,0.9520577177860602,0.9661883910421027,0.9140678341717591,0.946585533938269,0.9532979119320792,0.9698304695647446,0.9681879537640357,0.6269813214283453,0.2830264671152044,0.9589588849862675
L2MPI,0.9627382611147747,0.9774139906440354,0.9616755011481838,0.9737827805652611,0.9616707233226032,0.9737672492730393,0.9627248908623018,0.9775106492413305,0.9669586971524415,-6.796262007914406,-6.796262007914406,0.9640372055535674
L3HIT,0.8876784895516961,0.9746298481371851,0.88403852711031,0.9533428646574911,0.8706083874369935,0.948606523524149,0.8877470129660299,0.9743597753638795,0.9760810400804606,0.8608940800938016,0.8459097889056387,0.9664923357120468
L3MISS,0.8674367353839909,0.9039687195254292,0.8651872526261375,0.8984979814001196,0.8635331631674666,0.8939061761405891,0.8673355420829478,0.9056370195329656,0.9091180321116353,0.8738389760493355,0.8706116022200825,0.9083110868407627
L3MPI,0.8055183976291338,0.8585225393279121,0.8047887356071336,0.8524519265989547,0.804788746041531,0.8524457143712734,0.8055201233922651,0.8596689069755196,0.705842791251823,-47.99400884074463,-47.99400884074463,0.8596689069756933
PhysIPC%,0.95380620396317,0.9822831353897918,0.9510323167518845,0.9718934903368961,0.950523538035006,0.9715033459072918,0.9537940821864376,0.9824505336251981,0.9811754041937287,0.9370929302096608,0.9366557413725936,0.9501271023363195
MEM,0.9804853783608967,0.9895940759365497,0.9794095049457567,0.9867626970840676,0.9776659152098806,0.9845966088048498,0.9804695130774095,0.990162541224388,0.9896725842706511,0.9842273539134547,0.9795425145415614,0.9463442326572177
mse
EXEC,0.0019433789091896833,0.0011789048261585842,0.002059456475388566,0.0016218563090692607,0.0020800191922804114,0.001629573933164841,0.0019445154118539869,0.0011982298411116676,0.0012344852936147619,0.00315873607571121,0.0036611070532185943,0.00407870563390419
FREQ,0.002529668374559741,0.001727264508922611,0.002592323313096899,0.00201852004624679,0.0025969245066771313,0.002070477156902383,0.0025284920594962172,0.0017344583335130843,0.0016858068230857024,0.003375247652353629,0.0038325936874738648,0.002044433009206429
INST,0.0062864281440366794,0.003340282121940717,0.006418721958242687,0.004162256623792341,0.006499775555644113,0.004268795669684702,0.006286737104646545,0.0033387838850987665,0.003361054105487757,0.005830345208669338,0.005991102323937453,0.005614546851348943
