app,10%,20%,30%,40%,50%,60%,70%,80%,90%
bodytrack,1.0,0.9833333333333333,0.9972222222222222,0.9791666666666666,0.9902777777777778,0.9916666666666667,0.9930555555555556,0.9972222222222222,1.0,0.9833333333333333
swaptions,1.0,0.9125,0.6875,0.99375,1.0,0.99375,0.6875,0.85,0.80625,0.6375
ferret,0.9852807971014492,0.9769021739130435,0.9735054347826086,0.967391304347826,0.970108695652174,0.978713768115942,0.988677536231884,0.9963768115942029,0.994338768115942,0.9945652173913043
facedetect,0.9986111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm,0.99775,0.99525,0.99325,0.99,0.989,0.987125,0.978375,0.980875,0.977375,0.982375
nn,0.999125,0.9975,0.995375,0.994625,0.993125,0.989125,0.98825,0.99125,0.990375,0.990125

P_M
app,10%,20%,30%,40%,50%,60%,70%,80%,90%
bodytrack,0.9833333333333333,0.85,0.9625,0.4152777777777778,0.7638888888888888,0.8444444444444444,0.85,0.9763888888888889,0.9041666666666667,0.8875
swaptions,1.0,0.05625,0.0,0.9375,1.0,0.99375,0.0,0.0,0.1,0.0
ferret,0.958786231884058,0.9347826086956522,0.9091938405797102,0.8940217391304348,0.9080615942028986,0.9128170289855072,0.9277626811594203,0.9279891304347826,0.920516304347826,0.9542572463768116
facedetect,0.24027777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm,0.697125,0.64725,0.71225,0.78075,0.802875,0.876375,0.875,0.891375,0.90425,0.924875
nn,0.990625,0.9875,0.9745,0.916625,0.85,0.814375,0.823375,0.857875,0.87,0.844875

P_mv
app,10%,20%,30%,40%,50%,60%,70%,80%,90%
bodytrack,0.0,0.00540214222251361,0.00010601139111567088,9.634441961890452e-05,6.080354654830144e-05,0.001420588867331915,0.0005385149433945678,0.00020657803265929824,0.00035125689421390354,0.03028921294793725
swaptions,0.0,0.0037992319228686462,0.02154236928635287,0.00043084738572705765,0.0,0.007848563757559027,0.0029285685662533726,0.002146243675546245,0.0007331980812560896,0.004389399245631852
ferret,0.06391384220126164,0.08119778222195918,0.03372954154541435,0.009030665288518648,0.003668353321801099,0.0019013874270311902,0.0008060731667520792,0.0005100668520056492,0.0012145252335322724,0.0031725587145546527
facedetect,0.001186770363502908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svm,0.037102768911609935,0.024526602219507487,0.023185699942795217,0.014290189992161306,0.009775713477777085,0.008444446099311217,0.01028208163956765,0.009794315867019898,0.009712703639127393,0.008178566897796153
nn,0.01248969968120852,0.04601865408268856,0.05169889331631024,0.03337659638330211,0.02420994551237334,0.021797844954095324,0.020126746659528308,0.018580339167028805,0.01977153206317971,0.022598803381039465

PM_mv
app,10%,20%,30%,40%,50%,60%,70%,80%,90%
bodytrack,0.00023537118990106228,0.008740842321416788,0.00034457897751372264,0.001398463545624827,0.0015566399809897008,0.012373072611723929,0.0033590757177130626,0.0009039188211263009,0.02356601801800984,0.06711870409395311
swaptions,0.0,0.04097743002522627,0.06893558171632935,0.004308473857270576,0.0,0.007848563757559027,0.009371419412010765,0.010105378828605368,0.0027013387701180763,0.0131535198863623
ferret,0.10036100819791093,0.13058410054509792,0.05349531514367366,0.031851450614632584,0.015643885853388096,0.004543586973421749,0.002429858807729818,0.0026628955443571954,0.0076830180165394025,0.023592437637041514
facedetect,0.037345912450776925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svm,0.14016126722106007,0.12370413196754475,0.09524270875483261,0.06091548214676723,0.05101094344250909,0.040235056573642874,0.04157707682326859,0.035924464366265924,0.030685371829253908,0.024211133602572776
nn,0.015518385923395741,0.05315654721946246,0.09005129962629761,0.10703816225377363,0.0978061841264764,0.08204129477646754,0.06536837996710411,0.048071546636186714,0.03858753279422645,0.03675810348216919
