Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
layer-5-particle-100,2390.0,0.945,0.372,0.142,6250.0,0.743,18.6,2.62,0.733,3.47,0.000555,0.918,0.275,4.4e-05,5.23,131.0,0.527,2100.0,0.224
layer-2-particle-2266,2420.0,1.0286,0.3262,0.1426,5546.0,0.6528,16.32,2.294,0.721,9.566,0.00173,0.9846,0.1452,2.61e-05,4.592,115.0,0.411,2124.0,0.1076
layer-4-particle-2266,2456.25,1.06125,0.321,0.144875,5432.5,0.6425,16.0375,2.215,0.7505,9.94875,0.0018325,0.989125,0.1085125,1.975e-05,4.435,111.0,0.37175,2115.0,0.0784125
layer-2-particle-1833,2530.0,1.0625,0.346,0.1495,5847.5,0.692,17.325,2.32,0.68325,10.6525,0.0018175,0.98475,0.1625,2.7625e-05,4.6375,116.0,0.42575,2112.5,0.1275
layer-1-particle-2700,2370.0,0.981666666667,0.327,0.14,5536.66666667,0.654666666667,16.4,2.33666666667,0.695,9.06,0.00163666666667,0.977,0.206,3.79333333333e-05,4.67666666667,117.0,0.457666666667,2116.66666667,0.14
layer-2-particle-3133,2465.0,1.0395,0.325166666667,0.146666666667,5468.33333333,0.650833333333,16.2833333333,2.22,0.723833333333,10.1916666667,0.00186666666667,0.986166666667,0.137166666667,2.51e-05,4.44,111.0,0.397666666667,2100.0,0.101866666667
layer-4-particle-4000,2448.57142857,1.065,0.314428571429,0.143071428571,5389.28571429,0.629071428571,15.7428571429,2.20071428571,0.750428571429,10.7785714286,0.00200142857143,0.991214285714,0.0935285714286,1.72214285714e-05,4.40357142857,110.142857143,0.359714285714,2142.14285714,0.0611785714286
layer-3-particle-2266,2352.85714286,0.979,0.305714285714,0.138142857143,5218.57142857,0.611428571429,15.2857142857,2.22714285714,0.732285714286,9.6,0.00184285714286,0.988,0.116885714286,2.22714285714e-05,4.45428571429,111.571428571,0.383571428571,2132.85714286,0.0849857142857
layer-3-particle-2700,2467.5,1.04525,0.322875,0.144375,5517.5,0.6455,16.1125,2.23875,0.73325,10.58875,0.00192125,0.98825,0.124725,2.23375e-05,4.48,112.0,0.38675,2135.0,0.084825
layer-5-particle-2266,2401.81818182,1.03054545455,0.308636363636,0.140454545455,5280.0,0.617545454545,15.4545454545,2.20363636364,0.724454545455,11.0818181818,0.00210181818182,0.991272727273,0.0954636363636,1.78154545455e-05,4.40454545455,110.090909091,0.362,2138.18181818,0.0651545454545
