Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
hash-7-itr-19-probe-2,4823.33333333,1.05,0.5576666666669999,0.282666666667,9530.0,1.11666666667,27.866666666700002,1.97666666667,0.7609999999999999,3.25333333333,0.000344,0.37200000000000005,2.03666666667,0.00021600000000000002,3.9533333333300003,98.7666666667,1.02566666667,2133.33333333,0.14300000000000002,1.03660612359
hash-7-itr-19-probe-2,4480.0,1.05,0.541333333333,0.262666666667,9236.66666667,1.08333333333,27.0666666667,2.06,0.7376666666670001,3.07666666667,0.000333333333333,0.34666666666699997,1.99333333333,0.000215666666667,4.12333333333,103.0,0.7156666666670001,2133.33333333,0.04963333333330001,1.0316548104799999
hash-7-itr-19-probe-2,4456.66666667,1.05,0.367666666667,0.261666666667,6263.33333333,0.735,18.366666666700002,1.40333333333,0.767,3.4,0.0005456666666669999,0.392,2.05666666667,0.00032966666666700003,2.81,70.2333333333,0.792666666667,2133.33333333,0.0806,1.02948482851
hash-7-itr-19-probe-2,4500.0,1.05,0.497333333333,0.264,8480.0,0.9946666666670001,24.866666666700002,1.88666666667,0.7603333333329999,10.1933333333,0.00121,0.7943333333329999,2.11,0.000249666666667,3.76666666667,94.2,0.820333333333,2126.66666667,0.0897,1.0450403958299999
hash-7-itr-19-probe-2,4480.0,1.05,0.536,0.260666666667,9203.33333333,1.07,26.8,2.05333333333,0.752,3.13333333333,0.00034166666666700005,0.366,1.97333333333,0.00021433333333300002,4.11,102.666666667,0.7146666666670001,2150.0,0.049833333333300006,1.02010899556
hash-7-itr-19-probe-2,4433.33333333,1.05,0.37,0.264,6210.0,0.739333333333,18.5,1.40333333333,0.7743333333329999,3.4533333333300003,0.000558,0.40733333333300004,2.04,0.00033,2.80333333333,70.0666666667,0.7959999999999999,2100.0,0.0845666666667,1.02555018922
hash-7-itr-19-probe-2,4473.33333333,1.05,0.369,0.262,6293.33333333,0.738,18.4333333333,1.40666666667,0.762,3.48666666667,0.000557333333333,0.41433333333300004,2.03666666667,0.000325,2.81333333333,70.3666666667,0.785666666667,2133.33333333,0.07813333333330001,1.03772180365
hash-7-itr-19-probe-2,4496.66666667,1.05,0.366333333333,0.263,6266.66666667,0.7326666666670001,18.3333333333,1.39333333333,0.805333333333,3.59666666667,0.0005783333333330001,0.41033333333300004,2.09333333333,0.000335333333333,2.78666666667,69.6666666667,0.794666666667,2140.0,0.0795666666667,1.03164408004
hash-7-itr-19-probe-2,4430.0,1.05,0.526666666667,0.263,8880.0,1.05333333333,26.366666666700002,2.00333333333,0.7593333333329999,3.07,0.00034700000000000003,0.34466666666699997,1.99666666667,0.000225,4.01,100.333333333,0.7206666666670001,2110.0,0.0503,1.02838674638
hash-7-itr-19-probe-2,4496.66666667,1.05,0.491666666667,0.263,8410.0,0.982,24.6,1.87,0.773666666667,10.3,0.0012266666666700002,0.796666666667,2.09666666667,0.00025,3.74333333333,93.46666666670001,0.81,2140.0,0.0880666666667,1.0274200049
hash-7-itr-19-probe-2,4516.66666667,1.05,0.5329999999999999,0.26333333333299996,9130.0,1.0666666666700002,26.633333333299998,2.02,0.731333333333,3.21333333333,0.00035233333333299996,0.357333333333,2.05333333333,0.00022433333333300002,4.04666666667,101.3,0.734333333333,2143.33333333,0.05106666666669999,1.03393510141
hash-7-itr-19-probe-2,4510.0,1.05,0.369,0.262,6343.33333333,0.738,18.4333333333,1.40666666667,0.7853333333329999,3.43,0.000542666666667,0.395333333333,2.06333333333,0.000325666666667,2.8166666666699998,70.3666666667,0.794666666667,2150.0,0.08203333333330001,1.03473330339
hash-7-itr-19-probe-2,4476.66666667,1.05,0.367666666667,0.263,6250.0,0.7346666666670001,18.366666666700002,1.39666666667,0.759666666667,3.53,0.0005676666666669999,0.406,2.08,0.000334,2.79333333333,69.8333333333,0.813,2126.66666667,0.0863666666667,1.02636441533
hash-7-itr-19-probe-2,4983.33333333,1.05,0.531,0.295333333333,8966.66666667,1.063,26.5666666667,1.8,0.7376666666670001,10.5,0.0011769999999999999,0.794666666667,2.18,0.000244333333333,3.60333333333,90.0666666667,1.207,2110.0,0.266,1.04259256689
hash-7-itr-19-probe-2,4473.33333333,1.05,0.370333333333,0.263666666667,6293.33333333,0.741,18.5,1.40666666667,0.762,3.37333333333,0.000539,0.38299999999999995,2.0666666666699998,0.00033,2.81,70.3,0.805,2130.0,0.0843333333333,1.04375574705
hash-7-itr-19-probe-2,4466.66666667,1.05,0.369,0.262,6286.66666667,0.7376666666670001,18.4333333333,1.40666666667,0.76,3.55333333333,0.0005676666666669999,0.416666666667,2.05333333333,0.000327333333333,2.81333333333,70.3,0.784666666667,2126.66666667,0.0780666666667,1.02035751265
hash-7-itr-19-probe-2,4606.66666667,1.05,0.377,0.27233333333299997,6376.66666667,0.7543333333329999,18.8333333333,1.38666666667,0.777666666667,3.50666666667,0.0005503333333330001,0.42100000000000004,2.02,0.00031733333333300003,2.77666666667,69.4,0.7959999999999999,2116.66666667,0.083,1.0452618722
hash-7-itr-19-probe-2,4573.33333333,1.05,0.372666666667,0.26633333333299997,6406.66666667,0.7456666666670001,18.6666666667,1.4,0.7683333333329999,3.7033333333300003,0.0005769999999999999,0.423,2.10666666667,0.00032833333333299997,2.80333333333,70.0666666667,0.821333333333,2150.0,0.0901,1.03752379118
hash-7-itr-19-probe-2,4476.66666667,1.05,0.482666666667,0.262666666667,8236.66666667,0.966,24.1666666667,1.83666666667,0.763,11.566666666700002,0.0014066666666700002,0.820666666667,2.09,0.000254,3.6833333333300002,92.0,0.7959999999999999,2133.33333333,0.0800666666667,1.03228976663
hash-7-itr-19-probe-2,4470.0,1.05,0.536333333333,0.262,9146.66666667,1.0766666666700002,26.8,2.04333333333,0.740333333333,3.07666666667,0.000337666666667,0.34833333333300004,1.98333333333,0.000217333333333,4.09333333333,102.2,0.721,2133.33333333,0.049833333333300006,1.0222927125
hash-8-itr-7-probe-20,4430.0,1.05,0.345,0.261666666667,5836.66666667,0.690666666667,17.2333333333,1.3166666666700002,0.650333333333,6.06,0.00103933333333,0.318666666667,4.13666666667,0.000711,2.63666666667,65.8666666667,1.4566666666699999,2116.66666667,0.0901,1.0352284282
hash-8-itr-7-probe-20,4530.0,1.05,0.498333333333,0.266,8473.33333333,0.9973333333329999,24.9,1.87333333333,0.688333333333,12.0,0.00141666666667,0.644666666667,4.26333333333,0.000503666666667,3.74,93.53333333329999,1.55,2126.66666667,0.125566666667,1.03633695239
