ACYC-1,AFREQ-1,EXEC-1,FREQ-1,INST-1,INSTnom-1,INSTnom%-1,IPC-1,L2HIT-1,L2MISS-1,L2MPI-1,L3HIT-1,L3MISS-1,L3MPI-1,PhysIPC-1,PhysIPC%-1,READ-1,TIME(ticks)-1,WRITE-1,ACYC-2,AFREQ-2,EXEC-2,FREQ-2,INST-2,INSTnom-2,INSTnom%-2,IPC-2,L2HIT-2,L2MISS-2,L2MPI-2,L3HIT-2,L3MISS-2,L3MPI-2,PhysIPC-2,PhysIPC%-2,READ-2,TIME(ticks)-2,WRITE-2,ACYC-C,AFREQ-C,EXEC-C,FREQ-C,INST-C,INSTnom-C,INSTnom%-C,IPC-C,L2HIT-C,L2MISS-C,L2MPI-C,L3HIT-C,L3MISS-C,L3MPI-C,PhysIPC-C,PhysIPC%-C,READ-C,TIME(ticks)-C,WRITE-C
2420.0,1.0018,0.2406,0.1408,4132.0,0.4808,12.02,1.704,0.5812,2.388,0.0005912000000000001,0.4494,1.335,0.0003314,3.4139999999999997,85.3,0.782,2160.0,0.05552000000000001,11730.0,0.9958,0.9187,0.6970000000000001,15450.0,1.837,45.95,1.32,0.1995,134.3,0.008707,0.9998,0.032693,2.0911e-06,2.642,66.01,0.2957,2100.0,0.012512,13983.333333300001,1.0306666666700002,1.07333333333,0.8270000000000001,18150.0,2.14666666667,53.7,1.30166666667,0.1625,125.433333333,0.00691333333333,0.988166666667,1.1825,6.61166666667e-05,2.60166666667,65.05,0.691333333333,2111.66666667,0.04281666666669999
2420.0,1.0018,0.2406,0.1408,4132.0,0.4808,12.02,1.704,0.5812,2.388,0.0005912000000000001,0.4494,1.335,0.0003314,3.4139999999999997,85.3,0.782,2160.0,0.05552000000000001,11038.0,1.0149,0.8052,0.6566,13540.0,1.611,40.25,1.228,0.6896,57.82,0.004264,0.9993,0.034821,2.5489e-06,2.455,61.36,0.2997,2101.0,0.011304,13057.142857100001,0.9958571428569999,0.9048571428569999,0.7725714285709999,15285.7142857,1.8071428571400001,45.2285714286,1.17285714286,0.698857142857,48.2428571429,0.00317,0.9701428571430001,1.20314285714,7.89142857143e-05,2.34285714286,58.5857142857,0.706285714286,2110.0,0.0371014285714
2420.0,1.0018,0.2406,0.1408,4132.0,0.4808,12.02,1.704,0.5812,2.388,0.0005912000000000001,0.4494,1.335,0.0003314,3.4139999999999997,85.3,0.782,2160.0,0.05552000000000001,13311.111111100001,1.04888888889,0.939333333333,0.787,15877.7777778,1.8788888888900004,46.9666666667,1.19666666667,0.8557777777779999,10.107777777799999,0.0006358888888890001,0.9872222222220001,0.0356955555556,2.2332222222200003e-06,2.3877777777799998,59.6888888889,0.30444444444400004,2114.44444444,0.016483333333299998,14871.428571399998,0.988285714286,1.02714285714,0.8715714285709999,17514.2857143,2.05428571429,51.314285714300006,1.17714285714,0.8062857142859999,19.1428571429,0.00109071428571,0.838,1.21185714286,6.92428571429e-05,2.36,58.9428571429,0.720285714286,2134.28571429,0.04251428571430001
2420.0,1.0018,0.2406,0.1408,4132.0,0.4808,12.02,1.704,0.5812,2.388,0.0005912000000000001,0.4494,1.335,0.0003314,3.4139999999999997,85.3,0.782,2160.0,0.05552000000000001,12330.0,0.9734,0.9964,0.73,16850.0,1.994,49.84,1.368,0.703,13.207,0.0007926,0.9946,0.03367,1.9741e-06,2.733,68.35,0.3022,2112.0,0.015703,15466.666666699999,1.037,1.21,0.9061666666670001,20633.3333333,2.41833333333,60.5,1.33166666667,0.8071666666670001,10.205,0.000497666666667,0.492333333333,1.13583333333,5.52833333333e-05,2.66666666667,66.7,0.708333333333,2133.33333333,0.0419016666667
2420.0,1.0018,0.2406,0.1408,4132.0,0.4808,12.02,1.704,0.5812,2.388,0.0005912000000000001,0.4494,1.335,0.0003314,3.4139999999999997,85.3,0.782,2160.0,0.05552000000000001,15570.0,1.0043,1.192,0.9266,20050.0,2.387,59.65,1.2890000000000001,0.6106,36.21,0.001809,0.9985,0.037704,1.8832e-06,2.575,64.41,0.3019,2100.0,0.01609,17071.4285714,1.032,1.2757142857100001,1.00971428571,21600.0,2.55428571429,63.8571428571,1.26142857143,0.7598571428569999,21.6,0.000998285714286,0.9288571428569999,1.02257142857,4.77857142857e-05,2.52857142857,63.185714285699994,0.651571428571,2112.85714286,0.03596
2420.0,1.0018,0.2406,0.1408,4132.0,0.4808,12.02,1.704,0.5812,2.388,0.0005912000000000001,0.4494,1.335,0.0003314,3.4139999999999997,85.3,0.782,2160.0,0.05552000000000001,8181.0,0.9888,0.9999,0.4858,16860.0,2.0,49.99,2.059,0.9863,0.4557,2.6912e-05,0.8641,0.043519999999999996,2.578e-06,4.119,103.0,0.3068,2105.0,0.016438,10633.3333333,1.0411666666700001,1.18,0.622,20216.6666667,2.36333333333,59.0833333333,1.90166666667,0.9381666666670001,2.22333333333,0.00010983333333299999,0.484166666667,1.181,5.835e-05,3.8083333333300002,95.0666666667,0.7055,2135.0,0.03768
2420.0,1.0018,0.2406,0.1408,4132.0,0.4808,12.02,1.704,0.5812,2.388,0.0005912000000000001,0.4494,1.335,0.0003314,3.4139999999999997,85.3,0.782,2160.0,0.05552000000000001,6521.0,1.0176,0.6419,0.3879,10800.0,1.285,32.08,1.656,0.364,37.12,0.0034409999999999996,0.9990000000000001,0.03895,3.545e-06,3.3110000000000004,82.77,0.3015,2100.0,0.017397,8486.66666667,0.9740000000000001,0.8226666666670001,0.4995,13983.333333300001,1.645,41.1333333333,1.65,0.26283333333299996,62.9833333333,0.00450666666667,0.9786666666670001,1.3419999999999999,9.609999999999999e-05,3.29833333333,82.46666666670001,0.7751666666670001,2116.66666667,0.045425
2420.0,1.0018,0.2406,0.1408,4132.0,0.4808,12.02,1.704,0.5812,2.388,0.0005912000000000001,0.4494,1.335,0.0003314,3.4139999999999997,85.3,0.782,2160.0,0.05552000000000001,10163.0,1.006,1.1401,0.5999,19300.0,2.278,56.97,1.903,0.6788,21.76,0.0011095999999999999,0.9975,0.04045,2.1972e-06,3.805,95.0,0.3036,2118.0,0.019566,12400.0,0.9986,1.19,0.7202,20520.0,2.384,59.6,1.656,0.7382,20.7,0.00101,0.9364,1.3156,6.488e-05,3.31,82.8,0.7742,2144.0,0.045322
2420.0,1.0018,0.2406,0.1408,4132.0,0.4808,12.02,1.704,0.5812,2.388,0.0005912000000000001,0.4494,1.335,0.0003314,3.4139999999999997,85.3,0.782,2160.0,0.05552000000000001,8253.0,0.9968,0.7103,0.4865,12060.0,1.421,35.51,1.459,0.1922,145.1,0.01205,0.9996,0.052410000000000005,4.4826999999999994e-06,2.9189999999999996,72.95,0.3083,2118.0,0.019361,9731.66666667,0.9925,0.831,0.5765,14016.666666699999,1.66166666667,41.55,1.44,0.20199999999999999,142.5,0.010198333333299999,0.991,1.27166666667,9.24333333333e-05,2.87833333333,71.96666666670001,0.742166666667,2116.66666667,0.04271166666669999
2420.0,1.0018,0.2406,0.1408,4132.0,0.4808,12.02,1.704,0.5812,2.388,0.0005912000000000001,0.4494,1.335,0.0003314,3.4139999999999997,85.3,0.782,2160.0,0.05552000000000001,13660.0,1.0318,0.9931,0.8099,16740.0,1.984,49.6,1.225,0.6087,71.39,0.004285,0.9995,0.037360000000000004,2.2191e-06,2.451,61.3,0.3004,2106.0,0.015776,15257.142857100001,0.969571428571,1.06857142857,0.8985714285709999,18142.8571429,2.1342857142900002,53.4,1.19,0.643428571429,56.4571428571,0.0031100000000000004,0.977571428571,1.08614285714,6.00428571429e-05,2.37857142857,59.4571428571,0.664571428571,2122.85714286,0.042557142857099994
