Configuration;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C3res%;C6res%;C6res%;C7res%;C7res%;C8res%;C9res%;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);WRITE;SLOWDOWN
layer-5-particle-2700;4.68e+05;1.01;99.9;0;0.0842;0;0;0;0;0;0;0;0;0;1.17;1.01;5.43e+05;2.34;58.6;1.16;0.71;381;0.000703;0.7;101;0.000186;2.32;58;876;65.6;5.79e+04;102;1.88131668675
layer-5-particle-2700;1.21e+05;1.01;45;0;41.7;0;0;0;0;0;0;0;0;0;0.764;0.455;2.04e+05;1.53;38.2;1.68;0.753;172;0.000844;0.745;42.8;0.00021;3.36;83.9;393;21.4;3.33e+04;45.5;1.12618827895
layer-5-particle-2700;4.19e+05;1.01;99.9;0;0.147;0;0;0;0;0;0;0;0;0;1.18;1.01;4.9e+05;2.36;58.9;1.17;0.722;229;0.000468;0.669;70.4;0.000144;2.34;58.6;770;43.1;5.2e+04;114;1.7086179338
layer-5-particle-2700;4.14e+05;1.01;99.8;0;0.196;0;0;0;0;0;0;0;0;0;1.26;1.01;5.16e+05;2.52;63.1;1.25;0.689;258;0.0005;0.694;76.7;0.000149;2.5;62.4;771;37.5;5.11e+04;79.3;1.67167007423
layer-5-particle-2700;3.21e+05;1.01;87.9;0;11.9;0;0;0;0;0;0;0;0;0;1.07;0.888;3.86e+05;2.13;53.4;1.2;0.668;323;0.000836;0.724;84.2;0.000218;2.4;60.1;629;57.9;4.52e+04;96.9;1.47533375255
layer-5-particle-2700;5.24e+05;0.914;99.9;0;0.118;0;0;0;0;0;0;0;0;0;1.16;0.913;6.64e+05;2.31;57.8;1.27;0.726;298;0.000449;0.766;61.1;9.2e-05;2.53;63.3;859;51.2;7.18e+04;84.9;2.33814205515
layer-5-particle-2700;5.08e+05;1.01;97.9;0;2.11;0;0;0;0;0;0;0;0;0;1.32;0.989;6.75e+05;2.63;65.8;1.33;0.667;291;0.000432;0.83;48.7;7.21e-05;2.66;66.5;952;33.8;6.41e+04;70;2.07931112252
layer-5-particle-2700;1.47e+05;1.01;51.8;0;45.2;0;0;0;0;0;0;0;0;0;0.743;0.523;2.09e+05;1.49;37.1;1.42;0.662;237;0.00114;0.771;51.4;0.000246;2.84;71;444;27.6;3.52e+04;72.4;1.15992756201
layer-5-particle-2700;2.84e+05;1.01;67.6;0;31.9;0;0;0;0;0;0;0;0;0;0.914;0.681;3.81e+05;1.83;45.7;1.34;0.687;291;0.000763;0.676;89.8;0.000236;2.69;67.1;702;46.1;5.21e+04;109;1.70865457291
layer-5-particle-2700;4.94e+05;0.868;99.2;0;0.808;0;0;0;0;0;0;0;0;0;0.947;0.861;5.43e+05;1.89;47.3;1.1;0.662;437;0.000805;0.618;155;0.000286;2.2;55;722;82.4;7.17e+04;152;2.32793294809
layer-5-particle-2700;3.89e+05;1;99.3;0;0.722;0;0;0;0;0;0;0;0;0;1.3;0.993;5.07e+05;2.59;64.8;1.3;0.656;251;0.000495;0.857;35.5;7e-05;2.61;65.2;715;25.3;4.89e+04;51.8;1.59509416511
