Configuration,AFREQ,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,READ,WRITE,SLOWDOWN
layer-4-particle-533,1.02,0.814,0.421,258000,1.63,1.93,0.629,56.2,0.000218,0.531,25.4,0.0000983,3.86,22.2,45,4.488681213
layer-4-particle-533,0.974,1.18,0.965,118000,2.35,1.22,0.686,46.2,0.00039,0.571,18.8,0.000159,2.44,13.2,23.4,1.4501775228
layer-4-particle-533,0.999,1.07,0.999,224000,2.14,1.07,0.689,135,0.000602,0.472,58.9,0.000263,2.15,41.5,58.8,3.0007687282
layer-4-particle-533,0.989,0.872,0.95,87500,1.74,0.918,0.696,85.3,0.000974,0.53,33.3,0.00038,1.84,24.1,36.3,1.4637530147
layer-4-particle-533,1.05,1.23,1.04,123000,2.45,1.18,0.708,56.3,0.000458,0.563,21.5,0.000175,2.37,15.2,23.3,1.4705688029
layer-4-particle-533,1.05,1.4,1.04,134000,2.79,1.34,0.725,28.4,0.000212,0.723,7.86,0.0000585,2.68,7.27,10.7,1.3975349202
layer-4-particle-533,1.04,1.39,1.04,148000,2.79,1.33,0.667,32.3,0.000218,0.767,7.03,0.0000474,2.67,7.91,11.9,1.5502898487
layer-4-particle-533,1.05,1.19,1.04,130000,2.37,1.14,0.63,61.6,0.000474,0.557,26,0.0002,2.27,13.6,28.4,1.5962246903
layer-4-particle-533,0.99,1.18,0.989,118000,2.36,1.19,0.719,68,0.000575,0.63,18.5,0.000156,2.39,18,20.3,1.4390171384
layer-4-particle-533,1.05,0.688,0.819,72700,1.38,0.84,0.707,83.6,0.00115,0.477,37.6,0.000516,1.68,23.6,38.7,1.5889126487
layer-4-particle-533,1.05,0.644,0.391,56000,1.29,1.65,0.641,38.1,0.000681,0.603,14.7,0.000263,3.29,8.15,14.6,1.3226373725
layer-4-particle-533,1,0.906,0.464,76100,1.81,1.95,0.664,29.5,0.000388,0.695,8.74,0.000115,3.9,6.5,11.6,1.3402147961
