Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
layer-5-particle-100,2330.0,0.961,0.384,0.138,6460.0,0.768,19.2,2.78,0.767,3.06,0.000474,0.952,0.143,2.22e-05,5.56,139.0,0.189,2100.0,0.0648
layer-2-particle-2266,2448.0,1.0262,0.3326,0.1456,5590.0,0.6652,16.64,2.286,0.6948,10.482,0.00187,0.988,0.12114,2.17e-05,4.57,114.2,0.4014,2100.0,0.1572
layer-4-particle-2266,2422.5,1.04825,0.321375,0.141875,5483.75,0.64275,16.0625,2.2675,0.802375,7.89,0.00144,0.991625,0.0680125,1.237375e-05,4.535,113.375,0.0713625,2133.75,0.0333875
layer-2-particle-1833,2230.0,0.974,0.318,0.13275,5347.5,0.6365,15.9,2.4,0.71,8.8475,0.0016525,0.991,0.0796,1.4875e-05,4.7975,119.75,0.0982,2100.0,0.04075
layer-1-particle-2700,2250.0,0.974,0.321666666667,0.132,5466.66666667,0.643333333333,16.0666666667,2.43,0.696666666667,8.78,0.00160666666667,0.989666666667,0.0898,1.65666666667e-05,4.86,121.666666667,0.113333333333,2120.0,0.0418666666667
layer-2-particle-3133,2335.0,1.01283333333,0.3135,0.136333333333,5370.0,0.627666666667,15.6833333333,2.30666666667,0.736333333333,9.53666666667,0.00177666666667,0.991666666667,0.0775333333333,1.43833333333e-05,4.61,115.333333333,0.0888666666667,2140.0,0.0407833333333
layer-4-particle-4000,2384.0,1.02486666667,0.3042,0.139466666667,5200.0,0.6084,15.22,2.188,0.716133333333,11.8253333333,0.00227466666667,0.994333333333,0.0673,1.27413333333e-05,4.37466666667,109.266666667,0.0644933333333,2136.0,0.0318933333333
layer-3-particle-2266,2500.0,1.06,0.331833333333,0.148166666667,5595.0,0.663666666667,16.5833333333,2.245,0.695166666667,11.7166666667,0.00209333333333,0.992833333333,0.0841666666667,1.48233333333e-05,4.48666666667,112.5,0.0876833333333,2108.33333333,0.0414833333333
layer-3-particle-2700,2370.0,1.004125,0.311875,0.138375,5343.75,0.62325,15.5625,2.25875,0.74025,10.01875,0.00187375,0.991875,0.0817875,1.5105e-05,4.5175,113.0,0.0806875,2142.5,0.03735
layer-5-particle-2266,2356.0,1.0487,0.3143,0.14,5287.0,0.6287,15.72,2.246,0.7501,10.059,0.001905,0.9939,0.06043,1.1247e-05,4.498,112.6,0.06086,2102.0,0.02765
layer-5-particle-1399,2434.28571429,1.04628571429,0.324714285714,0.143714285714,5492.85714286,0.649142857143,16.2285714286,2.26,0.762285714286,9.03428571429,0.00164571428571,0.991142857143,0.0798428571429,1.44328571429e-05,4.52,113.142857143,0.0822571428571,2114.28571429,0.0352714285714
layer-2-particle-966,2545.0,1.008,0.3635,0.149,6215.0,0.727,18.15,2.435,0.73,7.4,0.00119,0.9815,0.1345,2.16e-05,4.875,122.0,0.1535,2130.0,0.06395
layer-2-particle-1399,2390.0,1.03266666667,0.346333333333,0.140666666667,5880.0,0.692666666667,17.3333333333,2.46333333333,0.747333333333,7.51666666667,0.00128,0.988333333333,0.0876666666667,1.49666666667e-05,4.92666666667,123.0,0.116666666667,2120.0,0.0452
layer-5-particle-3133,2404.28571429,1.04842857143,0.310142857143,0.139714285714,5338.57142857,0.620285714286,15.5214285714,2.225,0.693142857143,13.0857142857,0.00245428571429,0.995785714286,0.0573142857143,1.05664285714e-05,4.44857142857,111.214285714,0.05615,2150.71428571,0.0272357142857
layer-3-particle-1399,2485.0,1.0675,0.34475,0.146,5860.0,0.689,17.225,2.36,0.74475,8.9125,0.0015225,0.99125,0.0773,1.3125e-05,4.72,118.0,0.096225,2125.0,0.03865
layer-5-particle-966,2210.0,0.9396,0.3044,0.1298,5190.0,0.6088,15.22,2.35,0.756,7.866,0.001518,0.991,0.07216,1.389e-05,4.702,117.6,0.08212,2130.0,0.03336
layer-5-particle-533,2426.66666667,1.06,0.355666666667,0.143333333333,6033.33333333,0.711333333333,17.8,2.48333333333,0.761333333333,7.26666666667,0.00120666666667,0.989,0.0800666666667,1.32666666667e-05,4.97,124.333333333,0.109333333333,2123.33333333,0.0390666666667
layer-1-particle-966,2715.0,1.045,0.4095,0.16,6955.0,0.8195,20.5,2.57,0.74,5.56,0.000797,0.97,0.1675,2.375e-05,5.14,128.5,0.199,2115.0,0.08105
layer-4-particle-3133,2335.0,1.0305,0.307583333333,0.13875,5182.5,0.615416666667,15.3916666667,2.225,0.698916666667,12.1166666667,0.002345,0.994916666667,0.0609916666667,1.15466666667e-05,4.44833333333,111.166666667,0.061475,2104.16666667,0.0303583333333
layer-5-particle-1833,2260.0,0.992666666667,0.304,0.134555555556,5107.77777778,0.607888888889,15.1777777778,2.26333333333,0.744222222222,9.59333333333,0.00188111111111,0.993444444444,0.0642111111111,1.23444444444e-05,4.52666666667,113.222222222,0.0648555555556,2100.0,0.0290333333333
layer-3-particle-3133,2415.55555556,1.06666666667,0.322666666667,0.143666666667,5424.44444444,0.645222222222,16.1333333333,2.24777777778,0.761666666667,9.60777777778,0.00177222222222,0.993,0.0682111111111,1.24266666667e-05,4.49777777778,112.555555556,0.0723555555556,2100.0,0.0350111111111
layer-3-particle-966,2386.66666667,0.988,0.339666666667,0.142,5710.0,0.680333333333,17.0,2.40333333333,0.682,9.49666666667,0.00166333333333,0.988333333333,0.110433333333,1.91333333333e-05,4.80666666667,120.0,0.126,2100.0,0.0542666666667
layer-4-particle-966,2290.0,0.974,0.32375,0.13625,5437.5,0.6475,16.2,2.3825,0.76025,7.535,0.0013875,0.9885,0.08635,1.5675e-05,4.7625,119.0,0.0971,2100.0,0.040225
layer-2-particle-100,2370.0,0.974,0.405,0.141,6810.0,0.81,20.3,2.87,0.738,2.27,0.000333,0.922,0.173,2.53e-05,5.75,144.0,0.217,2100.0,0.0761
layer-4-particle-1833,2477.14285714,1.05628571429,0.328142857143,0.144857142857,5620.0,0.656142857143,16.4,2.27142857143,0.767428571429,9.13285714286,0.00162714285714,0.991,0.0831428571429,1.46742857143e-05,4.54428571429,113.714285714,0.0837571428571,2141.42857143,0.0362571428571
layer-3-particle-100,2370.0,0.848,0.363,0.14,6130.0,0.727,18.2,2.59,0.71,2.97,0.000484,0.937,0.183,2.98e-05,5.18,130.0,0.213,2100.0,0.0926
layer-2-particle-533,2240.0,0.9515,0.355,0.133,5970.0,0.71,17.75,2.67,0.755,4.62,0.000773,0.9775,0.1035,1.735e-05,5.335,133.5,0.1425,2100.0,0.04995
layer-3-particle-1833,2186.66666667,0.955166666667,0.301666666667,0.13,5068.33333333,0.603,15.0833333333,2.325,0.747,8.42166666667,0.001665,0.991166666667,0.0732333333333,1.42666666667e-05,4.64666666667,116.166666667,0.0809166666667,2100.0,0.0349666666667
layer-1-particle-4000,2274.0,0.974,0.3166,0.1346,5350.0,0.6336,15.84,2.354,0.6832,10.26,0.00192,0.991,0.09376,1.75e-05,4.708,117.8,0.10816,2110.0,0.04658
layer-2-particle-2700,2313.33333333,0.974,0.310833333333,0.135,5325.0,0.621666666667,15.55,2.305,0.684166666667,10.83,0.00203666666667,0.992166666667,0.0833833333333,1.54583333333e-05,4.61333333333,115.166666667,0.093,2141.66666667,0.0400166666667
