Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,Proc,Energy,(Joules),READ,TIME(ticks),WRITE
layer-5-particle-2700,30400,1.06,11.7,0,14,11.9,0,0,0,0,0,0.272,0.124,66800,0.544,13.6,2.2,0.762,127,0.0019,0.992,1.06,0.0000159,4.39,110,147,4.94,30700,0.765,,
layer-2-particle-2266,12400,0.949,10.2,0,10.3,25.4,0,0,0,0,0,0.222,0.0967,28400,0.444,11.1,2.3,0.719,51.3,0.00181,0.991,0.467,0.0000164,4.6,115,64.2,0.499,16000,0.226,,
layer-1-particle-533,5260,0.875,8.92,0,17.4,41,0,0,0,0,0,0.19,0.078,12800,0.381,9.52,2.44,0.685,10,0.00078,0.899,0.979,0.0000763,4.88,122,29.2,0.947,8430,0.266,,
layer-2-particle-1399,9240,0.942,9.48,0,21.1,28.6,0,0,0,0,0,0.209,0.0893,21600,0.417,10.4,2.34,0.732,30.9,0.00143,0.983,0.515,0.0000238,4.67,117,50.9,0.594,12900,0.209,,
layer-3-particle-2700,19700,0.994,11.1,0,26.7,11.8,0,0,0,0,0,0.245,0.11,43700,0.489,12.2,2.22,0.722,89.6,0.00205,0.993,0.62,0.0000142,4.45,111,107,0.608,22300,0.295,,
layer-5-particle-4000,42900,1.05,12,0,14.2,8.62,0,0,0,0,0,0.278,0.127,94100,0.556,13.9,2.19,0.741,202,0.00215,0.994,1.11,0.0000118,4.39,110,248,1.06,42300,0.483,,
layer-5-particle-3133,34200,1.06,11.7,0,13.6,10.3,0,0,0,0,0,0.273,0.124,75500,0.546,13.7,2.21,0.754,150,0.00199,0.995,0.797,0.0000106,4.42,110,200,0.734,34500,0.373,,
layer-1-particle-966,5500,0.963,7.88,0,22.3,38.3,0,0,0,0,0,0.189,0.0759,13700,0.378,9.45,2.49,0.701,14.2,0.00103,0.973,0.375,0.0000274,4.98,125,32.9,0.499,9060,0.156,,
layer-5-particle-1833,21800,1.05,11.2,0,21.5,17.4,0,0,0,0,0,0.261,0.117,48400,0.522,13,2.22,0.733,97.3,0.00201,0.992,0.777,0.0000161,4.45,111,127,0.857,23200,0.316,,
layer-2-particle-3133,15700,0.993,10.3,0,12,19,0,0,0,0,0,0.232,0.102,35500,0.464,11.6,2.27,0.744,63.6,0.00179,0.989,0.68,0.0000191,4.54,113,89.6,0.703,19100,0.282,,
layer-2-particle-533,5550,0.996,7.45,0,9.06,42.4,0,0,0,0,0,0.187,0.0742,14000,0.374,9.35,2.52,0.737,13.2,0.000945,0.969,0.408,0.0000292,5.04,126,37.6,0.471,9350,0.148,,
layer-1-particle-1399,6370,0.944,8.54,0,16.8,28.2,0,0,0,0,0,0.198,0.0806,15700,0.397,9.92,2.46,0.712,18.3,0.00117,0.97,0.554,0.0000354,4.92,123,37,0.754,9870,0.186,,
layer-4-particle-2266,22200,1.03,11.5,0,18,12.5,0,0,0,0,0,0.26,0.119,48600,0.52,13,2.19,0.723,98.6,0.00203,0.987,1.28,0.0000264,4.38,109,129,1.69,23300,0.441,,
layer-3-particle-1399,11400,1.03,9.55,0,28.6,21.1,0,0,0,0,0,0.229,0.0979,26700,0.459,11.5,2.34,0.729,45.5,0.0017,0.992,0.355,0.0000133,4.69,117,70.4,0.415,14600,0.155,,
layer-4-particle-1399,14400,0.997,10.4,0,19.3,4.01,0,0,0,0,0,0.237,0.103,32900,0.473,11.8,2.29,0.754,54.6,0.00166,0.992,0.425,0.0000129,4.58,115,82.1,0.435,17400,0.194,,
layer-2-particle-1833,11000,0.942,10.1,0,12.8,25.6,0,0,0,0,0,0.218,0.0951,25300,0.435,10.9,2.29,0.667,50.1,0.00198,0.986,0.701,0.0000278,4.58,114,58,0.755,14500,0.246,,
layer-4-particle-3133,28400,1.04,11.4,0,14.6,13.5,0,0,0,0,0,0.263,0.119,62900,0.525,13.1,2.21,0.794,102,0.00162,0.99,0.974,0.0000155,4.42,111,164,0.966,29900,0.393,,
