Configuration,stresser,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
layer-5-particle-2700,stress:cpu_1_io_0_vm_0_vmbytes_512K,2261.25,1.07,0.317875,0.134,5365.0,0.636,15.9,2.37125,0.0437375,8.14375e-06,0.8375,0.00663625,1.23475e-06,4.74375,118.625,0.00391375,2107.5,0.000580375,1.02212537714
layer-5-particle-2700,facedetect:eyes-1-pyramid-11-selectivity-2,2280.0,1.0675,0.182,0.135125,3073.75,0.3645,9.1075,1.34875,0.463125,0.0001503,0.94125,0.0329775,1.065875e-05,2.6975,67.4375,0.0251925,2108.75,0.0107225,1.02214105532
layer-5-particle-2700,facedetect:eyes-1-pyramid-5-selectivity-0,2317.5,1.06375,0.187,0.13725,3150.0,0.37375,9.345,1.35875,0.676125,0.000215,0.92075,0.053325,1.69625e-05,2.72,67.975,0.065875,2106.25,0.0363125,1.02402064758
layer-5-particle-2700,swaptions:num-100000,2261.25,1.06875,0.348875,0.1345,5861.25,0.697375,17.45,2.58875,0.0993375,1.69625e-05,0.9105,0.0086275,1.473e-06,5.18125,129.625,0.00561375,2100.0,0.000944875,1.01619007652
layer-5-particle-2700,stress:cpu_3_io_1_vm_0_vmbytes_1M,6951.25,1.04875,0.93825,0.412125,15837.5,1.87625,46.9125,2.2775,1.693375,0.0001068375,0.988375,0.0073125,4.64375e-07,4.55375,113.75,0.00638125,2107.5,0.00148375,1.03098658442
layer-5-particle-2700,facedetect:eyes-1-pyramid-16-selectivity-0,2283.75,1.06625,0.18275,0.13575,3068.75,0.365125,9.12875,1.345,0.582125,0.000190125,0.940625,0.035675,1.16575e-05,2.6875,67.225,0.0377625,2100.0,0.0200375,1.0198556588
layer-5-particle-2700,facedetect:eyes-0-pyramid-5-selectivity-1,2260.0,1.06125,0.18025,0.13425,3027.5,0.360375,9.005,1.3425,0.545375,0.0001815,0.952375,0.02835,9.49125e-06,2.68125,67.025,0.0277375,2100.0,0.01392875,1.02438680899
layer-5-particle-2700,stress:cpu_0_io_0_vm_3_vmbytes_128K,6770.0,1.04875,0.6385,0.393875,10950.0,1.2775,31.925,1.62,0.087225,8e-06,0.8885,0.00787625,7.24875e-07,3.24375,81.0875,0.00513375,2147.5,0.000767875,1.02911154388
layer-5-particle-2700,stress:cpu_3_io_0_vm_2_vmbytes_256K,11275.0,1.04875,1.0975,0.655375,18900.0,2.19875,54.95,1.67625,21.875,0.0011485,0.9995,0.01398125,7.39125e-07,3.35625,83.85,0.00833125,2148.75,0.00157,1.28026528106
layer-5-particle-2700,stress:cpu_0_io_3_vm_1_vmbytes_256K,3288.75,1.05,0.194,0.19475,3276.25,0.388,9.705,0.998375,6.62375,0.0020125,0.997125,0.01083875,3.38625e-06,1.99875,49.9875,0.0071975,2110.0,0.00182875,1.06576900062
layer-5-particle-2700,swaptions:num-300000,2325.0,1.06875,0.35525,0.13575,6091.25,0.71025,17.75,2.62,0.1705125,2.803625e-05,0.897875,0.00998625,1.65075e-06,5.23875,131.0,0.0060025,2145.0,0.000873875,1.02349245236
layer-5-particle-2700,facedetect:eyes-0-pyramid-11-selectivity-1,2313.75,1.065,0.18125,0.134875,3107.5,0.362375,9.0575,1.34375,0.54925,0.00017725,0.951875,0.030375,9.845e-06,2.6875,67.1625,0.0251375,2143.75,0.01165125,1.02092558773
layer-5-particle-2700,stress:cpu_0_io_2_vm_1_vmbytes_256K,2842.5,1.04875,0.1795,0.167875,3040.0,0.3585,8.96375,1.07,8.82,0.002895,0.99925,0.0051425,1.73325e-06,2.14125,53.5375,0.00508375,2118.75,0.0015375,1.0300935116
layer-5-particle-2700,stress:cpu_4_io_0_vm_0_vmbytes_256K,9178.75,1.04875,1.2525,0.52225,22037.5,2.5075,62.65,2.39875,0.039375,1.7975e-06,0.919375,0.002840625,1.344125e-07,4.80125,120.0,0.00195325,2201.25,0.0002095125,1.04762097984
layer-5-particle-2700,ferret:eyes-2-pyramid-11-selectivity-1,2270.0,1.0625,0.18075,0.134,3060.0,0.361375,9.035,1.34875,0.54275,0.000178875,0.95075,0.029225,9.64375e-06,2.695,67.425,0.02534125,2116.25,0.01203,1.02128536894
layer-5-particle-2700,stress:cpu_4_io_3_vm_1_vmbytes_128K,12387.5,1.04875,1.18625,0.73725,19925.0,2.3725,59.275,1.60875,9.65375,0.000484125,0.996625,0.0192175,9.59375e-07,3.22125,80.5,0.01149625,2100.0,0.00201875,1.21900315474
layer-2-particle-2266,facedetect:eyes-1-pyramid-11-selectivity-2,2236.25,1.0585,0.18025,0.132875,3031.25,0.3605,9.01,1.355,0.42,0.0001409875,0.962,0.019425,6.655e-06,2.71125,67.7625,0.0146075,2100.0,0.00744875,1.02671989268
layer-2-particle-2266,facedetect:eyes-1-pyramid-16-selectivity-0,2332.5,1.0675,0.18275,0.135875,3143.75,0.365875,9.14125,1.3475,0.627125,0.000200375,0.9495,0.0338,1.084125e-05,2.69375,67.35,0.0365,2148.75,0.0203125,1.02983503575
layer-2-particle-2266,stress:cpu_1_io_0_vm_0_vmbytes_512K,2258.75,1.06875,0.325875,0.13425,5480.0,0.65175,16.2875,2.425,0.0539125,9.8525e-06,0.832625,0.0082925,1.51375e-06,4.85125,121.375,0.00431925,2100.0,0.00067375,1.01794348519
layer-2-particle-2266,facedetect:eyes-0-pyramid-11-selectivity-1,2270.0,1.06875,0.181625,0.135125,3052.5,0.3635,9.08375,1.34375,0.49425,0.00016175,0.940125,0.03572375,1.15975e-05,2.69,67.2875,0.02385,2100.0,0.01006875,1.02845326107
layer-2-particle-2266,stress:cpu_0_io_2_vm_1_vmbytes_256K,2860.0,1.05,0.181375,0.169625,3055.0,0.362875,9.07,1.07,8.16375,0.00266625,0.998625,0.0100125,3.25125e-06,2.13875,53.5125,0.0074325,2106.25,0.0018675,1.0126392076
layer-2-particle-2266,swaptions:num-100000,2253.75,1.065,0.3535,0.134,5940.0,0.706875,17.675,2.63625,0.0819625,1.385e-05,0.92575,0.0067825,1.15875e-06,5.2725,131.75,0.00379125,2100.0,0.000562375,1.01855546263
layer-2-particle-2266,swaptions:num-300000,2286.25,1.06875,0.354875,0.134625,6027.5,0.70975,17.7625,2.63625,0.07455,1.242e-05,0.878125,0.01014,1.6925e-06,5.27,132.0,0.00603125,2120.0,0.001185625,1.02577694785
layer-2-particle-2266,stress:cpu_0_io_0_vm_3_vmbytes_128K,6736.25,1.04875,0.60975,0.3935,10437.5,1.22,30.5,1.54625,4.23,0.000404875,0.998375,0.006665125,6.34375e-07,3.1,77.4875,0.004131,2140.0,0.0005161,1.03539458778
layer-2-particle-2266,stress:cpu_0_io_3_vm_1_vmbytes_256K,3575.0,1.04875,0.18225,0.210875,3083.75,0.364125,9.10625,0.865875,30.0125,0.00972125,0.999875,0.00685875,2.26625e-06,1.73125,43.3,0.0051525,2116.25,0.00157875,1.01724152776
layer-2-particle-2266,facedetect:eyes-1-pyramid-5-selectivity-0,2356.25,1.065,0.18725,0.13775,3203.75,0.374625,9.36375,1.36,0.69125,0.000216875,0.93075,0.04815,1.515625e-05,2.71875,67.9875,0.0599125,2137.5,0.034075,1.02433717346
