Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
layer-5-particle-2700,4598.33333333,1.05,0.477583333333,0.268333333333,8190.0,0.955333333333,23.8833333333,1.78083333333,9.90416666667,0.00121083333333,0.990583333333,0.0929166666667,1.13425e-05,3.56083333333,89.05,0.148583333333,2143.33333333,0.077725,1.02402064758
layer-5-particle-2700,4469.16666667,1.05,0.472,0.264916666667,7959.16666667,0.94375,23.5833333333,1.78166666667,5.84416666667,0.000734166666667,0.9905,0.0558166666667,7.01333333333e-06,3.56083333333,89.0416666667,0.0825083333333,2108.33333333,0.0410583333333,1.02092558773
layer-5-particle-2700,13246.6666667,1.05,1.2,0.783266666667,20280.0,2.39733333333,59.9533333333,1.53133333333,31.16,0.00153066666667,0.999066666667,0.0242666666667,1.20313333333e-06,3.06133333333,76.54,0.03196,2116.66666667,0.0136013333333,1.28026528106
layer-5-particle-2700,4561.66666667,1.05,0.6105,0.26425,10525.0,1.22,30.5166666667,2.31,9.15083333333,0.000869083333333,0.996416666667,0.0341666666667,3.22666666667e-06,4.62083333333,115.416666667,0.0406416666667,2156.66666667,0.0171583333333,1.02212537714
layer-5-particle-2700,4673.33333333,1.05,0.451083333333,0.27725,7608.33333333,0.902083333333,22.5666666667,1.6275,17.6916666667,0.00232583333333,0.99825,0.0286916666667,3.76666666667e-06,3.2575,81.4166666667,0.04035,2108.33333333,0.017725,1.0300935116
layer-5-particle-2700,4550.83333333,1.05,0.47575,0.27,8015.0,0.9515,23.7833333333,1.76333333333,5.62083333333,0.000699333333333,0.985583333333,0.0862833333333,1.06016666667e-05,3.52833333333,88.1916666667,0.124216666667,2105.83333333,0.058375,1.02438680899
layer-5-particle-2700,11025.0,1.05,1.34083333333,0.655083333333,22600.0,2.67916666667,66.9666666667,2.045,7.52583333333,0.0003335,0.99625,0.0271583333333,1.19816666667e-06,4.08916666667,102.166666667,0.0371,2107.5,0.0156666666667,1.04762097984
layer-5-particle-2700,9006.66666667,1.05,0.937083333333,0.525166666667,16066.6666667,1.87333333333,46.8666666667,1.78333333333,9.62166666667,0.000598916666667,0.996333333333,0.0348416666667,2.16e-06,3.57083333333,89.2416666667,0.0439,2142.5,0.0172,1.02911154388
layer-5-particle-2700,13850.0,1.05,1.38071428571,0.820214285714,23328.5714286,2.75928571429,69.0214285714,1.68285714286,10.4085714286,0.000448428571429,0.996714285714,0.0274928571429,1.18392857143e-06,3.365,84.1571428571,0.0375928571429,2110.71428571,0.0158335714286,1.21900315474
layer-5-particle-2700,4471.66666667,1.05,0.471583333333,0.264,7991.66666667,0.943,23.575,1.7875,9.66833333333,0.0012075,0.9955,0.0442666666667,5.53833333333e-06,3.5725,89.3583333333,0.0767,2118.33333333,0.039775,1.02214105532
