Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
layer-5-particle-100,2200.0,0.957,0.354,0.131,5980.0,0.709,17.7,2.71,2.55,0.000428,0.962,0.0929,1.55e-05,5.42,136.0,0.152,2100.0,0.0513
layer-2-particle-2266,2280.0,1.0575,0.316,0.1355,5317.5,0.6325,15.8,2.335,7.12,0.00134,0.9935,0.04715,8.875e-06,4.6625,116.5,0.0761,2100.0,0.031575
layer-4-particle-2266,2287.5,1.06875,0.305125,0.13575,5145.0,0.61,15.25,2.2475,9.02,0.00175375,0.9965,0.030825,5.975e-06,4.4975,112.5,0.0466,2107.5,0.01955
layer-2-particle-1833,2322.5,1.06,0.32225,0.13625,5495.0,0.64475,16.1,2.3675,6.635,0.00121,0.9925,0.048725,8.8925e-06,4.73,118.25,0.081075,2130.0,0.0322
layer-1-particle-2700,3103.33333333,1.04,0.355,0.183333333333,6013.33333333,0.709666666667,17.7333333333,1.98666666667,8.29666666667,0.00136666666667,0.952333333333,0.419966666667,6.75e-05,3.97666666667,99.2666666667,0.395666666667,2116.66666667,0.1118
layer-2-particle-3133,2290.0,1.06666666667,0.308,0.135666666667,5193.33333333,0.615833333333,15.4,2.27,8.23666666667,0.001585,0.995166666667,0.0407,7.82166666667e-06,4.53833333333,113.833333333,0.0662333333333,2108.33333333,0.02995
layer-4-particle-4000,2260.71428571,1.06492857143,0.2975,0.134357142857,5002.14285714,0.595,14.8785714286,2.21357142857,6.93928571429,0.00138714285714,0.996071428571,0.0266857142857,5.34214285714e-06,4.42571428571,110.5,0.0376785714286,2100.0,0.0183357142857
layer-3-particle-2266,2308.33333333,1.06,0.307333333333,0.135333333333,5246.66666667,0.614666666667,15.3666666667,2.27333333333,8.35166666667,0.00159166666667,0.9955,0.0367,6.98833333333e-06,4.54333333333,113.5,0.0570666666667,2133.33333333,0.02375
layer-3-particle-2700,2285.71428571,1.06571428571,0.306571428571,0.135428571429,5172.85714286,0.612714285714,15.3142857143,2.26428571429,7.6,0.00146857142857,0.995142857143,0.0365142857143,7.06571428571e-06,4.52857142857,113.285714286,0.0534714285714,2108.57142857,0.0236714285714
layer-5-particle-2266,2308.0,1.0588,0.3011,0.1344,5165.0,0.6021,15.03,2.237,7.196,0.001394,0.9954,0.03291,6.401e-06,4.479,112.0,0.04297,2144.0,0.01774
layer-5-particle-1399,2296.66666667,1.07,0.311,0.136,5251.66666667,0.622,15.5666666667,2.285,7.31666666667,0.00139,0.995,0.0354166666667,6.725e-06,4.57333333333,114.333333333,0.052,2110.0,0.0207833333333
layer-2-particle-966,2345.0,1.05,0.339,0.138,5765.0,0.678,16.95,2.46,6.15,0.001065,0.988,0.0725,1.26e-05,4.91,123.0,0.1135,2125.0,0.0407
layer-2-particle-1399,2336.66666667,1.05666666667,0.328333333333,0.137333333333,5590.0,0.657,16.4333333333,2.39333333333,5.92666666667,0.00106066666667,0.990666666667,0.0521,9.36666666667e-06,4.79,119.666666667,0.0905,2130.0,0.0329333333333
layer-5-particle-3133,2273.07692308,1.06846153846,0.298230769231,0.135,5013.07692308,0.596461538462,14.9153846154,2.20307692308,7.48230769231,0.00149307692308,0.996923076923,0.0234923076923,4.68538461538e-06,4.41076923077,110.153846154,0.0331923076923,2100.0,0.0152769230769
layer-3-particle-1399,2302.5,1.0575,0.31675,0.13575,5387.5,0.6335,15.85,2.3375,8.8875,0.00165,0.995,0.044975,8.375e-06,4.675,116.75,0.07165,2125.0,0.025675
layer-5-particle-966,2358.0,1.066,0.3198,0.1396,5408.0,0.6396,16.0,2.294,6.792,0.001252,0.9928,0.04976,9.176e-06,4.59,115.0,0.0701,2112.0,0.02638
layer-4-particle-1833,2320.0,1.06428571429,0.308571428571,0.135571428571,5277.14285714,0.616857142857,15.4142857143,2.27285714286,7.35428571429,0.00139428571429,0.995285714286,0.0356428571429,6.76142857143e-06,4.54857142857,113.714285714,0.0528285714286,2138.57142857,0.0213
layer-1-particle-966,2290.0,1.029,0.354,0.136,5955.0,0.7085,17.7,2.6,4.725,0.000793,0.982,0.08325,1.405e-05,5.2,130.0,0.1405,2100.0,0.04885
layer-4-particle-3133,2289.09090909,1.06181818182,0.299181818182,0.134181818182,5100.90909091,0.598090909091,14.9454545455,2.22909090909,7.90818181818,0.00155,0.996454545455,0.0292818181818,5.75363636364e-06,4.45727272727,111.454545455,0.0416545454545,2131.81818182,0.0189090909091
layer-5-particle-1833,2303.75,1.065,0.3045,0.136,5167.5,0.609625,15.25,2.2425,8.6525,0.00167375,0.99575,0.0361625,7.005e-06,4.48625,112.25,0.04775,2118.75,0.0191375
layer-3-particle-3133,2300.0,1.065,0.30475,0.136375,5138.75,0.609625,15.2375,2.23375,7.65,0.00149,0.995125,0.0373375,7.24625e-06,4.46875,111.625,0.05315,2106.25,0.0238875
layer-3-particle-966,2316.66666667,1.06,0.327,0.137,5530.0,0.653333333333,16.3333333333,2.39,7.51,0.00135666666667,0.992666666667,0.0536333333333,9.68333333333e-06,4.77666666667,119.333333333,0.0877333333333,2116.66666667,0.0324
layer-4-particle-966,2335.0,1.06,0.322,0.13725,5472.5,0.644,16.075,2.3425,6.295,0.00115,0.992,0.049825,9.125e-06,4.6875,117.25,0.07645,2125.0,0.027375
layer-2-particle-100,2460.0,1.04,0.394,0.146,6640.0,0.788,19.7,2.7,2.55,0.000385,0.954,0.11,1.66e-05,5.4,135.0,0.19,2100.0,0.0648
layer-5-particle-533,2353.33333333,1.06666666667,0.335333333333,0.139,5683.33333333,0.671333333333,16.7666666667,2.41666666667,6.28333333333,0.00110666666667,0.989666666667,0.0671333333333,1.17866666667e-05,4.83,120.333333333,0.0961333333333,2116.66666667,0.0356
layer-3-particle-100,2270.0,0.969,0.361,0.135,6080.0,0.723,18.1,2.68,2.54,0.000417,0.958,0.1,1.65e-05,5.36,134.0,0.169,2100.0,0.0581
layer-2-particle-533,2275.0,1.005,0.3435,0.135,5775.0,0.6865,17.15,2.54,4.805,0.000834,0.9845,0.07415,1.29e-05,5.075,127.0,0.1305,2100.0,0.04825
