Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
hash-6-itr-7-probe-8,2293.3333333333335,1.0666666666666667,0.19466666666666665,0.137,3266.6666666666665,0.3893333333333333,9.716666666666667,1.4233333333333336,3.7733333333333334,0.0011806666666666669,0.3253333333333333,2.533333333333333,0.000791,2.846666666666667,71.2,0.884,2100.0,0.05266666666666667
hash-8-itr-17-probe-6,2396.6666666666665,1.0666666666666667,0.19466666666666665,0.14033333333333334,3320.0,0.3893333333333333,9.743333333333334,1.39,4.446666666666666,0.0013556666666666667,0.37033333333333335,2.73,0.0008296666666666666,2.7733333333333334,69.36666666666667,0.9583333333333334,2116.6666666666665,0.0546
hash-2-itr-12-probe-14,2305.0,1.065,0.198,0.1355,3375.0,0.396,9.925,1.4649999999999999,2.755,0.000822,0.4135,1.605,0.000476,2.925,73.25,0.585,2130.0,0.0713
hash-3-itr-4-probe-16,2325.0,1.07,0.1945,0.137,3310.0,0.3895,9.725,1.4249999999999998,3.445,0.0010400000000000001,0.3675,2.17,0.0006545,2.8449999999999998,71.1,0.7715000000000001,2120.0,0.07055
hash-7-itr-22-probe-4,2280.0,1.07,0.19499999999999998,0.13566666666666669,3273.3333333333335,0.38966666666666666,9.753333333333332,1.4366666666666668,3.4633333333333334,0.001076,0.3406666666666667,2.263333333333333,0.0007043333333333333,2.8766666666666665,71.89999999999999,0.7996666666666666,2100.0,0.05043333333333333
hash-3-itr-25-probe-6,2350.0,1.07,0.199,0.1375,3395.0,0.398,9.92,1.4449999999999998,2.87,0.0008495,0.39749999999999996,1.72,0.000507,2.8899999999999997,72.3,0.61,2130.0,0.07145
hash-4-itr-25-probe-10,2313.3333333333335,1.07,0.19733333333333333,0.13633333333333333,3343.3333333333335,0.39466666666666667,9.883333333333333,1.4466666666666665,3.25,0.0009783333333333334,0.35033333333333333,2.0866666666666664,0.0006286666666666667,2.89,72.36666666666666,0.733,2120.0,0.050533333333333326
hash-6-itr-22-probe-6,2280.0,1.07,0.19366666666666665,0.135,3270.0,0.3873333333333333,9.663333333333334,1.4366666666666668,3.47,0.0010796666666666665,0.3256666666666666,2.3233333333333333,0.0007203333333333334,2.8699999999999997,71.73333333333333,0.82,2113.3333333333335,0.049249999999999995
hash-5-itr-22-probe-2,2300.0,1.07,0.193,0.1355,3270.0,0.385,9.635000000000002,1.42,3.31,0.0010135,0.3725,2.0599999999999996,0.0006299999999999999,2.8449999999999998,71.05000000000001,0.7655000000000001,2120.0,0.0703
hash-5-itr-12-probe-20,2300.0,1.07,0.18833333333333332,0.13566666666666669,3183.3333333333335,0.37633333333333335,9.413333333333334,1.3833333333333335,4.403333333333333,0.001397,0.309,3.033333333333333,0.0009616666666666668,2.7733333333333334,69.26666666666667,1.0333333333333332,2113.3333333333335,0.05076666666666666
hash-5-itr-22-probe-6,2290.0,1.07,0.19499999999999998,0.13533333333333333,3310.0,0.39033333333333337,9.76,1.4466666666666665,3.313333333333333,0.0010133333333333333,0.33266666666666667,2.19,0.0006666666666666666,2.89,72.26666666666667,0.7806666666666667,2120.0,0.049999999999999996
hash-4-itr-7-probe-4,2320.0,1.07,0.196,0.136,3345.0,0.392,9.825,1.4449999999999998,2.95,0.0008845000000000001,0.389,1.7850000000000001,0.000533,2.88,72.05,0.6615,2145.0,0.0699
hash-5-itr-12-probe-8,2290.0,1.07,0.19466666666666665,0.13533333333333333,3286.6666666666665,0.38866666666666666,9.726666666666667,1.4333333333333333,3.48,0.001074,0.3276666666666667,2.3266666666666667,0.0007166666666666667,2.8733333333333335,71.76666666666667,0.8163333333333332,2113.3333333333335,0.050533333333333326
hash-2-itr-9-probe-20,2305.0,1.07,0.1965,0.1355,3345.0,0.392,9.795,1.45,2.9450000000000003,0.0008849999999999999,0.40249999999999997,1.74,0.0005215,2.9,72.5,0.622,2130.0,0.0702
hash-3-itr-19-probe-12,2275.0,1.07,0.194,0.1355,3260.0,0.388,9.695,1.43,3.1550000000000002,0.0009705,0.381,1.945,0.000596,2.865,71.65,0.7015,2100.0,0.0704
hash-2-itr-9-probe-10,2305.0,1.07,0.1995,0.1355,3380.0,0.399,9.945,1.47,2.58,0.0007675,0.421,1.47,0.0004355,2.94,73.5,0.544,2120.0,0.0699
hash-7-itr-7-probe-20,2543.3333333333335,1.0666666666666667,0.18866666666666668,0.14966666666666667,3200.0,0.37766666666666665,9.436666666666667,1.2699999999999998,6.013333333333333,0.0018666666666666666,0.3316666666666667,3.94,0.00123,2.5366666666666666,63.46666666666666,1.3733333333333333,2120.0,0.07306666666666667
hash-4-itr-12-probe-2,2335.0,1.07,0.1975,0.137,3365.0,0.395,9.875,1.44,2.875,0.0008575,0.4265,1.63,0.0004845,2.885,72.1,0.6165,2130.0,0.07265
hash-4-itr-19-probe-12,2323.3333333333335,1.0666666666666667,0.19766666666666666,0.137,3346.6666666666665,0.395,9.886666666666665,1.4433333333333334,3.3666666666666667,0.0010146666666666665,0.3426666666666667,2.1533333333333333,0.0006469999999999999,2.89,72.16666666666667,0.7530000000000001,2120.0,0.0511
hash-5-itr-22-probe-4,2300.0,1.07,0.19766666666666666,0.13566666666666669,3350.0,0.3953333333333333,9.9,1.46,3.2266666666666666,0.0009689999999999999,0.383,1.9766666666666666,0.000593,2.9166666666666665,72.89999999999999,0.7066666666666667,2120.0,0.05046666666666667
