Configuration,stresser,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-2-learning-34-regular-89,stress:cpu_0_io_2_vm_0_vmbytes_512K,498.45,0.3705,0.02329375,0.02963625,391.575,0.04655,1.1645,0.76475,2.220125,0.0054525,0.919,0.02494,0.0002771375,1.52875,38.2375,0.300625,2100.0,0.007295,1.00256557485
batch-2-learning-34-regular-89,facedetect:eyes-2-pyramid-20-selectivity-2,1730.875,0.8905,0.13592,0.1028025,2284.5375,0.2718375,6.794125,1.22175,0.510875,0.001142125,0.8565,0.07902375,0.00032594125,2.44125,61.025,0.33825,2106.25,0.03518125,0.989322111093
batch-2-learning-34-regular-89,facedetect:eyes-1-pyramid-18-selectivity-2,2325.0,1.055625,0.181,0.135875,3100.0,0.3625,9.05625,1.335,0.571125,0.000187875,0.962625,0.02669375,9.025e-06,2.67125,66.725,0.30475,2140.0,0.0324875,0.990359184701
batch-2-learning-34-regular-89,stress:cpu_0_io_1_vm_0_vmbytes_512K,242.6375,0.360375,0.012505,0.01442375,209.9625,0.02496625,0.6242,0.77875,0.9155,0.00464625,0.859375,0.0401875,0.0006862875,1.5585,38.9375,0.31175,2100.0,0.01118375,1.02059038709
batch-2-learning-34-regular-89,ferret:eyes-2-pyramid-13-selectivity-1,2280.0,1.0445,0.179875,0.13525,3032.5,0.359875,8.995,1.33,0.705,0.000235625,0.94425,0.0414875,1.4105e-05,2.66,66.5125,0.313875,2106.25,0.0507625,0.988802814219
batch-2-learning-34-regular-89,stress:cpu_0_io_2_vm_0_vmbytes_512K,461.625,0.375125,0.020835,0.02746375,350.3625,0.04168375,1.0410125,0.713125,2.1305,0.00607,0.907,0.031625,0.0004443875,1.425875,35.6625,0.306625,2100.0,0.007675,0.996910905665
batch-2-learning-34-regular-89,svm:batch-5-learning-56-regular-89,6731.25,1.050375,0.202575,0.400875,3403.75,0.404875,10.125,0.70675,9.027,0.0021985,0.569875,3.501375,0.0009415,1.41275,35.325,3.305,2100.0,2.0275,1.21562728047
batch-2-learning-34-regular-89,svm:batch-3-learning-100-regular-56,3856.25,0.99925,0.1470375,0.22925,2473.75,0.294125,7.36,0.7895,4.15775,0.001367,0.544125,1.6825,0.0006515,1.58,39.5125,2.198875,2100.0,1.782375,1.173819195
batch-2-learning-34-regular-89,swaptions:num-800000,2293.75,1.0585,0.3465,0.134125,5925.0,0.693,17.325,2.58125,0.099275,1.691e-05,0.908125,0.009345,1.60975e-06,5.1675,129.25,0.288375,2136.25,0.012694375,0.994038515799
batch-2-learning-34-regular-89,stress:cpu_0_io_3_vm_2_vmbytes_128K,5207.5,1.02825,0.465625,0.309875,7827.5,0.931375,23.275,1.50875,3.305,0.000415375,0.989875,0.0099625,1.33175e-06,3.0175,75.4375,0.285625,2100.0,0.004195125,1.05349163175
