Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-2-learning-34-regular-89,8323.33333333,1.05,0.322166666667,0.492666666667,5426.66666667,0.644166666667,16.0966666667,0.723833333333,9.745,0.00199066666667,0.601166666667,3.84316666667,0.000879333333333,1.45,36.2166666667,4.29666666667,2108.33333333,3.13166666667,1.173819195
batch-2-learning-34-regular-89,11495.0,1.05,1.05,0.6775,17766.6666667,2.1,52.5166666667,1.637,6.33,0.000351333333333,0.810833333333,1.48016666667,7.98e-05,3.27833333333,82.0166666667,2.03333333333,2120.0,1.49266666667,1.1548437038
batch-2-learning-34-regular-89,3660.0,1.0338,0.17186,0.2174,2890.0,0.3438,8.604,0.7662,6.418,0.002356,0.775,1.6984,0.0006304,1.53,38.28,2.1558,2100.0,1.658,1.02059038709
batch-2-learning-34-regular-89,6078.0,1.05,0.499,0.3596,8432.0,0.9976,24.98,1.498,4.3072,0.000477,0.6204,1.8124,0.00020664,2.99,74.84,2.286,2110.0,1.746,0.994038515799
batch-2-learning-34-regular-89,6130.0,1.05,0.346,0.3628,5842.0,0.6912,17.3,0.9922,4.386,0.0006816,0.6776,1.4394,0.00023842,1.986,49.64,2.444,2108.0,1.808,0.990359184701
batch-2-learning-34-regular-89,5946.0,1.0388,0.4914,0.3536,8266.0,0.9838,24.56,1.49,4.6692,0.0005254,0.643,1.8,0.00020832,2.978,74.48,2.28,2100.0,1.748,0.983795218162
batch-2-learning-34-regular-89,6242.0,1.05,0.3498,0.3678,5938.0,0.6996,17.5,0.991,5.148,0.0007934,0.671,1.859,0.00030526,1.982,49.6,2.514,2120.0,1.858,0.988802814219
batch-2-learning-34-regular-89,8920.0,1.05,0.6038,0.527,10206.0,1.208,30.18,1.1718,8.96,0.0008608,0.7746,1.7572,0.0001678,2.34,58.52,2.246,2114.0,1.694,1.05349163175
batch-2-learning-34-regular-89,12866.6666667,1.05,0.497333333333,0.7595,8433.33333333,0.993,24.8833333333,0.6615,246.833333333,0.0303166666667,0.994166666667,1.51816666667,0.000176666666667,1.32166666667,33.0833333333,2.00166666667,2116.66666667,1.49,1.13715619384
batch-2-learning-34-regular-89,17650.0,1.05,1.147875,1.0425,19425.0,2.29875,57.45,1.103125,92.7875,0.00472375,0.988875,1.1055,5.425e-05,2.20375,55.125,1.590625,2126.25,1.108375,1.54914373443
batch-2-learning-34-regular-89,4170.0,1.0332,0.18622,0.248,3132.0,0.3722,9.308,0.7366,7.264,0.002456,0.7888,1.7986,0.0005994,1.472,36.8,2.2344,2100.0,1.708,0.996910905665
batch-2-learning-34-regular-89,8948.0,1.05,0.7722,0.53,13000.0,1.544,38.6,1.476,10.316,0.0007776,0.788,1.682,0.00012572,2.95,73.74,2.2034,2110.0,1.686,1.02352755183
batch-2-learning-34-regular-89,8838.33333333,1.05,0.322,0.525333333333,5421.66666667,0.644166666667,16.1083333333,0.728833333333,10.7616666667,0.0017365,0.5405,4.67633333333,0.0007635,1.45566666667,36.4333333333,4.52666666667,2106.66666667,3.12333333333,1.21562728047
