Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-1-learning-34-regular-34,4064.0,1.0208,0.1779,0.2418,2990.0,0.3558,8.888,0.7804,4.019,0.0013268,0.6318,1.6692,0.0006059,1.56,39.02,1.851,2100.0,1.642
batch-2-learning-89-regular-100,4234.0,1.0376,0.18754,0.2518,3154.0,0.3754,9.39,0.784,5.385,0.001566,0.6564,1.8074,0.000615,1.57,39.18,2.0726,2100.0,1.774
batch-2-learning-12-regular-34,4186.0,1.0206,0.188,0.2496,3160.0,0.376,9.408,0.7954,4.9132,0.0014334,0.6306,1.8702,0.0006318,1.588,39.74,2.0398,2100.0,1.77
batch-1-learning-67-regular-23,4052.0,1.011,0.17816,0.2412,2998.0,0.3566,8.92,0.7816,4.0236,0.001383,0.6374,1.7168,0.0006234,1.564,39.08,1.875,2100.0,1.646
batch-2-learning-67-regular-89,4208.0,1.0238,0.18776,0.2502,3160.0,0.376,9.406,0.7918,4.544,0.0013806,0.6286,1.7982,0.0006128,1.584,39.6,2.056,2100.0,1.77
batch-5-learning-1-regular-1,4108.0,1.0194,0.191,0.2442,3210.0,0.382,9.55,0.7964,4.7466,0.0013856,0.6094,1.9238,0.000612,1.592,39.84,2.2294,2100.0,1.816
batch-4-learning-45-regular-78,4170.0,1.0372,0.1865,0.2482,3134.0,0.3724,9.308,0.7796,5.362,0.0015356,0.617,2.1104,0.0006724,1.56,39.04,2.2258,2100.0,1.83
batch-5-learning-78-regular-45,4048.0,1.0118,0.18716,0.2406,3144.0,0.374,9.342,0.7956,4.8412,0.001372,0.6218,1.7928,0.0005722,1.59,39.8,2.2176,2100.0,1.82
batch-1-learning-89-regular-23,4050.0,1.0238,0.17984,0.2404,3024.0,0.3594,8.982,0.7914,3.9432,0.0012974,0.632,1.6172,0.00058488,1.58,39.54,1.8632,2100.0,1.648
batch-5-learning-56-regular-78,4116.0,1.0206,0.19046,0.2444,3202.0,0.381,9.516,0.7988,4.8008,0.0014164,0.6126,1.9558,0.0006304,1.598,39.96,2.2226,2100.0,1.818
batch-2-learning-45-regular-1,4400.0,1.054,0.19228,0.262,3230.0,0.3842,9.594,0.7826,4.8352,0.0013874,0.6372,1.7824,0.0006024,1.564,39.1,2.0528,2100.0,1.77
batch-5-learning-34-regular-67,3900.0,1.0024,0.18226,0.232,3066.0,0.3646,9.124,0.796,4.5008,0.0013226,0.6142,1.6676,0.000551,1.59,39.76,2.1938,2100.0,1.798
batch-4-learning-56-regular-100,4232.0,1.0322,0.18962,0.2518,3190.0,0.3794,9.494,0.788,5.6726,0.0015694,0.6312,2.1202,0.0006528,1.578,39.4,2.2322,2100.0,1.846
batch-1-learning-23-regular-12,4180.0,1.038,0.1829,0.2484,3076.0,0.3658,9.158,0.7824,4.1946,0.0013372,0.6448,1.688,0.000592,1.562,39.08,1.8708,2100.0,1.656
batch-3-learning-67-regular-34,3802.0,0.9836,0.1769,0.2258,2976.0,0.3538,8.836,0.8012,4.5348,0.0014646,0.6166,1.8758,0.0006522,1.602,40.04,2.1046,2100.0,1.788
batch-4-learning-67-regular-12,4082.0,1.0148,0.18566,0.2426,3120.0,0.371,9.274,0.7926,5.2052,0.0015616,0.6024,2.3154,0.0007364,1.584,39.64,2.1898,2100.0,1.826
batch-1-learning-100-regular-78,4012.0,1.0118,0.17622,0.2386,2962.0,0.3522,8.804,0.7794,4.3958,0.001461,0.653,1.6612,0.00061134,1.558,38.94,1.8518,2100.0,1.642
batch-2-learning-1-regular-34,4060.0,1.012,0.18412,0.2412,3092.0,0.368,9.2,0.7914,4.8674,0.0014708,0.6362,1.8072,0.0006372,1.584,39.62,2.048,2100.0,1.768
batch-3-learning-100-regular-89,4398.0,1.054,0.19364,0.2614,3252.0,0.387,9.67,0.7854,5.2194,0.0014356,0.624,1.953,0.0006244,1.57,39.24,2.2022,2100.0,1.834
batch-2-learning-34-regular-100,4144.0,1.0206,0.18616,0.2468,3130.0,0.3724,9.308,0.7894,4.8526,0.0014346,0.6356,1.776,0.0006198,1.58,39.5,2.0446,2100.0,1.77
batch-5-learning-45-regular-56,4238.0,1.0292,0.19444,0.2526,3266.0,0.3888,9.722,0.7994,5.4882,0.0014768,0.6166,2.1196,0.0006484,1.6,39.96,2.2666,2100.0,1.838
batch-5-learning-45-regular-100,4082.0,1.0238,0.18792,0.2428,3158.0,0.3756,9.394,0.7894,5.146,0.0014598,0.6156,2.0208,0.0006458,1.578,39.5,2.2344,2100.0,1.812
batch-4-learning-89-regular-45,4076.0,1.0192,0.18398,0.2424,3094.0,0.3682,9.2,0.7888,5.2084,0.0014966,0.6108,2.0864,0.0006638,1.576,39.44,2.2088,2100.0,1.822
batch-1-learning-56-regular-89,4302.0,1.064,0.18602,0.2558,3130.0,0.3722,9.31,0.783,4.7302,0.0014658,0.6418,1.951,0.0006642,1.566,39.16,1.8758,2100.0,1.6546
batch-2-learning-56-regular-34,4142.0,1.0204,0.18574,0.2464,3122.0,0.3716,9.282,0.7906,4.7844,0.0014146,0.635,1.7596,0.0006076,1.58,39.48,2.056,2100.0,1.77
batch-4-learning-56-regular-56,4132.0,1.0206,0.18808,0.2458,3162.0,0.3762,9.404,0.7938,4.9316,0.0014456,0.6046,2.079,0.000658,1.59,39.68,2.2196,2100.0,1.838
batch-5-learning-100-regular-45,4188.0,1.0214,0.19342,0.2488,3252.0,0.3868,9.67,0.8014,5.4568,0.001492,0.615,2.131,0.0006568,1.602,40.02,2.2512,2100.0,1.84
batch-5-learning-23-regular-78,4174.0,1.0298,0.19304,0.2484,3244.0,0.386,9.638,0.7972,5.1838,0.0014066,0.6198,1.9222,0.0005952,1.594,39.82,2.242,2100.0,1.84
batch-2-learning-1-regular-89,4092.0,1.0206,0.18452,0.2432,3096.0,0.3686,9.208,0.7872,3.9044,0.0012282,0.6388,1.4056,0.0005086,1.572,39.32,2.0538,2100.0,1.768
batch-4-learning-23-regular-100,4126.0,1.0204,0.1866,0.246,3134.0,0.3728,9.326,0.7906,5.361,0.0015092,0.606,2.1872,0.0006788,1.582,39.54,2.2406,2100.0,1.832
batch-3-learning-56-regular-34,4144.0,1.0204,0.1878,0.2466,3154.0,0.3754,9.388,0.794,4.8322,0.001438,0.6098,2.0136,0.0006614,1.586,39.66,2.1572,2100.0,1.818
batch-5-learning-45-regular-67,4082.0,1.0204,0.18952,0.2426,3186.0,0.3788,9.47,0.7948,4.2052,0.001229,0.6038,1.642,0.000535,1.588,39.72,2.2126,2100.0,1.816
batch-2-learning-12-regular-45,4138.0,1.0294,0.18572,0.2464,3120.0,0.3708,9.274,0.7826,4.2348,0.0012594,0.6428,1.4042,0.0005044,1.566,39.16,2.0444,2100.0,1.778
