Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-2-learning-34-regular-78,5984.0,1.05,0.4646,0.3546,7842.0,0.9284,23.26,1.4536,4.2772,0.0005517,0.6114,1.9138,0.000252,2.912,72.74,2.0992,2110.0,1.856,1.01621788912
batch-2-learning-34-regular-78,6088.0,1.05,0.486,0.359,8248.0,0.9722,24.3,1.5248,4.122,0.00051162,0.6388,1.673,0.00021142,3.05,76.32,1.987,2124.0,1.812,1.06938024994
batch-2-learning-34-regular-78,6612.0,1.05,0.372,0.3922,6274.0,0.7446,18.6,0.9796,9.95,0.001595,0.8418,1.765,0.00027872,1.962,49.02,2.018,2106.0,1.814,1.047957229
batch-2-learning-34-regular-78,10078.0,1.05,1.0552,0.587,18080.0,2.106,52.72,1.85,4.1824,0.00023226,0.6654,1.6554,8.934e-05,3.702,92.44,1.9642,2140.0,1.814,1.07220054594
batch-2-learning-34-regular-78,7906.0,1.05,0.375,0.4646,6372.0,0.7498,18.76,0.8338,200.0,0.03238,0.9906,1.8918,0.0003112,1.668,41.7,2.0844,2130.0,1.854,1.02263601543
batch-2-learning-34-regular-78,5948.0,1.05,0.333,0.3526,5622.0,0.666,16.66,1.0278,4.4564,0.0007954,0.6868,1.684,0.0003124,2.058,51.4,2.2338,2110.0,1.906,1.03782796148
batch-2-learning-34-regular-78,9860.0,1.05,1.0668,0.5844,17960.0,2.134,53.34,1.87,3.7612,0.0002119,0.6406,1.6238,8.918e-05,3.74,93.66,1.9612,2106.0,1.798,1.0679177294
batch-2-learning-34-regular-78,8600.0,1.05,0.5758,0.509,9728.0,1.15,28.8,1.1552,9.13,0.000943,0.8272,1.6578,0.00016744,2.316,57.88,2.0308,2110.0,1.816,1.04815293935
batch-2-learning-34-regular-78,5834.0,1.046,0.328,0.3468,5518.0,0.6566,16.42,1.025,4.728,0.0008548,0.6534,1.934,0.00035778,2.052,51.24,2.27,2100.0,1.93,1.01718238175
batch-2-learning-34-regular-78,5904.0,1.05,0.488,0.3496,8236.0,0.9758,24.38,1.5386,4.435,0.0005418,0.6124,1.928,0.00023754,3.082,77.1,2.115,2110.0,1.866,1.03125052954
batch-2-learning-34-regular-78,5930.0,1.05,0.331,0.3504,5596.0,0.662,16.56,1.0254,4.644,0.000835,0.6636,1.9194,0.00035826,2.05,51.26,2.2368,2110.0,1.908,1.03554815005
batch-2-learning-34-regular-78,10228.0,1.05,1.058,0.6002,18000.0,2.114,52.84,1.792,6.102,0.0003406,0.7934,1.7292,9.552e-05,3.586,89.8,2.1164,2122.0,1.854,1.03951421749
batch-2-learning-34-regular-78,5998.0,1.05,0.332,0.3538,5614.0,0.6642,16.6,1.025,4.5938,0.0008292,0.6684,1.9064,0.0003569,2.052,51.28,2.2442,2112.0,1.908,1.0256660809
batch-2-learning-34-regular-78,5884.0,1.05,0.3268,0.3478,5522.0,0.6534,16.34,1.022,4.2498,0.0007796,0.6764,1.7404,0.00032608,2.044,51.06,2.1182,2112.0,1.856,1.06851603326
batch-2-learning-34-regular-78,6958.0,1.05,0.3378,0.4118,5706.0,0.6752,16.9,0.8678,16.684,0.003034,0.8992,1.835,0.00033102,1.738,43.4,2.131,2118.0,1.856,1.02436407637
batch-2-learning-34-regular-78,5978.0,1.05,0.4904,0.3538,8278.0,0.9806,24.52,1.5404,4.2948,0.00052366,0.611,1.8646,0.00023104,3.084,77.08,2.1174,2110.0,1.86,1.01461440499
batch-5-learning-34-regular-23,7965.0,1.05,0.498333333333,0.464833333333,8451.66666667,0.996833333333,24.9166666667,1.36566666667,7.67466666667,0.000856083333333,0.616166666667,2.84516666667,0.000325966666667,2.72833333333,68.25,2.953,2116.66666667,1.98666666667,1.03833502065
batch-5-learning-34-regular-23,7860.0,1.05,0.3515,0.460166666667,5975.0,0.7035,17.5833333333,0.927,7.90666666667,0.00121916666667,0.671333333333,2.80266666667,0.0004546,1.85366666667,46.3666666667,2.98166666667,2120.0,1.985,1.06108298455
batch-5-learning-34-regular-23,12345.7142857,1.05,1.01842857143,0.725857142857,17285.7142857,2.03714285714,50.9285714286,1.53414285714,8.29857142857,0.000501085714286,0.756285714286,2.20585714286,0.000129585714286,3.06857142857,76.6857142857,2.878,2120.0,1.80857142857,1.06655165434
batch-5-learning-34-regular-23,9465.71428571,1.05,0.373,0.547285714286,6395.71428571,0.745571428571,18.6285714286,0.853857142857,9.42142857143,0.00133457142857,0.675714285714,3.12442857143,0.000462414285714,1.712,42.7571428571,3.35628571429,2135.71428571,2.01,1.07796690782
batch-5-learning-34-regular-23,9584.28571429,1.05,0.381857142857,0.549857142857,6584.28571429,0.763142857143,19.1142857143,0.865285714286,9.15428571429,0.00126128571429,0.676857142857,2.98671428571,0.000444914285714,1.73228571429,43.2857142857,3.22571428571,2137.14285714,1.94714285714,1.13170383798
batch-5-learning-34-regular-23,8518.33333333,1.05,0.405166666667,0.501666666667,6856.66666667,0.809666666667,20.25,0.942,11.2,0.0015735,0.786333333333,2.5685,0.000354483333333,1.885,47.0666666667,2.85783333333,2113.33333333,1.93,1.05508283493
batch-5-learning-34-regular-23,9391.42857143,1.05,0.508,0.548571428571,8630.0,1.01585714286,25.3857142857,1.24214285714,8.53842857143,0.000917457142857,0.621428571429,2.87157142857,0.0003158,2.48571428571,62.0571428571,3.215,2124.28571429,1.96,1.06580486596
batch-5-learning-34-regular-23,8051.66666667,1.05,0.483666666667,0.4665,8268.33333333,0.967,24.2,1.309,8.005,0.000906166666667,0.640833333333,2.89183333333,0.0003406,2.61666666667,65.4333333333,2.99433333333,2131.66666667,1.99833333333,1.05634793805
batch-5-learning-34-regular-23,9385.71428571,1.05,0.512428571429,0.546857142857,8724.28571429,1.023,25.6142857143,1.25671428571,9.007,0.000974614285714,0.632714285714,3.14857142857,0.000348957142857,2.51142857143,62.8428571429,3.21385714286,2125.71428571,1.95857142857,1.06864789997
batch-5-learning-34-regular-23,7966.66666667,1.05,0.355,0.462666666667,6055.0,0.710333333333,17.75,0.933166666667,8.51,0.001266,0.664166666667,3.07866666667,0.000481816666667,1.864,46.6166666667,3.1665,2128.33333333,2.05666666667,1.03631330757
