Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-1-learning-34-regular-34,2535.0,1.0135,0.1404,0.15075,2360.0,0.28125,7.02,0.9695,3.3205,0.00155875,0.60075,1.70475,0.0007763,1.935,48.4,1.95,2100.0,1.8975
batch-2-learning-89-regular-100,4046.0,1.046,0.16872,0.2408,2834.0,0.3374,8.434,0.8592,4.4328,0.0017064,0.6138,1.9156,0.00081282,1.7198,42.98,2.1148,2100.0,1.864
batch-2-learning-12-regular-34,2697.5,1.055,0.1439,0.1605,2417.5,0.28775,7.195,0.95275,3.58025,0.00182325,0.604,2.031,0.001025275,1.905,47.675,1.964,2100.0,1.915
batch-1-learning-67-regular-23,2367.5,0.9685,0.13735,0.141,2305.0,0.27475,6.875,0.98025,3.49225,0.001555,0.59475,1.947,0.00082725,1.9625,49.075,1.92875,2100.0,1.8675
batch-2-learning-67-regular-89,3798.0,1.0118,0.16256,0.2258,2730.0,0.325,8.128,0.8702,4.2244,0.001587,0.614,1.7884,0.00071732,1.7424,43.56,2.1096,2100.0,1.854
batch-5-learning-1-regular-1,6130.0,1.0315,0.198016666667,0.365166666667,3330.0,0.396,9.90833333333,0.774666666667,8.85433333333,0.002261,0.6095,3.38966666667,0.000950133333333,1.55,38.7,3.16866666667,2100.0,2.085
batch-4-learning-45-regular-78,3952.0,1.0294,0.16078,0.235,2704.0,0.322,8.042,0.857,5.4592,0.0019766,0.5996,2.2926,0.00090806,1.7126,42.82,2.3866,2100.0,1.954
batch-5-learning-78-regular-45,5796.66666667,0.991333333333,0.190833333333,0.345333333333,3208.33333333,0.382,9.54666666667,0.794333333333,8.80716666667,0.00225033333333,0.618333333333,3.3775,0.000930666666667,1.58916666667,39.75,3.10866666667,2100.0,2.07333333333
batch-1-learning-89-regular-23,3452.0,0.9806,0.15362,0.2052,2582.0,0.3076,7.676,0.887,3.7778,0.0014832,0.608,1.769,0.00068914,1.7748,44.36,1.9542,2100.0,1.758
batch-5-learning-56-regular-78,6198.33333333,1.03366666667,0.198783333333,0.369166666667,3341.66666667,0.397666666667,9.96166666667,0.775166666667,9.219,0.0023635,0.610166666667,3.549,0.00101786666667,1.55133333333,38.75,3.231,2100.0,2.11833333333
batch-2-learning-45-regular-1,3936.0,1.0298,0.16632,0.2344,2796.0,0.333,8.328,0.8648,4.276,0.0016458,0.6272,1.822,0.00077112,1.7298,43.22,2.0994,2100.0,1.86
batch-5-learning-34-regular-67,5861.66666667,0.995166666667,0.192166666667,0.349166666667,3228.33333333,0.384,9.58666666667,0.790666666667,8.74966666667,0.00223483333333,0.610833333333,3.39716666667,0.00094435,1.583,39.5833333333,3.1285,2100.0,2.07333333333
