Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
num-800000,stress:cpu_4_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.37375,1.045,23062.5,2.74375,68.6125,1.32,90.375,0.00391875,1.0,0.0205875,8.95e-07,2.6375,65.95,0.01008625,2100.0,0.00129625,1.65324943652
num-800000,stress:cpu_5_io_2_vm_3_vmbytes_1M,17500.0,1.04875,1.3375,1.045,22450.0,2.67125,66.7875,1.28625,294.25,0.0131125,1.0,0.0359125,1.606875e-06,2.57,64.225,0.0181,2100.0,0.0037975,1.60686815354
num-800000,ferret:eyes-2-pyramid-7-selectivity-1,2303.75,1.045625,0.17575,0.136875,2961.25,0.35125,8.78375,1.28375,1.3725,0.00046675,0.9705,0.0421,1.460625e-05,2.5725,64.25,0.037325,2106.25,0.01516,0.982204365252
num-800000,ferret:eyes-2-pyramid-7-selectivity-2,2361.25,1.05875,0.180875,0.140625,3040.0,0.362125,9.0475,1.28875,1.49125,0.000488625,0.96125,0.0587375,1.927875e-05,2.575,64.425,0.0466375,2100.0,0.0162725,0.984205007232
num-800000,stress:cpu_5_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.24875,1.045,20975.0,2.495,62.4125,1.19875,62.1,0.00296375,0.999625,0.021315,1.031e-06,2.3975,59.925,0.0112975,2100.0,0.0014095,1.7103000876
num-800000,ferret:eyes-1-pyramid-16-selectivity-0,3453.75,1.05,0.250875,0.205,4231.25,0.502125,12.55,1.2275,5.7775,0.00135375,0.794875,1.1965,0.000273125,2.4525,61.3125,0.73775,2106.25,0.179125,0.992417043356
num-800000,stress:cpu_2_io_1_vm_1_vmbytes_512K,7183.75,1.05,0.77025,0.4275,12950.0,1.53875,38.5,1.8025,55.425,0.00428125,0.996875,0.169625,1.31375e-05,3.605,90.125,0.0995,2100.0,0.021425,1.00693556492
num-800000,ferret:eyes-1-pyramid-16-selectivity-2,2835.0,1.055,0.2045,0.165625,3498.75,0.40875,10.2275,1.23625,3.1525,0.00088725,0.823375,0.60525,0.000159425,2.47375,61.7875,0.3725,2140.0,0.078475,0.993320936294
num-800000,stress:cpu_2_io_1_vm_4_vmbytes_128K,13662.5,1.04875,1.19375,0.812875,20087.5,2.3875,59.6875,1.46875,5.76625,0.000286625,0.99475,0.02715,1.353e-06,2.93875,73.4375,0.016345,2102.5,0.00249,1.41089730689
num-800000,svm:batch-4-learning-34-regular-12,5031.25,1.02825,0.1675125,0.299625,2816.25,0.334875,8.37625,0.697125,6.81375,0.002095375,0.61225,2.599875,0.000835,1.392,34.825,2.400875,2100.0,1.8525,1.11865818302
num-300000,ferret:eyes-1-pyramid-16-selectivity-0,2340.0,1.05175,0.176125,0.136875,3008.75,0.352125,8.805,1.285,1.39,0.00046275,0.966,0.04745,1.6025e-05,2.57125,64.275,0.044125,2136.25,0.0202125,0.976963543667
num-300000,stress:cpu_5_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.28625,1.045,21587.5,2.56625,64.1875,1.2325,85.9375,0.003995,1.0,0.0185375,8.67625e-07,2.46375,61.625,0.01000875,2100.0,0.00126425,1.59213506518
num-300000,stress:cpu_4_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.35,1.045,22687.5,2.7,67.5,1.3,81.2375,0.00357875,0.999875,0.027375,1.206125e-06,2.5925,64.825,0.01457625,2100.0,0.001871125,1.58378351205
num-300000,stress:cpu_2_io_1_vm_4_vmbytes_128K,13662.5,1.04875,1.105,0.812625,18562.5,2.20625,55.2,1.36,7.08,0.000381375,0.994375,0.03725,2.00775e-06,2.71875,67.95,0.020185,2100.0,0.003575,1.23262085404
num-300000,stress:cpu_2_io_1_vm_1_vmbytes_512K,7157.5,1.04625,0.765125,0.42475,12887.5,1.53125,38.275,1.80125,83.7375,0.00649,0.99975,0.032675,2.57125e-06,3.60625,90.1125,0.01919,2106.25,0.0030525,1.00320042203
num-300000,stress:cpu_5_io_2_vm_3_vmbytes_1M,17275.0,1.0295,1.3125,1.02425,22187.5,2.62375,65.625,1.28375,285.5,0.012875,1.0,0.032025,1.454875e-06,2.5725,64.2875,0.0168175,2112.5,0.00345625,1.60088179403
num-300000,svm:batch-4-learning-34-regular-12,5175.0,1.0405,0.170475,0.30825,2865.0,0.34075,8.51625,0.690625,6.62,0.001970625,0.5835,2.498,0.00081975,1.38175,34.55,2.35275,2100.0,1.82,1.09580867833
num-300000,ferret:eyes-1-pyramid-16-selectivity-2,2343.75,1.06,0.177,0.138375,3005.0,0.35425,8.8575,1.28,1.33375,0.000443375,0.9715,0.039915,1.3225e-05,2.5625,64.075,0.02949625,2117.5,0.010355,0.981335919045
num-300000,ferret:eyes-2-pyramid-7-selectivity-1,2351.25,1.038,0.17475,0.136375,3016.25,0.349875,8.745,1.2825,1.3325,0.000447875,0.965,0.0456,1.56025e-05,2.565,64.125,0.041025,2153.75,0.0164875,0.973302430025
num-300000,ferret:eyes-2-pyramid-7-selectivity-2,2311.25,1.043,0.176625,0.137125,2981.25,0.3535,8.8375,1.29,1.41875,0.000480125,0.96625,0.047525,1.631e-05,2.57875,64.4875,0.03785,2107.5,0.013365,0.979493766493
num-500000,svm:batch-4-learning-34-regular-12,4917.5,1.012125,0.164425,0.292375,2763.75,0.328875,8.22625,0.706625,6.2675,0.00185225,0.573875,2.354625,0.000789875,1.4115,35.3,2.363,2100.0,1.82625,1.11589976423
num-500000,stress:cpu_5_io_2_vm_3_vmbytes_1M,17487.5,1.04875,1.2625,1.04125,21212.5,2.52625,63.1125,1.215,180.75,0.00851375,0.999875,0.038825,1.837375e-06,2.42875,60.7375,0.01996375,2100.0,0.00459125,1.58811657771
num-500000,ferret:eyes-2-pyramid-7-selectivity-2,2311.25,1.0355,0.176625,0.13675,2991.25,0.353625,8.8375,1.29375,1.36375,0.000460625,0.956875,0.0585875,2.005e-05,2.58625,64.6375,0.042225,2113.75,0.0139525,0.975981702867
num-500000,stress:cpu_5_io_0_vm_4_vmbytes_256K,17500.0,1.04875,1.3525,1.045,22750.0,2.71,67.7,1.3,62.475,0.00273,0.999625,0.02481625,1.090625e-06,2.605,65.075,0.013265,2100.0,0.001634625,1.68590194114
num-500000,ferret:eyes-1-pyramid-16-selectivity-0,2321.25,1.046125,0.1765,0.13775,2977.5,0.352875,8.82375,1.2825,1.33875,0.00045175,0.961,0.05065,1.71975e-05,2.565,64.1125,0.048175,2107.5,0.02105,0.979669075492
num-500000,ferret:eyes-2-pyramid-7-selectivity-1,2333.75,1.037,0.174875,0.136375,2993.75,0.349625,8.74,1.2825,1.28875,0.000435375,0.96725,0.0411375,1.413625e-05,2.56625,64.1625,0.037625,2138.75,0.015515,0.979256876455
num-500000,stress:cpu_4_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.35,1.045,22700.0,2.70125,67.5125,1.3,108.5,0.00478125,1.0,0.01982,8.7175e-07,2.59125,64.875,0.01042625,2100.0,0.00134525,1.62041084401
num-500000,stress:cpu_2_io_1_vm_1_vmbytes_512K,7196.25,1.04875,0.769625,0.42575,13000.0,1.54,38.5,1.81,69.475,0.0053425,0.9995,0.0322625,2.485e-06,3.61875,90.4375,0.0177725,2112.5,0.0026625,1.00269729883
num-500000,stress:cpu_2_io_1_vm_4_vmbytes_128K,13662.5,1.04875,1.10875,0.812875,18675.0,2.22,55.4875,1.36375,8.5525,0.0004565,0.99625,0.028025,1.52025e-06,2.73125,68.2375,0.0168325,2105.0,0.002845,1.49699155132
num-500000,ferret:eyes-1-pyramid-16-selectivity-2,2366.25,1.06,0.176875,0.137625,3033.75,0.3535,8.8375,1.2825,1.2625,0.000416625,0.96775,0.04075,1.348e-05,2.56375,64.0875,0.02968,2145.0,0.01065875,0.979831698799
num-600000,ferret:eyes-2-pyramid-7-selectivity-2,2338.75,1.0575,0.17925,0.138875,3022.5,0.35825,8.96375,1.29125,1.375,0.0004555,0.97075,0.04229875,1.406625e-05,2.58375,64.575,0.03375,2106.25,0.0123925,0.982156346652
