Configuration,stresser,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
rate-12,facedetect:eyes-0-pyramid-25-selectivity-2,2490.0,1.0522500000000001,0.19525,0.145625,3338.75,0.39049999999999996,9.751249999999999,1.34,1.8187499999999999,0.0005465,0.8547499999999999,0.26999999999999996,8.0725e-05,2.68,67.0,0.15593750000000003,2137.5,0.050825,1.0380749150189637
rate-12,stress:cpu_0_io_3_vm_1_vmbytes_256K,3335.0,1.0537500000000002,0.1895,0.19837500000000002,3187.5,0.37925000000000003,9.472499999999998,0.9715,12.276250000000003,0.00379125,0.97275,0.2395,7.77375e-05,1.945,48.62499999999999,0.108925,2101.25,0.0289875,1.092430559727126
rate-12,facedetect:eyes-0-pyramid-9-selectivity-0,3676.25,1.05,0.28637500000000005,0.2185,4813.75,0.573125,14.325000000000001,1.31125,7.6000000000000005,0.0015725,0.799125,1.4837500000000001,0.00030412500000000003,2.6225000000000005,65.6,0.87075,2100.0,0.256875,1.0428515319953913
rate-12,stress:cpu_0_io_3_vm_1_vmbytes_256K,3808.75,1.05125,0.206125,0.22662500000000002,3465.0,0.41212499999999996,10.299999999999999,0.9207500000000002,15.187500000000002,0.00435125,0.9693750000000001,0.30287499999999995,9.0125e-05,1.8424999999999998,46.037499999999994,0.1458625,2100.0,0.03552500000000001,1.042373288080924
rate-12,svm:batch-1-learning-89-regular-5,3678.75,1.0575,0.1742625,0.21899999999999997,2931.25,0.34862499999999996,8.705,0.915875,3.70875,0.0014195,0.6578749999999999,1.5067499999999998,0.0005942499999999999,1.8299999999999998,45.775,1.844125,2100.0,1.77375,1.1166186986879625
rate-12,stress:cpu_0_io_3_vm_3_vmbytes_512K,7850.0,1.05,0.395625,0.46449999999999997,6685.0,0.790875,19.7875,0.8542500000000001,223.125,0.033425,0.99925,0.16710000000000003,2.5249999999999997e-05,1.70875,42.699999999999996,0.0935,2112.5,0.0262,1.158970153637972
rate-1,facedetect:eyes-0-pyramid-25-selectivity-2,2538.75,1.0612500000000002,0.198375,0.14837499999999998,3392.5,0.396375,9.9175,1.3362500000000002,1.82125,0.0005352499999999999,0.852625,0.26175000000000004,7.67625e-05,2.6712499999999997,66.8125,0.15892499999999998,2137.5,0.0511,1.019278478980137
rate-1,stress:cpu_0_io_3_vm_1_vmbytes_256K,3455.0,1.05125,0.184875,0.205,3116.25,0.36975,9.24375,0.910875,16.55,0.0053,0.9818749999999999,0.2130625,6.95e-05,1.82125,45.56250000000001,0.106975,2106.25,0.0288375,1.0394870325135808
rate-1,facedetect:eyes-0-pyramid-9-selectivity-0,3672.5,1.05,0.287375,0.218,4845.0,0.575125,14.374999999999998,1.31875,7.461250000000001,0.0015375,0.807125,1.39875,0.000283,2.6375,65.95,0.8569999999999999,2106.25,0.25425,1.0676064452730811
rate-1,stress:cpu_0_io_3_vm_1_vmbytes_256K,3640.0,1.05125,0.19275,0.21649999999999997,3237.5,0.38525000000000004,9.6375,0.9042500000000001,19.85,0.006071249999999999,0.990375,0.144825,4.5512499999999995e-05,1.80625,45.225,0.0795125,2100.0,0.020587499999999998,1.0230074121558754
