Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
rate-12,5578.4,1.0500000000000005,0.49939999999999996,0.33160000000000006,8401.2,0.9982400000000001,24.976,1.5064000000000002,18.5944,0.0022135999999999996,0.8643200000000002,2.4455999999999993,0.00028851999999999995,3.0128,75.32800000000002,1.3133200000000003,2102.4,0.29596,1.0380749150189637
rate-12,5850.0,1.0500000000000005,0.46361538461538465,0.34707692307692306,7813.076923076923,0.927,23.173076923076923,1.3384615384615384,33.40384615384615,0.004276538461538461,0.932423076923077,2.1738461538461538,0.0002776923076923077,2.675384615384615,66.8923076923077,1.0589230769230773,2106.5384615384614,0.23,1.092430559727126
rate-12,6327.5,1.0500000000000005,0.53625,0.3681666666666666,9220.0,1.0729583333333335,26.8125,1.4575000000000002,22.25,0.0024166666666666664,0.8329583333333334,3.60125,0.00039079166666666673,2.915833333333334,72.87083333333332,1.8491666666666668,2148.3333333333335,0.4317083333333334,1.0428515319953913
rate-12,5870.416666666667,1.0500000000000005,0.4722083333333334,0.3459999999999999,8012.916666666667,0.9445416666666668,23.60416666666666,1.366666666666667,27.416666666666668,0.0034229166666666666,0.9106250000000001,2.361666666666667,0.0002925416666666667,2.7329166666666667,68.32083333333333,1.1615416666666665,2122.5,0.23245833333333335,1.042373288080924
rate-12,7301.153846153846,1.0500000000000005,0.46238461538461534,0.4245384615384614,7931.923076923077,0.9241923076923079,23.111538461538462,1.1830384615384617,21.10153846153846,0.0027069230769230764,0.7838461538461536,4.674999999999999,0.0005988461538461539,2.3673076923076923,59.161538461538456,3.3392307692307694,2144.6153846153848,1.9307692307692303,1.1166186986879625
rate-12,11000.0,1.0500000000000005,0.651888888888889,0.6496666666666665,11037.037037037036,1.3033333333333332,32.592592592592595,1.0041481481481482,255.14814814814815,0.02312592592592592,0.9906666666666665,2.3596296296296297,0.0002128518518518519,2.007037037037037,50.17407407407407,0.9628148148148147,2115.185185185185,0.22137037037037036,1.158970153637972
rate-1,5588.888888888889,1.0500000000000005,0.4922222222222221,0.32551851851851843,8450.0,0.984185185185185,24.607407407407404,1.5133333333333339,17.185185185185183,0.002034814814814815,0.8660740740740741,2.2774074074074075,0.00026814814814814816,3.025555555555556,75.65555555555555,1.2334814814814814,2145.925925925926,0.27674074074074073,1.019278478980137
rate-1,5882.857142857143,1.0500000000000005,0.46864285714285725,0.34921428571428564,7893.928571428572,0.9375714285714288,23.428571428571427,1.3432142857142861,27.46785714285715,0.0034875000000000006,0.9242142857142855,1.9710714285714288,0.00024696428571428574,2.6875,67.16428571428573,1.0111785714285715,2103.9285714285716,0.1987857142857143,1.0394870325135808
rate-1,6245.517241379311,1.0493103448275867,0.5272413793103448,0.36720689655172417,8971.379310344828,1.054758620689655,26.36551724137931,1.4365517241379306,20.07586206896551,0.002236896551724138,0.8239655172413791,3.427586206896552,0.00038434482758620687,2.872758620689655,71.8103448275862,1.7686206896551724,2125.5172413793102,0.4134137931034483,1.0676064452730811
rate-1,5746.071428571428,1.0500000000000005,0.4608571428571428,0.34089285714285705,7766.071428571428,0.9214285714285714,23.035714285714285,1.3535714285714282,30.492857142857137,0.003929642857142858,0.9294642857142857,2.0674999999999994,0.0002645357142857143,2.705714285714286,67.63214285714287,1.011,2105.714285714286,0.21564285714285716,1.0230074121558754
rate-1,7126.666666666667,1.0500000000000005,0.4562333333333332,0.41329999999999995,7856.0,0.9125666666666669,22.82333333333333,1.1801,19.103333333333335,0.0024683333333333332,0.7690666666666669,4.553999999999999,0.0005867333333333334,2.357666666666667,58.96333333333334,3.2873333333333337,2152.3333333333335,1.9342,1.1322349935145264
rate-1,10817.0,1.0500000000000005,0.6508333333333335,0.6411999999999999,10990.0,1.3016666666666665,32.54333333333333,1.016833333333333,204.53333333333333,0.018623333333333332,0.9890666666666664,2.2086666666666663,0.00019976666666666668,2.0336666666666665,50.84333333333333,0.8999666666666667,2107.6666666666665,0.20693333333333333,1.0993247185190682
rate-8,5507.777777777777,1.0500000000000005,0.49340740740740724,0.32688888888888895,8313.333333333334,0.9866666666666667,24.677777777777784,1.5103703703703701,16.80037037037037,0.0020204444444444445,0.8521851851851849,2.3618518518518523,0.00028325925925925925,3.021481481481481,75.53703703703702,1.2463333333333337,2105.185185185185,0.28359259259259256,1.1280492832822924
rate-8,5802.4,1.0500000000000005,0.4676400000000001,0.34372,7893.6,0.9354800000000002,23.379999999999995,1.362,35.519999999999996,0.0045148,0.9382799999999999,2.1256,0.00026788000000000007,2.7236000000000002,68.07999999999998,1.0676400000000001,2109.6,0.21576,1.0384175207325508
rate-8,6480.0,1.0500000000000005,0.5386,0.37668,9263.2,1.0776000000000001,26.940000000000005,1.43,22.239999999999995,0.0024016000000000003,0.82572,3.7956,0.00040980000000000004,2.8604000000000003,71.496,1.9123999999999999,2149.6,0.44804,1.060636674509787
rate-8,5874.4,1.0500000000000005,0.4706,0.34387999999999996,8041.6,0.9413999999999999,23.532000000000004,1.3703999999999998,29.243999999999996,0.0036532000000000005,0.9213999999999999,2.216,0.0002732,2.7404000000000006,68.508,1.11068,2135.2,0.22272000000000003,1.033333988009244
rate-8,3427.1724137931033,1.0500000000000005,0.20344137931034484,0.19961724137931036,3492.655172413793,0.4066827586206896,10.166551724137932,1.0643793103448276,9.440000000000001,0.0031506896551724136,0.7266896551724137,2.2713448275862067,0.0008427241379310343,2.127931034482759,53.203448275862065,3.2648275862068963,2142.4137931034484,1.9375862068965515,1.203470359831103
rate-8,10907.692307692309,1.0500000000000005,0.6511153846153849,0.6413461538461539,11073.076923076924,1.3030769230769232,32.55769230769231,1.0156923076923077,254.07692307692307,0.022953846153846155,0.9904999999999997,2.361923076923077,0.00021288461538461538,2.0326923076923076,50.784615384615385,0.9558846153846153,2125.0,0.22288461538461538,1.101818458164145
rate-19,5649.523809523809,1.0500000000000003,0.5092380952380952,0.3352380952380952,8579.52380952381,1.0194761904761906,25.471428571428564,1.5200000000000002,21.366666666666667,0.002495714285714285,0.8642380952380952,2.8533333333333335,0.00033152380952380955,3.0390476190476194,75.96666666666667,1.4642857142857142,2103.3333333333335,0.3316666666666667,0.6848873481319285
rate-19,6062.727272727273,1.0500000000000005,0.4835454545454546,0.35886363636363633,8168.181818181818,0.9675,24.177272727272726,1.3477272727272727,34.24090909090909,0.004205,0.9134090909090908,2.856818181818182,0.0003493636363636363,2.6940909090909093,67.38181818181818,1.3413636363636363,2111.3636363636365,0.272409090909091,0.7078382906815306
rate-19,6427.727272727273,1.0500000000000005,0.5474545454545454,0.37354545454545457,9415.90909090909,1.0940909090909092,27.37272727272727,1.4659090909090908,24.25909090909091,0.002580454545454545,0.8416818181818182,3.7568181818181827,0.00039890909090909104,2.9322727272727263,73.29545454545453,1.9354545454545453,2147.2727272727275,0.4415454545454546,0.7178785428854088
rate-19,6146.363636363636,1.0500000000000005,0.4855,0.36218181818181827,8238.181818181818,0.9710000000000001,24.268181818181816,1.3418181818181818,30.727272727272727,0.003737727272727272,0.9030000000000004,2.831363636363636,0.0003425909090909091,2.6822727272727267,67.06363636363638,1.323636363636364,2121.3636363636365,0.26899999999999996,0.7117358740033645
rate-19,7012.083333333333,1.0500000000000005,0.46470833333333333,0.41654166666666675,7825.833333333333,0.9297499999999999,23.2375,1.1930833333333333,22.45833333333333,0.0029237499999999997,0.7907916666666667,4.826666666666667,0.0006251666666666668,2.3837500000000005,59.61249999999998,3.3504166666666664,2103.75,1.9070833333333332,0.7597598904242393
rate-19,11056.521739130434,1.0500000000000005,0.6652173913043478,0.6495652173913041,11321.739130434782,1.3300000000000003,33.265217391304354,1.0248260869565216,214.30434782608697,0.018947826086956526,0.9869999999999999,2.7282608695652173,0.00024026086956521742,2.05,51.24347826086956,1.102,2125.6521739130435,0.2482173913043478,0.7491650533675728
rate-31,5596.25,1.0500000000000005,0.5081666666666665,0.3259166666666667,8727.916666666666,1.0166250000000001,25.40833333333333,1.5620833333333328,19.029166666666665,0.002185416666666667,0.8542499999999998,2.7312500000000006,0.0003125,3.1224999999999987,78.05416666666666,1.3598749999999997,2147.5,0.3237916666666667,1.0155217992249645
rate-31,5930.357142857143,1.0500000000000005,0.48753571428571435,0.35196428571428573,8213.92857142857,0.9748571428571429,24.36785714285714,1.3889285714285715,40.192857142857136,0.0049025000000000015,0.9423928571428571,2.243928571428571,0.00026978571428571427,2.7778571428571426,69.42857142857143,1.1113214285714288,2105.714285714286,0.22821428571428573,1.1410211611184053
