Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-3-learning-12-regular-2,1.36e+04,0.922,11.8,0,12,23.3,0,0,0,0,0,0,0,0,0.12,0.109,1.5e+04,0.24,5.99,1.1,0.703,27.4,0.00183,0.636,10,0.00067,2.2,55,13.7,1.57e+04,9.39
batch-3-learning-78-regular-2,1.29e+04,0.898,11.3,0,9.88,25,0,0,0,0,0,0,0,0,0.113,0.102,1.43e+04,0.227,5.67,1.11,0.723,24.5,0.00171,0.642,8.86,0.000618,2.23,55.7,13.2,1.58e+04,9.31
batch-5-learning-1-regular-5,1.88e+04,0.973,12.1,0,12.2,18.4,0,0,0,0,0,0,0,0,0.154,0.118,2.46e+04,0.308,7.71,1.31,0.698,48.9,0.00199,0.792,10.3,0.000417,2.62,65.6,21.8,1.99e+04,11.4
batch-5-learning-1-regular-4,1.9e+04,0.986,12.1,0,11.5,18.1,0,0,0,0,0,0,0,0,0.154,0.119,2.47e+04,0.308,7.71,1.3,0.726,47.6,0.00193,0.778,10.7,0.000432,2.59,64.8,21.9,2e+04,11.4
batch-5-learning-1-regular-3,1.84e+04,0.976,11.8,0,13,20.2,0,0,0,0,0,0,0,0,0.15,0.115,2.4e+04,0.301,7.51,1.31,0.717,45,0.00187,0.778,10.1,0.00042,2.61,65.3,21.7,2e+04,11.4
batch-5-learning-1-regular-2,1.93e+04,0.978,12.3,0,14.8,17.7,0,0,0,0,0,0,0,0,0.156,0.12,2.5e+04,0.312,7.79,1.3,0.666,53.7,0.00215,0.798,10.9,0.000438,2.59,64.9,22.7,2.01e+04,11.5
batch-5-learning-1-regular-1,2.11e+04,1.06,12.7,0,11.8,18.7,0,0,0,0,0,0,0,0,0.177,0.134,2.8e+04,0.355,8.87,1.32,0.718,46.6,0.00167,0.781,10.3,0.000368,2.65,66.1,21.9,1.97e+04,11.4
batch-5-learning-45-regular-2,1.98e+04,1.05,12,0,11.2,18.8,0,0,0,0,0,0,0,0,0.16,0.126,2.51e+04,0.319,7.98,1.27,0.617,60.3,0.0024,0.836,9.96,0.000396,2.54,63.4,21.7,1.97e+04,11.4
batch-5-learning-45-regular-3,1.87e+04,0.908,12.3,0,12.9,17.5,0,0,0,0,0,0,0,0,0.147,0.112,2.46e+04,0.294,7.35,1.31,0.635,58.6,0.00239,0.844,9.2,0.000374,2.63,65.7,22,2.09e+04,11.5
batch-5-learning-45-regular-1,1.97e+04,0.973,12.6,0,14.8,18,0,0,0,0,0,0,0,0,0.157,0.123,2.51e+04,0.314,7.84,1.28,0.655,55.4,0.0022,0.802,11,0.000438,2.55,63.8,22.8,2e+04,11.5
batch-5-learning-45-regular-4,1.92e+04,0.971,12.3,0,13,14.6,0,0,0,0,0,0,0,0,0.155,0.12,2.48e+04,0.309,7.73,1.29,0.674,52.8,0.00213,0.798,10.7,0.000432,2.58,64.5,22.6,2e+04,11.4
batch-5-learning-45-regular-5,1.92e+04,0.96,12.3,0,14.8,18.2,0,0,0,0,0,0,0,0,0.154,0.118,2.49e+04,0.307,7.68,1.3,0.688,50.1,0.00201,0.784,10.9,0.000436,2.6,65,22.8,2.03e+04,11.5
batch-4-learning-100-regular-2,1.6e+04,1.02,11.7,0,11.2,21.6,0,0,0,0,0,0,0,0,0.137,0.119,1.84e+04,0.274,6.86,1.15,0.709,32.4,0.00176,0.715,9.32,0.000506,2.31,57.7,16.2,1.68e+04,10
batch-4-learning-100-regular-3,1.6e+04,1.06,11.5,0,10.4,24.4,0,0,0,0,0,0,0,0,0.14,0.122,1.84e+04,0.279,6.98,1.15,0.72,31.3,0.00171,0.708,9.24,0.000503,2.29,57.3,16,1.64e+04,9.97
batch-3-learning-78-regular-3,1.41e+04,1.06,11.2,0,11.3,27,0,0,0,0,0,0,0,0,0.124,0.118,1.49e+04,0.248,6.21,1.06,0.712,24.8,0.00167,0.63,9.3,0.000625,2.11,52.8,13.2,1.5e+04,9.22
batch-4-learning-100-regular-1,1.59e+04,1.03,11.6,0,10.4,21.9,0,0,0,0,0,0,0,0,0.137,0.119,1.83e+04,0.275,6.87,1.15,0.715,32,0.00175,0.716,9.17,0.000501,2.31,57.7,16,1.67e+04,10
batch-4-learning-100-regular-4,1.62e+04,1.06,11.6,0,10.7,24.4,0,0,0,0,0,0,0,0,0.14,0.123,1.85e+04,0.28,7,1.14,0.729,34,0.00184,0.708,9.99,0.000541,2.28,57,16.3,1.65e+04,9.98
batch-4-learning-100-regular-5,1.5e+04,0.95,11.7,0,13.4,15.6,0,0,0,0,0,0,0,0,0.131,0.111,1.78e+04,0.263,6.57,1.18,0.715,32,0.0018,0.703,9.59,0.00054,2.37,59.1,16.2,1.69e+04,9.99
batch-2-learning-45-regular-5,1.3e+04,1.03,11.2,0,10.9,28.1,0,0,0,0,0,0,0,0,0.118,0.114,1.33e+04,0.236,5.9,1.03,0.722,20.4,0.00153,0.608,8.1,0.000607,2.06,51.5,11.9,1.42e+04,8.69
batch-2-learning-45-regular-4,1.27e+04,0.991,11.1,0,9.6,27.9,0,0,0,0,0,0,0,0,0.113,0.11,1.31e+04,0.226,5.66,1.03,0.749,22.1,0.00168,0.63,8.28,0.000632,2.06,51.6,11.8,1.45e+04,8.76
batch-4-learning-56-regular-5,1.64e+04,1.05,11.7,0,18.9,22,0,0,0,0,0,0,0,0,0.141,0.123,1.88e+04,0.282,7.06,1.15,0.711,32.9,0.00175,0.703,9.8,0.000522,2.29,57.3,16.3,1.66e+04,9.99
batch-4-learning-34-regular-4,1.56e+04,1.02,11.6,0,12.3,24.4,0,0,0,0,0,0,0,0,0.137,0.118,1.82e+04,0.275,6.87,1.16,0.655,38,0.00209,0.765,9,0.000495,2.32,58.1,16,1.65e+04,9.99
batch-2-learning-45-regular-1,1.31e+04,1.05,11.1,0,11.2,24.5,0,0,0,0,0,0,0,0,0.119,0.117,1.34e+04,0.239,5.97,1.02,0.692,22.4,0.00168,0.647,8.03,0.0006,2.05,51.2,11.7,1.4e+04,8.74
batch-4-learning-56-regular-2,1.56e+04,0.945,12.2,0,13,15.9,0,0,0,0,0,0,0,0,0.135,0.115,1.84e+04,0.271,6.77,1.18,0.696,35,0.0019,0.696,10.7,0.000582,2.35,58.8,16.9,1.7e+04,10.1
batch-2-learning-45-regular-3,1.22e+04,0.881,11.5,0,11.8,25.2,0,0,0,0,0,0,0,0,0.108,0.102,1.3e+04,0.217,5.42,1.07,0.738,24.6,0.00189,0.607,9.79,0.000753,2.13,53.3,12.2,1.5e+04,8.8
batch-2-learning-45-regular-2,1.23e+04,0.928,11.5,0,20.3,6.47,0,0,0,0,0,0,0,0,0.114,0.106,1.31e+04,0.228,5.7,1.07,0.717,21.8,0.00166,0.629,8.09,0.000616,2.14,53.6,12,1.44e+04,8.71
batch-4-learning-78-regular-5,1.55e+04,1.06,11.2,0,12,17.2,0,0,0,0,0,0,0,0,0.136,0.118,1.78e+04,0.272,6.79,1.15,0.715,31,0.00174,0.707,9.2,0.000515,2.3,57.4,15.9,1.64e+04,9.93
batch-4-learning-34-regular-2,1.47e+04,0.881,11.8,0,11.4,22.7,0,0,0,0,0,0,0,0,0.126,0.104,1.78e+04,0.252,6.3,1.21,0.723,31.6,0.00178,0.71,9.28,0.000522,2.42,60.4,16.4,1.76e+04,10.1
batch-4-learning-78-regular-4,1.48e+04,0.888,11.8,0,10.9,22.9,0,0,0,0,0,0,0,0,0.126,0.105,1.78e+04,0.252,6.31,1.2,0.722,31.9,0.00179,0.709,9.34,0.000526,2.41,60.2,16.4,1.76e+04,10.1
batch-5-learning-34-regular-4,1.83e+04,0.969,11.8,0,11.4,18.1,0,0,0,0,0,0,0,0,0.149,0.114,2.39e+04,0.298,7.46,1.31,0.703,47.3,0.00198,0.793,9.84,0.000411,2.61,65.3,21.7,2e+04,11.3
batch-4-learning-78-regular-3,1.54e+04,1.03,11.3,0,10.5,24.3,0,0,0,0,0,0,0,0,0.133,0.116,1.77e+04,0.267,6.67,1.15,0.708,31.7,0.00179,0.708,9.35,0.000528,2.31,57.7,16,1.66e+04,9.97
batch-5-learning-34-regular-5,1.93e+04,0.966,12.3,0,12.5,19.9,0,0,0,0,0,0,0,0,0.152,0.119,2.47e+04,0.304,7.6,1.28,0.666,53.5,0.00216,0.795,11,0.000446,2.56,64,22.4,2.03e+04,11.5
batch-4-learning-78-regular-2,1.5e+04,0.948,11.7,0,13.8,14.1,0,0,0,0,0,0,0,0,0.132,0.111,1.78e+04,0.265,6.62,1.19,0.717,32.2,0.00181,0.7,9.74,0.000547,2.38,59.5,16.3,1.68e+04,9.99
