Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-2-learning-45-regular-1,17380.0,1.01025,1.195,1.00855,20630.0,2.392,59.79,1.1865,0.9232,6.384,0.0003086,0.84405,0.8504,4.0225e-05,2.3755,59.38,1.4662,2155.0,0.70235,2.14364628566
batch-2-learning-45-regular-1,17152.9411765,1.01517647059,1.00647058824,0.998470588235,17258.8235294,2.01117647059,50.2764705882,1.00682352941,0.382058823529,96.5470588235,0.00557058823529,0.986411764706,1.21482352941,7.02e-05,2.01647058824,50.3823529412,1.88529411765,2147.64705882,0.878529411765,1.81075323953
batch-2-learning-45-regular-1,17286.6666667,1.0128,1.11466666667,0.998533333333,19300.0,2.23066666667,55.7333333333,1.12133333333,0.519266666667,52.36,0.00270733333333,0.9762,1.19926666667,6.134e-05,2.24066666667,56.0533333333,1.99206666667,2168.66666667,0.951333333333,1.65442986752
batch-2-learning-45-regular-1,17442.1052632,1.01831578947,1.21736842105,1.00942105263,21052.6315789,2.43631578947,60.9157894737,1.20842105263,0.920210526316,5.78,0.000273368421053,0.855631578947,0.658105263158,3.06194736842e-05,2.41736842105,60.4368421053,1.22863157895,2164.73684211,0.616505263158,2.08947312249
batch-2-learning-45-regular-1,17525.0,1.0103125,1.1875,1.0091875,20675.0,2.37625,59.4,1.179375,0.906125,7.844375,0.0003821875,0.8726875,0.7341875,3.6375e-05,2.359375,59.025,1.3550625,2174.375,0.713,1.80321185719
batch-2-learning-45-regular-1,17422.7272727,1.01345454545,1.02609090909,1.00990909091,17695.4545455,2.05045454545,51.2636363636,1.01745454545,0.305863636364,108.436363636,0.00610045454545,0.990909090909,0.979136363636,5.47045454545e-05,2.03227272727,50.85,1.60736363636,2155.90909091,0.7115,2.37458998407
batch-2-learning-45-regular-1,17500.0,1.0189,1.10345,1.01685,18995.0,2.207,55.165,1.0855,0.2658,117.355,0.0061595,0.99335,0.78605,4.043e-05,2.171,54.275,1.28105,2150.5,0.62865,2.20680807016
batch-2-learning-45-regular-1,17377.7777778,1.01644444444,1.11333333333,1.01372222222,19116.6666667,2.22666666667,55.6666666667,1.09944444444,0.893722222222,10.2238888889,0.000534777777778,0.914277777778,0.831611111111,4.297e-05,2.20222222222,55.0,1.51672222222,2146.11111111,0.736466666667,1.95234063735
batch-2-learning-45-regular-1,17388.2352941,1.01458823529,1.22235294118,1.01223529412,20988.2352941,2.44411764706,61.1,1.20588235294,0.922705882353,6.17705882353,0.000296117647059,0.849411764706,0.708411764706,3.29411764706e-05,2.41117647059,60.2882352941,1.32229411765,2148.23529412,0.683294117647,1.87929667145
batch-2-learning-45-regular-1,17233.3333333,1.0132,1.0436,1.00473333333,17940.0,2.086,52.1666666667,1.03986666667,0.766866666667,30.0333333333,0.00168466666667,0.973666666667,0.764133333333,4.282e-05,2.08066666667,52.0266666667,1.39973333333,2150.0,0.747133333333,1.6383630842
batch-2-learning-45-regular-1,17305.0,1.00365,1.0629,1.0026,18375.0,2.1265,53.135,1.0635,0.36585,82.08,0.004411,0.99,0.8288,4.3965e-05,2.126,53.17,1.2159,2160.5,0.6021,2.20543614797
batch-2-learning-45-regular-1,17100.0,0.999166666667,1.22666666667,0.998333333333,21025.0,2.4525,61.3,1.23083333333,0.921,7.715,0.000365166666667,0.827333333333,1.19391666667,5.57583333333e-05,2.45833333333,61.475,2.00583333333,2145.83333333,1.05758333333,1.38101758924
batch-2-learning-45-regular-1,16669.2307692,1.01884615385,1.08230769231,0.969692307692,18584.6153846,2.16615384615,54.1307692308,1.12415384615,0.723384615385,32.2846153846,0.00173461538462,0.965153846154,1.06307692308,5.83846153846e-05,2.24615384615,56.1692307692,1.64569230769,2150.0,0.882846153846,1.38399390135
batch-2-learning-45-regular-1,17265.0,1.0146,1.1435,1.0111,19545.0,2.288,57.2,1.132,0.4722,50.675,0.0025665,0.988,0.65095,3.196e-05,2.2625,56.58,1.17345,2136.5,0.58361,2.16153669594
batch-2-learning-45-regular-1,17387.5,1.013,1.079375,1.00925,18587.5,2.161875,54.0375,1.069375,0.745375,33.8125,0.00181375,0.97375,0.894125,4.746875e-05,2.13875,53.48125,1.512375,2153.75,0.77025,1.73933071641
batch-2-learning-45-regular-1,17228.5714286,1.00735714286,1.19142857143,1.00364285714,20428.5714286,2.38071428571,59.5357142857,1.185,0.912142857143,7.18071428571,0.000352428571429,0.818,1.15778571429,5.51928571429e-05,2.36857142857,59.2428571429,1.84885714286,2146.42857143,0.930071428571,1.56687769091
batch-2-learning-45-regular-1,17230.4347826,1.01017391304,1.02095652174,1.00230434783,17565.2173913,2.04217391304,51.0391304348,1.01934782609,0.236391304348,144.217391304,0.00819869565217,0.99547826087,0.679260869565,3.76260869565e-05,2.03913043478,50.9869565217,1.14152173913,2150.86956522,0.536826086957,2.50802131255
batch-2-learning-45-regular-1,17281.8181818,1.00627272727,1.03463636364,1.00386363636,17818.1818182,2.06909090909,51.7272727273,1.03063636364,0.303,118.081818182,0.00662090909091,0.992454545455,1.02313636364,5.72590909091e-05,2.06181818182,51.5454545455,1.16659090909,2151.81818182,0.568227272727,2.34926094963
