Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-3-learning-12-regular-2,14129.0,0.9969,0.9229,0.829,15710.0,1.847,46.15,1.1378,0.8203,12.368,0.0007839,0.8098,1.7741,0.00011355,2.279,56.94,2.635,2124.0,1.4255
batch-3-learning-78-regular-2,13614.2857143,0.996857142857,0.985571428571,0.805285714286,16642.8571429,1.97142857143,49.2857142857,1.23714285714,0.832,14.5814285714,0.000864714285714,0.789,2.28571428571,0.000138271428571,2.47142857143,61.8,3.39714285714,2112.85714286,1.93142857143
batch-5-learning-1-regular-5,15266.6666667,1.03488888889,0.988555555556,0.887444444444,16977.7777778,1.97666666667,49.3888888889,1.11888888889,0.836,14.5211111111,0.000861333333333,0.793555555556,2.45666666667,0.000149955555556,2.24555555556,56.0777777778,3.33555555556,2144.44444444,1.76422222222
batch-5-learning-1-regular-4,15353.8461538,1.00369230769,0.998153846154,0.893692307692,17107.6923077,1.99615384615,49.9230769231,1.13469230769,0.849461538462,12.1407692308,0.000708384615385,0.821461538462,1.73230769231,0.000101669230769,2.27153846154,56.7615384615,2.61153846154,2140.0,1.33430769231
batch-5-learning-1-regular-3,15328.5714286,1.00628571429,0.969857142857,0.898142857143,16500.0,1.93928571429,48.4857142857,1.09378571429,0.8375,12.8085714286,0.000781285714286,0.831928571429,1.68,0.000104121428571,2.18642857143,54.6571428571,2.50785714286,2127.14285714,1.24085714286
batch-5-learning-1-regular-2,15678.5714286,1.007,0.970928571429,0.911285714286,16664.2857143,1.94071428571,48.5214285714,1.07785714286,0.848857142857,11.7528571429,0.000710428571429,0.827071428571,1.64214285714,0.000101442857143,2.15714285714,53.9,2.46357142857,2141.42857143,1.21578571429
batch-5-learning-1-regular-1,15554.5454545,1.01363636364,0.977545454545,0.909363636364,16745.4545455,1.95545454545,48.8909090909,1.08754545455,0.846909090909,12.9845454545,0.000776727272727,0.802545454545,2.06454545455,0.000127836363636,2.17545454545,54.3727272727,2.87272727273,2136.36363636,1.47409090909
batch-5-learning-45-regular-2,15453.8461538,1.00415384615,0.963076923077,0.902384615385,16484.6153846,1.92538461538,48.1615384615,1.08061538462,0.844615384615,12.6930769231,0.000773615384615,0.821461538462,1.76215384615,0.000109369230769,2.15769230769,54.0,2.57692307692,2138.46153846,1.28753846154
batch-5-learning-45-regular-3,14910.0,0.9948,0.9455,0.8682,16220.0,1.889,47.26,1.0994,0.8103,14.15,0.0008797,0.814,2.0111,0.00012965,2.2,54.97,2.865,2140.0,1.5242
batch-5-learning-45-regular-1,15672.7272727,1.02472727273,0.985363636364,0.916181818182,16809.0909091,1.97181818182,49.2909090909,1.08636363636,0.836363636364,12.8254545455,0.000766818181818,0.813272727273,1.93818181818,0.000119163636364,2.17545454545,54.3181818182,2.75818181818,2130.0,1.43154545455
batch-5-learning-45-regular-4,15508.3333333,1.015,0.997333333333,0.899833333333,17150.0,1.99333333333,49.8166666667,1.12275,0.859833333333,11.2716666667,0.0006575,0.822166666667,1.64833333333,9.59583333333e-05,2.24583333333,56.1333333333,2.56,2147.5,1.30783333333
batch-5-learning-45-regular-5,14972.7272727,0.994909090909,0.976181818182,0.875636363636,16681.8181818,1.95454545455,48.8272727273,1.12827272727,0.844363636364,13.1463636364,0.000787363636364,0.811727272727,2.01545454545,0.000122918181818,2.25545454545,56.4090909091,2.83181818182,2133.63636364,1.45809090909
batch-4-learning-100-regular-2,14766.6666667,1.00666666667,0.958666666667,0.862777777778,16411.1111111,1.91888888889,47.9777777778,1.12311111111,0.828555555556,13.1888888889,0.000802333333333,0.810222222222,1.95888888889,0.000119311111111,2.24777777778,56.1666666667,3.10222222222,2134.44444444,1.651
batch-4-learning-100-regular-3,15187.5,1.0425,1.00525,0.88625,17212.5,2.0125,50.3,1.14,0.83525,14.4625,0.000840875,0.789875,2.4625,0.0001458125,2.28125,57.025,3.45,2135.0,1.856375
batch-3-learning-78-regular-3,15120.0,1.0298,1.012,0.8851,17230.0,2.025,50.58,1.1656,0.8491,12.82,0.0007422,0.8111,1.895,0.00011033,2.329,58.22,2.828,2127.0,1.5009
batch-4-learning-100-regular-1,15175.0,0.999,0.953166666667,0.883583333333,16341.6666667,1.90666666667,47.6666666667,1.09025,0.828416666667,12.2258333333,0.000751583333333,0.8095,1.80083333333,0.000111491666667,2.18,54.525,2.74666666667,2139.16666667,1.37508333333
batch-4-learning-100-regular-4,15500.0,1.02836363636,0.996636363636,0.907181818182,17018.1818182,1.99727272727,49.9,1.11363636364,0.846727272727,12.6363636364,0.000748181818182,0.816636363636,1.86,0.000111309090909,2.22909090909,55.7181818182,2.75272727273,2129.09090909,1.422
batch-4-learning-100-regular-5,15327.2727273,1.02472727273,0.985909090909,0.899818181818,16763.6363636,1.97090909091,49.2909090909,1.10672727273,0.850454545455,12.83,0.000767090909091,0.816090909091,1.91218181818,0.000114218181818,2.21636363636,55.3818181818,2.87272727273,2125.45454545,1.47127272727
batch-2-learning-45-regular-5,14800.0,1.0165,0.963125,0.854125,16612.5,1.92375,48.125,1.14675,0.835125,13.1,0.000799125,0.785875,2.18125,0.0001375,2.295,57.3625,3.035,2151.25,1.700625
batch-2-learning-45-regular-4,14850.0,1.023625,1.004125,0.852625,17487.5,2.005,50.1875,1.19,0.845,13.5125,0.00077575,0.783375,2.24,0.0001298875,2.38,59.4875,3.1475,2180.0,1.744
batch-4-learning-56-regular-5,15063.6363636,1.00181818182,0.967090909091,0.882181818182,16490.9090909,1.93454545455,48.3636363636,1.11245454545,0.853272727273,11.5609090909,0.000696272727273,0.81,1.81545454545,0.000108463636364,2.22090909091,55.5454545455,2.86818181818,2129.09090909,1.50054545455
batch-4-learning-34-regular-4,15180.0,1.0142,0.9656,0.8876,16490.0,1.931,48.3,1.0996,0.8427,12.777,0.0007818,0.8028,2.007,0.00012778,2.201,55.04,2.909,2133.0,1.5434
batch-2-learning-45-regular-1,14212.5,0.974875,0.905875,0.8335,15425.0,1.815,45.3,1.09825,0.82375,12.60375,0.000826125,0.7925,2.051375,0.0001368125,2.1975,54.925,2.96125,2127.5,1.679125
batch-4-learning-56-regular-2,14450.0,0.9918,0.9786,0.8474,16660.0,1.958,48.94,1.1776,0.84,12.809,0.0007693,0.8172,1.795,0.00010814,2.353,58.84,2.856,2123.0,1.507
batch-2-learning-45-regular-3,15210.0,1.011,0.9617,0.8858,16500.0,1.924,48.09,1.0972,0.8454,11.776,0.0007189,0.8109,1.8319,0.0001138,2.192,54.81,2.631,2146.0,1.4182
batch-2-learning-45-regular-2,14175.0,1.0,0.934625,0.83675,15812.5,1.8725,46.75,1.132125,0.843375,12.7,0.000810375,0.7915,2.18275,0.0001427375,2.26625,56.625,3.06875,2113.75,1.704
