Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-3-learning-12-regular-2,2840.0,1.0625,0.162125,0.16875,2730.0,0.325,8.1225,1.01,0.71275,3.9225,0.00188625,0.6245,1.93875,0.00097875,2.02,50.5,2.4075,2100.0,2.025
batch-3-learning-78-regular-2,2842.5,1.065,0.161875,0.16925,2720.0,0.324,8.0825,1.0115,0.67925,3.815,0.00183975,0.62775,1.87775,0.00095445,2.02,50.525,2.4075,2100.0,2.0325
batch-5-learning-1-regular-5,2645.71428571,1.06285714286,0.200457142857,0.157428571429,3368.57142857,0.400857142857,10.0214285714,1.33757142857,0.602,8.75285714286,0.00261771428571,0.780285714286,1.21757142857,0.000581285714286,2.67142857143,66.8428571429,2.83142857143,2100.0,1.58414285714
batch-5-learning-1-regular-4,2580.0,1.05857142857,0.196428571429,0.153428571429,3300.0,0.392857142857,9.82571428571,1.35685714286,0.592142857143,8.62571428571,0.00250442857143,0.783857142857,1.201,0.000474028571429,2.71428571429,67.8571428571,2.81142857143,2100.0,1.576
batch-5-learning-1-regular-3,2650.0,1.06142857143,0.200442857143,0.157571428571,3368.57142857,0.401,10.0242857143,1.31257142857,0.595571428571,8.75285714286,0.00256257142857,0.787142857143,1.195,0.000551571428571,2.62428571429,65.6428571429,2.83714285714,2100.0,1.58428571429
batch-5-learning-1-regular-2,2641.42857143,1.05857142857,0.2001,0.157,3362.85714286,0.400285714286,10.0114285714,1.34457142857,0.622571428571,8.84285714286,0.00266657142857,0.772285714286,1.31057142857,0.000633157142857,2.69142857143,67.2571428571,2.83285714286,2100.0,1.57785714286
batch-5-learning-1-regular-1,2648.57142857,1.06285714286,0.200085714286,0.157428571429,3361.42857143,0.399714285714,10.0014285714,1.31685714286,0.601142857143,8.86571428571,0.00265085714286,0.788714285714,1.251,0.000578885714286,2.63428571429,65.8714285714,2.83428571429,2100.0,1.58371428571
batch-5-learning-45-regular-2,2647.14285714,1.06285714286,0.200671428571,0.157571428571,3371.42857143,0.401428571429,10.04,1.33514285714,0.600714285714,8.78714285714,0.00261842857143,0.781857142857,1.22057142857,0.0005807,2.67142857143,66.7857142857,2.83142857143,2100.0,1.58185714286
batch-5-learning-45-regular-3,2581.42857143,1.06142857143,0.195428571429,0.153571428571,3280.0,0.390428571429,9.76142857143,1.35057142857,0.600714285714,8.49285714286,0.00246671428571,0.783428571429,1.16742857143,0.000462685714286,2.69571428571,67.4285714286,2.81,2100.0,1.57857142857
batch-5-learning-45-regular-1,2648.57142857,1.06428571429,0.199914285714,0.157571428571,3360.0,0.399857142857,9.99571428571,1.30871428571,0.602714285714,8.58857142857,0.00255114285714,0.789857142857,1.17485714286,0.000544042857143,2.61857142857,65.4285714286,2.82142857143,2100.0,1.57557142857
batch-5-learning-45-regular-4,2651.42857143,1.06285714286,0.201414285714,0.157714285714,3380.0,0.402285714286,10.0542857143,1.31614285714,0.600428571429,8.69571428571,0.002568,0.787285714286,1.22814285714,0.000570685714286,2.63142857143,65.7857142857,2.83857142857,2100.0,1.58342857143
batch-5-learning-45-regular-5,2647.14285714,1.06428571429,0.201442857143,0.157428571429,3385.71428571,0.402857142857,10.0742857143,1.34457142857,0.613714285714,8.7,0.00251871428571,0.776,1.204,0.000537957142857,2.68714285714,67.1857142857,2.83142857143,2100.0,1.58085714286
batch-4-learning-100-regular-2,2726.0,1.06,0.17522,0.162,2944.0,0.35,8.75,1.1304,0.6436,5.7,0.0020916,0.7052,1.503,0.00072316,2.262,56.54,2.53,2100.0,1.836
batch-4-learning-100-regular-3,2702.0,1.056,0.1746,0.1606,2930.0,0.3488,8.716,1.1594,0.6396,5.808,0.0020122,0.7058,1.5574,0.00062706,2.32,57.98,2.53,2100.0,1.836
batch-3-learning-78-regular-3,2837.5,1.0625,0.161775,0.169,2717.5,0.32375,8.0875,0.971,0.6655,3.565,0.00168925,0.64325,1.71775,0.000857125,1.9425,48.575,2.405,2100.0,2.03
batch-4-learning-100-regular-1,2712.0,1.06,0.17514,0.1614,2940.0,0.3496,8.74,1.1548,0.6852,5.838,0.0022522,0.6996,1.6254,0.00083362,2.312,57.74,2.528,2100.0,1.836
batch-4-learning-100-regular-4,2722.0,1.064,0.17548,0.1622,2948.0,0.3508,8.784,1.1192,0.6468,5.706,0.0020954,0.704,1.5482,0.00074762,2.24,55.94,2.53,2100.0,1.836
batch-4-learning-100-regular-5,2800.0,1.06,0.17998,0.1666,3024.0,0.3598,8.992,1.1248,0.6458,5.89,0.0021018,0.6972,1.568,0.0007564,2.246,56.2,2.552,2100.0,1.846
batch-2-learning-45-regular-5,2840.0,1.06,0.16275,0.16925,2732.5,0.32525,8.14,1.02025,0.6825,3.6,0.00151125,0.63525,1.7455,0.000723725,2.0425,51.075,2.4,2100.0,2.03
batch-2-learning-45-regular-4,2830.0,1.0575,0.16175,0.1685,2717.5,0.32325,8.085,1.01725,0.7015,4.265,0.00176625,0.6345,2.1875,0.00089015,2.0375,50.9,2.4075,2100.0,2.03
batch-4-learning-56-regular-5,2700.0,1.058,0.17256,0.161,2898.0,0.3454,8.626,1.102,0.6382,5.654,0.002266,0.7188,1.522,0.00081414,2.202,55.08,2.514,2100.0,1.832
