Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
num-400000,2242.22222222,0.989222222222,0.326666666667,0.130666666667,5608.88888889,0.653333333333,16.3333333333,2.50555555556,0.955222222222,0.257655555556,4.48544444444e-05,0.839777777778,0.0271322222222,4.84244444444e-06,5.01111111111,125.222222222,0.297777777778,2144.44444444,0.0197611111111
num-200000,2260.0,0.998,0.33275,0.13375,5617.5,0.6645,16.6,2.4925,0.9435,0.32575,5.5175e-05,0.84225,0.036375,6.5225e-06,4.9875,124.5,0.2995,2112.5,0.0296
num-800000,2351.11111111,1.06555555556,0.348333333333,0.139666666667,5862.77777778,0.696722222222,17.4111111111,2.49833333333,0.957388888889,0.251811111111,4.1295e-05,0.819,0.0261827777778,4.36988888889e-06,4.99722222222,124.888888889,0.293833333333,2102.77777778,0.0175508333333
num-100000,2180.0,0.897,0.307,0.1275,5260.0,0.615,15.4,2.42,0.911,0.503,9.025e-05,0.8645,0.0414,7.955e-06,4.84,121.0,0.3065,2155.0,0.0406
num-600000,2403.84615385,1.04561538462,0.348384615385,0.139538461538,5999.23076923,0.696846153846,17.4153846154,2.50230769231,0.947153846154,0.329907692308,5.43407692308e-05,0.855846153846,0.0318161538462,5.295e-06,5.00153846154,125.076923077,0.302615384615,2153.84615385,0.0220253846154
num-900000,2380.5,1.0635,0.34925,0.1405,5916.0,0.6983,17.455,2.4925,0.951,0.307305,4.9975e-05,0.83505,0.033376,5.49435e-06,4.983,124.6,0.2983,2117.0,0.0185205
num-300000,2318.57142857,1.03271428571,0.342285714286,0.137857142857,5752.85714286,0.684571428571,17.1142857143,2.49285714286,0.945714285714,0.325742857143,5.41428571429e-05,0.811142857143,0.0371142857143,6.32857142857e-06,4.97857142857,124.428571429,0.298428571429,2100.0,0.0241
num-700000,2445.0,1.063125,0.344375,0.145125,5798.125,0.689,17.225,2.400625,0.9553125,0.27210625,4.4733125e-05,0.829125,0.0293,4.8978125e-06,4.80625,120.16875,0.2936875,2103.125,0.017883
num-500000,2307.27272727,1.03545454545,0.340636363636,0.137,5736.36363636,0.681272727273,17.0363636364,2.49181818182,0.948818181818,0.305190909091,5.17736363636e-05,0.851636363636,0.0342509090909,5.82e-06,4.98454545455,124.727272727,0.297545454545,2104.54545455,0.01926
num-1000000,2321.73913043,1.03365217391,0.337304347826,0.137043478261,5718.69565217,0.674608695652,16.8608695652,2.46826086957,0.948347826087,0.304760869565,5.17343478261e-05,0.849304347826,0.0324582608696,5.56760869565e-06,4.9352173913,123.391304348,0.298869565217,2121.30434783,0.0178695217391
