Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
hash-8-itr-12-probe-18,17540.0,1.05,1.146,1.04,19380.0,2.294,57.32,1.106,0.8182,19.48,0.0010034,0.6176,4.076,0.0002104,2.21,55.24,2.608,2114.0,0.6462,1.53786989399
hash-8-itr-12-probe-18,17700.0,1.05,1.292,1.036,22060.0,2.584,64.6,1.246,0.8446,12.14,0.0005492,0.3856,4.002,0.000182,2.492,62.32,2.466,2140.0,0.6636,1.47622538979
hash-8-itr-12-probe-18,17140.0,1.05,1.234,1.021,20740.0,2.472,61.74,1.214,0.728,37.72,0.001822,0.8686,4.286,0.0002068,2.422,60.58,2.506,2100.0,0.6454,1.46289352965
hash-8-itr-12-probe-18,17500.0,1.05,1.29,1.04,21700.0,2.58,64.52,1.24,0.8184,11.94,0.0005494,0.417,3.66,0.0001686,2.482,62.02,2.302,2104.0,0.5682,1.51591617562
hash-8-itr-12-probe-18,15500.0,1.05,1.028,0.9212,17260.0,2.054,51.36,1.114,0.7566,46.24,0.00268,0.889,4.536,0.000263,2.23,55.74,2.696,2100.0,0.7078,1.31897380227
hash-8-itr-12-probe-18,15600.0,1.05,1.1,0.9198,18640.0,2.2,55.0,1.194,0.4986,55.28,0.00297,0.8994,5.026,0.00027,2.394,59.76,2.634,2118.0,0.69,1.35879427814
hash-8-itr-12-probe-18,12325.0,1.05,0.981,0.72725,16575.0,1.9625,49.0,1.3525,0.76125,25.5,0.0015375,0.7435,5.3375,0.00032325,2.7025,67.575,3.0375,2115.0,0.78125,1.16872340736
hash-8-itr-12-probe-18,13880.0,1.05,1.048,0.8254,17620.0,2.094,52.36,1.274,0.837,15.16,0.0008602,0.4626,4.842,0.0002752,2.548,63.68,2.928,2102.0,0.7388,1.31506769464
hash-8-itr-12-probe-18,17333.3333333,1.05,1.06166666667,1.03333333333,17850.0,2.125,53.1166666667,1.0285,0.8125,16.7333333333,0.0009435,0.619833333333,3.875,0.000217833333333,2.055,51.4666666667,2.51,2100.0,0.615333333333,1.5633153557
hash-8-itr-12-probe-18,15560.0,1.05,0.9562,0.9206,16180.0,1.912,47.82,1.039,0.3142,114.66,0.007052,0.9496,4.828,0.0002982,2.078,51.94,2.422,2114.0,0.6652,1.40929233733
