ACYC-1,AFREQ-1,EXEC-1,FREQ-1,INST-1,INSTnom%-1,INSTnom-1,IPC-1,L2HIT-1,L2MISS-1,L2MPI-1,L3HIT-1,L3MISS-1,L3MPI-1,PhysIPC%-1,PhysIPC-1,READ-1,TIME(ticks)-1,WRITE-1,ACYC-2,AFREQ-2,EXEC-2,FREQ-2,INST-2,INSTnom%-2,INSTnom-2,IPC-2,L2HIT-2,L2MISS-2,L2MPI-2,L3HIT-2,L3MISS-2,L3MPI-2,PhysIPC%-2,PhysIPC-2,READ-2,TIME(ticks)-2,WRITE-2,ACYC-C,AFREQ-C,EXEC-C,FREQ-C,INST-C,INSTnom%-C,INSTnom-C,IPC-C,L2HIT-C,L2MISS-C,L2MPI-C,L3HIT-C,L3MISS-C,L3MPI-C,PhysIPC%-C,PhysIPC-C,READ-C,TIME(ticks)-C,WRITE-C
14370.0,1.05,0.9265,0.8443,15780.0,1.852,46.34,1.098,0.127,205.1,0.01302,0.9896,2.059,0.0001311,2.197,54.91,1.909,2127.0,0.6553,10606.0,1.049,0.9551,0.6218,16230.0,1.909,47.75,1.572,0.2888,79.79,0.004909,0.9845,1.32278,8.098e-05,3.144,78.62,1.044,2125.0,0.31278,17360.0,1.05,1.189,1.0044,20560.0,2.378,59.43,1.185,0.08652,256.4,0.012428,0.9999,0.06332,3.134e-06,2.369,59.24,0.3275,2155.0,0.02684
12900.0,1.049,1.0213,0.7643,17220.0,2.044,51.11,1.338,0.05054,194.4,0.01128,0.9999,0.034318,1.9766e-06,2.676,66.91,0.2946,2107.0,0.0121103,13850.0,1.0303,1.1671,0.8244,19600.0,2.331,58.32,1.415,0.6705,40.77,0.002074,0.9995,0.022891,1.1683e-06,2.831,70.73,0.2919,2100.0,0.0074928,18211.1111111,1.05,1.31888888889,1.04777777778,22988.8888889,2.63555555556,65.9,1.26333333333,0.28,185.888888889,0.00809555555556,0.999888888889,0.0305155555556,1.35555555556e-06,2.52777777778,63.2,0.306333333333,2182.22222222,0.00867555555556
9108.0,1.0438,0.846,0.5413,14240.0,1.692,42.3,1.563,0.7769,25.06,0.001761,0.989,0.2509,1.767e-05,3.128,78.14,0.5024,2102.0,0.08134,8708.88888889,1.02844444444,0.812666666667,0.514777777778,13744.4444444,1.62555555556,40.6555555556,1.58111111111,0.690555555556,26.2555555556,0.00190888888889,0.988222222222,0.280555555556,2.04555555556e-05,3.16111111111,78.9777777778,0.464555555556,2114.44444444,0.0950888888889,14888.8888889,1.05,1.06333333333,0.871,18200.0,2.12777777778,53.1888888889,1.22888888889,0.689222222222,59.0,0.00323666666667,0.981444444444,1.05688888889,5.79555555556e-05,2.46111111111,61.4666666667,1.818,2137.77777778,0.738444444444
8751.0,1.032,0.9915,0.5193,16700.0,1.982,49.58,1.911,0.3667,39.15,0.002341,0.9991,0.030357,1.8057e-06,3.823,95.55,0.297,2106.0,0.016044,10705.0,1.0352,1.2378,0.6318,20980.0,2.477,61.92,1.957,0.6277,35.4,0.001672,0.9987,0.041973,2.0849e-06,3.916,97.95,0.3048,2118.0,0.0190317,18400.0,1.04666666667,1.31888888889,1.03555555556,23388.8888889,2.63777777778,65.9666666667,1.27,0.405,99.7888888889,0.00427444444444,0.999777777778,0.0262311111111,1.11466666667e-06,2.54111111111,63.5222222222,0.306777777778,2212.22222222,0.00801033333333
12540.0,0.9934,1.0576,0.7462,17770.0,2.114,52.87,1.416,0.243,68.44,0.003877,0.9995,0.038961,2.1707e-06,2.834,70.82,0.3012,2100.0,0.015866,7697.0,0.998,0.7752,0.4577,13020.0,1.551,38.76,1.694,0.7683,7.633,0.0005848,0.9924,0.030099,2.2874e-06,3.39,84.73,0.2976,2101.0,0.015684,17570.0,1.0318,1.243,1.0076,21660.0,2.487,62.17,1.233,0.3292,79.9,0.003665,0.9998,0.024169,1.1254e-06,2.466,61.64,0.3034,2177.0,0.007887
6310.0,1.0056,0.7843,0.3747,13210.0,1.57,39.21,2.095,0.9507,0.3874,2.9161e-05,0.8996,0.03277,2.473e-06,4.194,104.7,0.2988,2105.0,0.01835,8730.0,0.998333333333,0.763888888889,0.517444444444,12888.8888889,1.52777777778,38.1777777778,1.47777777778,0.128222222222,107.777777778,0.00835888888889,0.992888888889,0.765666666667,5.93666666667e-05,2.95444444444,73.8777777778,0.917666666667,2108.88888889,0.769666666667,12733.3333333,1.03088888889,1.13333333333,0.745444444444,19377.7777778,2.26555555556,56.6444444444,1.52222222222,0.221777777778,100.611111111,0.0052,0.996333333333,0.353444444444,1.83444444444e-05,3.04444444444,76.1,0.613,2140.0,0.352222222222
8364.0,1.0095,0.9945,0.4965,16750.0,1.99,49.72,2.007,0.9075,3.81,0.0002267,0.9336,0.2482,1.4714e-05,4.015,100.43,0.4869,2105.0,0.3286,12410.0,0.9701,0.9457,0.7321,16020.0,1.891,47.27,1.292,0.2168,126.8,0.007919,0.9951,0.6079,3.792e-05,2.588,64.7,0.8349,2117.0,0.6088,18388.8888889,1.05,1.25888888889,1.03666666667,22311.1111111,2.52,62.9888888889,1.21444444444,0.302444444444,126.8,0.00563222222222,0.996555555556,0.415777777778,1.87555555556e-05,2.42777777778,60.6888888889,0.763888888889,2208.88888889,0.271333333333
10914.0,1.0342,0.9823,0.6473,16580.0,1.966,49.19,1.515,0.7135,50.05,0.002983,0.9996,0.03123,1.847e-06,3.031,75.79,0.2979,2108.0,0.01607,8922.0,1.0319,1.0722,0.531,17990.0,2.142,53.58,2.014,0.8837,3.298,0.0001841,0.9618,0.11768,6.671e-06,4.028,100.61,0.3881,2100.0,0.10278,18377.7777778,1.05,1.28666666667,1.03666666667,22788.8888889,2.57666666667,64.4,1.24111111111,0.739111111111,40.1111111111,0.00176444444444,0.998777777778,0.0504555555556,2.19155555556e-06,2.48222222222,62.0555555556,0.332,2211.11111111,0.0167188888889
7184.0,0.973,0.633,0.4274,10657.0,1.265,31.64,1.483,0.09056,93.46,0.008814,0.9998,0.029397,2.8763e-06,2.965,74.11,0.2963,2100.0,0.0150743,10001.0,1.0281,0.7796,0.5952,13110.0,1.56,38.99,1.311,0.0671,189.6,0.01446,1.0,0.036809,2.8234e-06,2.623,65.58,0.2979,2099.0,0.015718,16777.7777778,1.01511111111,0.994888888889,0.962888888889,17333.3333333,1.98888888889,49.7333333333,1.03355555556,0.0544,236.333333333,0.0136222222222,1.0,0.0254111111111,1.46922222222e-06,2.06555555556,51.6555555556,0.302888888889,2172.22222222,0.00881333333333
10620.0,0.9878,0.882,0.6299,14860.0,1.763,44.09,1.401,0.05757,194.1,0.01308,0.9995,0.11602,7.71e-06,2.801,70.01,0.341,2106.0,0.03664,12920.0,1.0202,1.18,0.7693,19840.0,2.361,59.03,1.536,0.8908,6.605,0.0003321,0.8724,0.070351,3.499e-06,3.073,76.84,0.3203,2100.0,0.0185634,17777.7777778,1.02022222222,1.25333333333,1.01333333333,21955.5555556,2.50444444444,62.6555555556,1.23777777778,0.141444444444,170.0,0.00773888888889,0.999777777778,0.0455333333333,2.07522222222e-06,2.47333333333,61.8333333333,0.321888888889,2192.22222222,0.0149711111111
