ACYC-1,AFREQ-1,EXEC-1,FREQ-1,INSTnom%-1,INSTnom-1,IPC-1,L2HIT-1,L2MISS-1,L2MPI-1,L3HIT-1,L3MISS-1,L3MPI-1,PhysIPC%-1,PhysIPC-1,READ-1,WRITE-1,ACYC-2,AFREQ-2,EXEC-2,FREQ-2,INSTnom%-2,INSTnom-2,IPC-2,L2HIT-2,L2MISS-2,L2MPI-2,L3HIT-2,L3MISS-2,L3MPI-2,PhysIPC%-2,PhysIPC-2,READ-2,WRITE-2,ACYC-C,AFREQ-C,EXEC-C,FREQ-C,INSTnom%-C,INSTnom-C,IPC-C,L2HIT-C,L2MISS-C,L2MPI-C,L3HIT-C,L3MISS-C,L3MPI-C,PhysIPC%-C,PhysIPC-C,READ-C,WRITE-C
1.46E+05,1.01,0.534,0.499,1.07,26.7,1.07,0.69,103,0.00066,0.444,50.2,0.000321,2.14,53.5,36.5,61.2,1.2E+05,1.04,0.975,0.65,1.95,48.8,1.5,0.59,59.2,0.00033,0.233,41,0.000229,3,75,19.2,39.5,4.18E+05,1.05,0.867,0.86,1.73,43.3,1.01,0.692,239,0.000568,0.273,150,0.000356,2.02,50.4,88.9,175
1.18E+05,0.962,0.546,0.451,1.09,27.3,1.21,0.729,75.5,0.000526,0.445,31.5,0.000219,2.42,60.6,31,48.3,1.08E+05,1.04,0.78,0.527,1.56,39,1.48,0.661,86.4,0.000542,0.493,35.3,0.000222,2.96,74,26.2,36.9,5.71E+05,1.05,0.906,0.939,1.81,45.3,0.965,0.718,422,0.000766,0.443,169,0.000306,1.93,48.2,140,204
1.37E+05,1.01,0.524,0.686,1.05,26.2,0.763,0.735,114,0.00109,0.376,52.7,0.000502,1.53,38.1,40.4,65.5,1.3E+05,1.02,0.584,0.685,1.17,29.2,0.853,0.691,93.5,0.000843,0.264,59.8,0.000539,1.71,42.7,29.1,60.9,2.36E+05,1.01,0.76,0.94,1.52,38,0.808,0.726,154,0.000804,0.309,86,0.00045,1.62,40.4,53.8,105
1.37E+05,0.992,0.864,0.676,1.73,43.2,1.28,0.664,86.5,0.000494,0.495,29.5,0.000169,2.56,63.9,25.4,39.1,1.13E+05,0.993,0.885,0.575,1.77,44.3,1.54,0.709,56.9,0.000327,0.378,29.5,0.00017,3.08,77,16.4,30.6,2.22E+05,1.05,1.11,0.991,2.23,55.7,1.13,0.718,123,0.000495,0.47,44.7,0.000179,2.25,56.3,38.4,57.2
9.77E+04,1.02,0.872,0.555,1.74,43.6,1.57,0.681,67.2,0.000438,0.397,32.9,0.000214,3.14,78.5,19.7,34.6,7.58E+04,1.04,0.761,0.412,1.52,38.1,1.85,0.538,39.8,0.000284,0.313,25.1,0.000179,3.69,92.3,10.4,25.6,1.83E+05,1.02,1.05,0.951,2.1,52.5,1.1,0.712,109,0.00054,0.396,50.4,0.00025,2.21,55.2,35,52.8
1.46E+05,1.01,0.736,0.704,1.47,36.8,1.04,0.717,89.1,0.000585,0.354,47.9,0.000315,2.09,52.2,29.7,48.3,1.26E+05,1.04,0.513,0.611,1.03,25.6,0.84,0.681,110,0.00104,0.427,43.7,0.000413,1.68,42,37.5,58.3,2.56E+05,1.05,0.955,1.04,1.91,47.7,0.921,0.745,158,0.000669,0.366,76.3,0.000324,1.84,46,56.8,88.1
1.53E+05,1.02,0.566,0.542,1.13,28.3,1.05,0.744,97.4,0.00061,0.473,36.8,0.00023,2.09,52.3,33.3,51.2,1.25E+05,1.04,0.895,0.705,1.79,44.8,1.27,0.72,100,0.000629,0.463,39.3,0.000247,2.54,63.5,33,42.3,6.1E+05,1.02,0.974,0.865,1.95,48.7,1.13,0.701,278,0.000404,0.331,151,0.000219,2.25,56.3,101,207
9.62E+04,1.01,0.483,0.472,0.966,24.2,1.02,0.588,80.9,0.000822,0.232,55.4,0.000563,2.05,51.2,23.1,60.2,1.12E+05,1.04,0.428,0.412,0.857,21.4,1.04,0.671,99.2,0.000853,0.405,45.9,0.000395,2.08,51.9,34.2,56.9,2.1E+05,1.05,0.74,0.928,1.48,37,0.798,0.726,134,0.0008,0.295,78,0.000465,1.6,39.9,46.1,97.8
1.13E+05,1.03,0.368,0.372,0.736,18.4,0.989,0.695,84.3,0.000755,0.395,40.8,0.000366,1.98,49.4,35.5,59.6,1.32E+05,1.04,0.763,0.689,1.53,38.1,1.11,0.702,96.2,0.000658,0.342,50.7,0.000347,2.21,55.4,30.7,51.2,3.66E+05,1.05,0.755,0.825,1.51,37.8,0.916,0.716,278,0.000831,0.398,125,0.000375,1.83,45.8,99.9,162
1.72E+05,1.04,0.759,0.824,1.52,37.9,0.92,0.741,110,0.000698,0.343,58.9,0.000373,1.84,46,40.8,58.6,1.12E+05,1.04,0.689,0.431,1.38,34.4,1.6,0.727,49.3,0.000275,0.428,25.4,0.000141,3.2,79.9,15.9,31.3,2.74E+05,1.05,1.03,1.04,2.06,51.6,0.987,0.729,153,0.000564,0.381,73.4,0.000271,1.97,49.4,55.5,87.4
