Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-2-learning-45-regular-1,2.7e+04,0.987,22.6,0,12.9,27.4,0,0,0,0,0,0,0,0,0.208,0.223,2.52e+04,0.416,10.4,0.932,0.8,36.9,0.00146,0.732,8.72,0.000346,1.86,46.6,10.5,1.51e+04,8.97
batch-5-learning-45-regular-5,3.71e+04,1.03,27.6,0,11,22.8,0,0,0,0,0,0,0,0,0.287,0.283,3.76e+04,0.573,14.3,1.01,0.781,65.9,0.00175,0.81,10.8,0.000289,2.02,50.6,13.6,1.64e+04,10.1
batch-5-learning-45-regular-4,3.93e+04,1.01,29.2,0,10.5,15.3,0,0,0,0,0,0,0,0,0.288,0.294,3.85e+04,0.576,14.4,0.98,0.773,67.9,0.00176,0.816,10.7,0.000278,1.96,49,13.3,1.67e+04,9.94
batch-5-learning-45-regular-3,3.63e+04,1.02,26.9,0,9.42,24.4,0,0,0,0,0,0,0,0,0.278,0.275,3.67e+04,0.556,13.9,1.01,0.783,68.3,0.00186,0.827,10.1,0.000274,2.02,50.6,13.2,1.65e+04,10
batch-5-learning-45-regular-2,3.79e+04,1,28.5,0,7.58,24.9,0,0,0,0,0,0,0,0,0.284,0.286,3.77e+04,0.568,14.2,0.995,0.777,66.7,0.00177,0.82,10.3,0.000273,1.99,49.8,13,1.66e+04,9.92
batch-5-learning-45-regular-1,3.91e+04,0.949,29.4,0,9.07,19.4,0,0,0,0,0,0,0,0,0.278,0.279,3.89e+04,0.556,13.9,0.995,0.779,68.2,0.00175,0.789,12.5,0.000322,1.99,49.7,14.4,1.75e+04,10.1
batch-3-learning-89-regular-1,3.09e+04,1.01,24.4,0,14.2,2.47,0,0,0,0,0,0,0,0,0.236,0.247,2.95e+04,0.472,11.8,0.957,0.753,54.8,0.00186,0.767,11.1,0.000377,1.91,47.8,12.2,1.56e+04,9.32
batch-5-learning-89-regular-5,3.85e+04,0.992,29,0,12.8,7.99,0,0,0,0,0,0,0,0,0.285,0.288,3.81e+04,0.57,14.2,0.989,0.773,68.6,0.0018,0.812,11.1,0.000291,1.98,49.4,13.3,1.67e+04,9.95
batch-5-learning-89-regular-4,3.63e+04,0.968,28,0,13.1,21.1,0,0,0,0,0,0,0,0,0.276,0.271,3.71e+04,0.553,13.8,1.02,0.774,69.6,0.00188,0.818,10.8,0.000293,2.04,51,13.4,1.68e+04,10
batch-5-learning-89-regular-3,3.72e+04,0.985,28.2,0,10.1,20.8,0,0,0,0,0,0,0,0,0.283,0.278,3.79e+04,0.567,14.2,1.02,0.785,66.2,0.00175,0.81,10.9,0.000287,2.04,50.9,14.1,1.67e+04,10.1
batch-5-learning-89-regular-2,3.91e+04,1.01,28.6,0,7.32,24.5,0,0,0,0,0,0,0,0,0.284,0.289,3.85e+04,0.568,14.2,0.983,0.782,65.8,0.00171,0.818,10.3,0.000267,1.97,49.2,13.2,1.69e+04,10
batch-5-learning-89-regular-1,3.66e+04,1,27.9,0,10,17.4,0,0,0,0,0,0,0,0,0.284,0.279,3.72e+04,0.568,14.2,1.02,0.774,71.2,0.00192,0.809,11.7,0.000314,2.03,50.8,14,1.64e+04,10
batch-4-learning-34-regular-1,3.73e+04,1.03,27.4,0,8.86,24.9,0,0,0,0,0,0,0,0,0.267,0.281,3.54e+04,0.533,13.3,0.949,0.805,53.4,0.00151,0.76,11.2,0.000317,1.9,47.5,13.3,1.66e+04,9.93
batch-1-learning-56-regular-3,1.94e+04,0.964,17.4,0,19.3,2.83,0,0,0,0,0,0,0,0,0.162,0.168,1.88e+04,0.324,8.11,0.967,0.758,40.9,0.00218,0.568,16.3,0.00087,1.93,48.3,10.1,1.45e+04,8.27
batch-1-learning-56-regular-2,2.16e+04,0.973,18.9,0,12.5,25.9,0,0,0,0,0,0,0,0,0.173,0.184,2.03e+04,0.346,8.64,0.941,0.752,32.4,0.0016,0.681,9.24,0.000455,1.88,47.1,10.3,1.47e+04,8.37
batch-1-learning-56-regular-1,1.97e+04,0.899,18.2,0,11.2,20.9,0,0,0,0,0,0,0,0,0.164,0.163,1.97e+04,0.327,8.18,1,0.766,31.3,0.00159,0.685,8.83,0.000448,2,50.1,10.3,1.51e+04,8.43
