Configuration,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,READ,WRITE,SLOWDOWN
num-100000,1.25,0.99,222000,2.5,1.26,0.744,45,0.000202,0.347,27.3,0.000123,2.53,17.8,31.2,1.3776596364
num-100000,0.959,0.609,139000,1.92,1.58,0.739,45.6,0.000329,0.375,24.7,0.000178,3.15,15.7,24.8,1.1367968463
num-100000,1.08,0.743,188000,2.17,1.46,0.738,57,0.000304,0.395,29.6,0.000158,2.92,19.5,30.2,1.3998440678
num-100000,1.07,0.998,189000,2.15,1.08,0.718,66.6,0.000352,0.323,40.1,0.000212,2.15,24.9,54.3,1.3721486934
num-100000,0.712,0.748,139000,1.42,0.951,0.738,101,0.000732,0.312,58.8,0.000424,1.9,38.3,70.2,1.5215036382
num-100000,1.12,0.972,209000,2.24,1.15,0.601,65.4,0.000313,0.233,43.2,0.000207,2.31,24.4,55.8,1.4419645662
num-100000,1.07,0.972,194000,2.13,1.1,0.684,63.1,0.000326,0.233,42.8,0.000221,2.19,23.2,53.4,1.4336122337
num-100000,1.24,1,247000,2.48,1.24,0.712,44.8,0.000181,0.329,26.8,0.000108,2.48,18.4,37.4,1.5330753024
num-100000,0.678,0.434,92800,1.36,1.56,0.669,35.1,0.000378,0.335,21.3,0.00023,3.13,12.6,22.1,1.1202169488
num-100000,1.19,0.685,526000,2.37,1.73,0.615,59,0.000112,0.313,37.4,0.0000711,3.47,28.8,54.2,3.381466231
num-100000,0.712,0.55,116000,1.42,1.3,0.639,65.3,0.000565,0.283,42.1,0.000364,2.59,19.7,42.9,1.2608607861
num-100000,1.3,0.964,477000,2.59,1.34,0.712,77.9,0.000163,0.429,38.1,0.0000799,2.69,30.9,47.6,2.8327138827
num-100000,1.32,1.01,478000,2.64,1.31,0.68,59.5,0.000125,0.346,37.9,0.0000794,2.62,23.2,40,2.7674378643
num-100000,0.76,0.5,108000,1.52,1.52,0.689,43.1,0.0004,0.408,22.6,0.000209,3.04,15.6,29.5,1.1163113651
num-100000,1.15,0.618,173000,2.3,1.86,0.711,18,0.000104,0.357,10.8,0.0000626,3.72,9.83,18.4,1.2004879463
num-100000,0.824,0.876,123000,1.65,0.941,0.748,114,0.000927,0.411,51.1,0.000414,1.88,40.5,48.5,1.1960002552
num-100000,1.07,0.888,175000,2.13,1.2,0.688,67,0.000383,0.316,39.3,0.000225,2.4,24.3,43.6,1.3105638428
num-100000,1.02,0.904,172000,2.03,1.12,0.683,64.5,0.000375,0.244,43.3,0.000251,2.25,22.7,53.3,1.3593869149
num-100000,1.21,1.03,210000,2.42,1.18,0.703,54.8,0.000261,0.25,38,0.000181,2.36,19.9,43.3,1.335374338
num-100000,1.17,0.955,200000,2.33,1.22,0.705,55.6,0.000278,0.376,29.8,0.000149,2.44,23.4,43.2,1.3375744208
