Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
num-952631,1.04e+05,1.06,12.7,0,12.9,4.25,0,0,0,0,0,0,0,0,0.338,0.135,2.61e+05,0.677,16.9,2.5,0.947,11.9,4.55e-05,0.896,1.22,4.68e-06,5,125,0.804,9.64e+04,0.38
num-147368,1.7e+04,0.968,11.1,0,11.8,17.7,0,0,0,0,0,0,0,0,0.261,0.108,4.12e+04,0.522,13,2.42,0.902,3.77,9.14e-05,0.665,1.23,3e-05,4.84,121,1.32,1.98e+04,0.221
num-763157,8.42e+04,1.06,12.6,0,14,5.24,0,0,0,0,0,0,0,0,0.33,0.133,2.08e+05,0.66,16.5,2.47,0.935,11.7,5.62e-05,0.801,2.29,1.1e-05,4.95,124,2.17,7.89e+04,0.495
num-100000,1.2e+04,0.977,10.5,0,12,20.3,0,0,0,0,0,0,0,0,0.244,0.102,2.87e+04,0.487,12.2,2.38,0.878,3.47,0.000121,0.709,0.973,3.39e-05,4.76,119,0.926,1.47e+04,0.17
num-242105,2.74e+04,1.05,11.7,0,12.4,12.6,0,0,0,0,0,0,0,0,0.299,0.122,6.69e+04,0.597,14.9,2.44,0.91,5.53,8.27e-05,0.795,1.09,1.63e-05,4.88,122,1.45,2.8e+04,0.228
num-478947,5.39e+04,1.05,12.5,0,13.4,5.5,0,0,0,0,0,0,0,0,0.323,0.132,1.32e+05,0.646,16.2,2.45,0.919,9.57,7.24e-05,0.742,2.42,1.83e-05,4.9,123,2.63,5.11e+04,0.461
num-621052,7.02e+04,1.04,12.8,0,14.1,6.24,0,0,0,0,0,0,0,0,0.325,0.133,1.71e+05,0.65,16.2,2.44,0.926,11.3,6.61e-05,0.746,2.79,1.63e-05,4.88,122,2.8,6.59e+04,0.571
num-905263,9.95e+04,1.05,12.7,0,15.3,4.4,0,0,0,0,0,0,0,0,0.331,0.133,2.47e+05,0.662,16.6,2.48,0.932,14.6,5.91e-05,0.792,2.79,1.13e-05,4.97,124,2.47,9.33e+04,0.591
num-1000000,1.09e+05,1.06,12.7,0,13,4.02,0,0,0,0,0,0,0,0,0.334,0.134,2.72e+05,0.669,16.7,2.5,0.944,12.9,4.76e-05,0.825,2.23,8.21e-06,4.99,125,1.24,1.02e+05,0.511
num-810526,9.01e+04,1.05,12.8,0,26.2,4.31,0,0,0,0,0,0,0,0,0.332,0.135,2.22e+05,0.664,16.6,2.47,0.918,16.3,7.31e-05,0.806,2.47,1.11e-05,4.94,123,2.58,8.37e+04,0.568
num-194736,2.15e+04,1.04,11,0,12.3,16.7,0,0,0,0,0,0,0,0,0.283,0.114,5.32e+04,0.567,14.2,2.48,0.931,3.21,6.04e-05,0.754,0.775,1.46e-05,4.96,124,0.977,2.35e+04,0.135
num-384210,4.2e+04,1.06,11.9,0,12.2,8.92,0,0,0,0,0,0,0,0,0.315,0.127,1.04e+05,0.63,15.8,2.49,0.941,5.33,5.11e-05,0.89,0.571,5.46e-06,4.97,124,0.404,4.15e+04,0.173
num-289473,3.23e+04,1.06,11.8,0,14.1,11.9,0,0,0,0,0,0,0,0,0.307,0.125,7.94e+04,0.614,15.4,2.46,0.926,5.17,6.51e-05,0.794,1.03,1.3e-05,4.92,123,1.02,3.23e+04,0.219
num-573684,6.34e+04,1.05,12.5,0,13.5,6.12,0,0,0,0,0,0,0,0,0.322,0.13,1.57e+05,0.645,16.1,2.47,0.933,9.11,5.81e-05,0.83,1.49,9.48e-06,4.94,124,0.947,6.08e+04,0.359
num-715789,7.96e+04,1.06,12.7,0,14.4,4.69,0,0,0,0,0,0,0,0,0.331,0.134,1.96e+05,0.663,16.6,2.47,0.927,12.7,6.46e-05,0.799,2.43,1.24e-05,4.93,123,2.84,7.41e+04,0.547
num-336842,3.75e+04,1.06,11.9,0,12.5,10.3,0,0,0,0,0,0,0,0,0.311,0.126,9.25e+04,0.622,15.6,2.47,0.922,6.35,6.87e-05,0.781,1.36,1.47e-05,4.94,123,2.06,3.72e+04,0.273
num-526315,5.96e+04,1.05,12.6,0,14.6,6.6,0,0,0,0,0,0,0,0,0.325,0.133,1.46e+05,0.649,16.2,2.45,0.916,11,7.55e-05,0.728,2.94,2.02e-05,4.89,122,2.74,5.62e+04,0.559
num-857894,9.4e+04,1.07,12.7,0,13.3,4.73,0,0,0,0,0,0,0,0,0.336,0.135,2.34e+05,0.671,16.8,2.49,0.938,12.4,5.32e-05,0.822,2.17,9.29e-06,4.98,125,1.68,8.72e+04,0.513
num-431578,4.91e+04,1.02,12.6,0,18.9,6.73,0,0,0,0,0,0,0,0,0.314,0.129,1.2e+05,0.628,15.7,2.44,0.904,10.4,8.72e-05,0.687,2.79,2.33e-05,4.88,122,2.83,4.77e+04,0.483
num-668421,7.38e+04,1.06,12.6,0,16.1,5.9,0,0,0,0,0,0,0,0,0.329,0.133,1.83e+05,0.658,16.4,2.48,0.931,10.9,5.96e-05,0.771,2.44,1.33e-05,4.96,124,2.29,6.95e+04,0.496
