Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C4res%,C5res%,C6res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,Proc Energy (Joules),READ,TIME(ticks),WRITE,Slowdown
num-800000,1.10E+06,1.01,97.4,0,2.64,0,0,0,0,0,0,0,0,1.27,0.982,1.42E+06,2.55,63.7,1.3,0.655,525,0.000369,0.669,168,0.000118,2.6,64.9,2.19E+03,123,1.39E+05,133,1.410587458
num-800000,1.16E+06,1.01,99.5,0,0.531,0,0,0,0,0,0,0,0,1.2,1,1.39E+06,2.39,59.9,1.2,0.652,628,0.000452,0.484,308,0.000222,2.39,59.9,2.26E+03,162,1.45E+05,229,1.467808596
num-800000,8.72E+05,1.01,85.5,0,14.1,0,0,0,0,0,0,0,0,1.05,0.863,1.06E+06,2.1,52.6,1.22,0.696,454,0.000427,0.486,218,0.000205,2.44,60.9,1.89E+03,142,1.26E+05,239,1.282361652
num-800000,1.17E+06,1.01,99.8,0,0.18,0,0,0,0,0,0,0,0,1.18,1.01,1.38E+06,2.36,59,1.17,0.676,552,0.000401,0.492,264,0.000192,2.35,58.7,2.26E+03,158,1.46E+05,259,1.47671035
num-800000,1.03E+06,1.01,94.5,0,5.47,0,0,0,0,0,0,0,0,1.15,0.954,1.25E+06,2.31,57.7,1.21,0.656,533,0.000426,0.449,277,0.000221,2.42,60.5,2.11E+03,145,1.36E+05,230,1.374245177
num-800000,1.08E+06,1.01,96.9,0,3.05,0,0,0,0,0,0,0,0,1.26,0.978,1.40E+06,2.53,63.1,1.29,0.693,518,0.000371,0.593,204,0.000146,2.58,64.5,2.18E+03,135,1.38E+05,150,1.400488828
num-800000,6.53E+05,1.01,66.4,0,32.6,0,0,0,0,0,0,0,0,0.794,0.672,7.72E+05,1.59,39.7,1.18,0.687,737,0.000955,0.631,234,0.000304,2.37,59.1,1.62E+03,185,1.21E+05,186,1.230531122
num-800000,1.18E+06,0.941,99.8,0,0.186,0,0,0,0,0,0,0,0,1.08,0.939,1.36E+06,2.16,54.1,1.15,0.673,557,0.000409,0.412,305,0.000224,2.3,57.6,2.05E+03,169,1.57E+05,297,1.594793276
num-800000,1.11E+06,1.01,96.1,0,3.77,0,0,0,0,0,0,0,0,0.944,0.97,1.08E+06,1.89,47.2,0.973,0.711,1.07E+03,0.000989,0.584,371,0.000345,1.95,48.7,2.17E+03,295,1.43E+05,318,1.442962815
num-800000,1.17E+06,0.961,99.8,0,0.241,0,0,0,0,0,0,0,0,1.1,0.959,1.34E+06,2.2,55,1.15,0.661,606,0.000452,0.416,333,0.000248,2.3,57.4,2.12E+03,174,1.52E+05,288,1.543911589
