feature,LR-1,LR-2,LS-1,LS-2,EN-1,EN-2,BR-1,BR-2,nn
AFREQ,0.008071422576904297,0.27703237533569336,0.14957690238952637,1.2574424743652344,0.1263582706451416,1.1857988834381104,0.009320497512817383,0.43662309646606445,42.52915596961975
EXEC,0.006750822067260742,0.33636927604675293,0.14130496978759766,1.2993452548980713,0.14105439186096191,1.2228507995605469,0.011631011962890625,0.8365776538848877,39.854599952697754
FREQ,0.005005836486816406,0.23582673072814941,0.12429046630859375,0.9996170997619629,0.12520575523376465,1.0027098655700684,0.028044939041137695,0.8781969547271729,41.361743450164795
INST,0.00608515739440918,0.22892141342163086,0.14652180671691895,1.048295259475708,0.15397071838378906,1.0790989398956299,0.010430335998535156,0.5051834583282471,40.731109380722046
INSTnom%,0.005346775054931641,0.23231887817382812,0.12892365455627441,1.1928532123565674,0.129591703414917,1.3376328945159912,0.009892702102661133,0.5243985652923584,42.501731395721436
IPC,0.0053708553314208984,0.23656392097473145,0.13202667236328125,1.2124300003051758,0.1295013427734375,1.2021498680114746,0.009998559951782227,0.6702072620391846,41.701154947280884
L2MISS,0.005010843276977539,0.2189774513244629,0.12049341201782227,0.9478070735931396,0.11927366256713867,0.9444525241851807,0.014083623886108398,0.6394851207733154,41.64773201942444
L2MPI,0.014930486679077148,0.3929259777069092,0.1271517276763916,1.1508469581604004,0.11963462829589844,1.0158653259277344,0.009778738021850586,0.6231427192687988,41.99996852874756
L3HIT,0.005358219146728516,0.2740330696105957,0.12732267379760742,1.1127254962921143,0.12546038627624512,1.096430778503418,0.009476900100708008,0.5004751682281494,42.29381227493286
L3MISS,0.0053844451904296875,0.2931549549102783,0.1478278636932373,6.1486499309539795,0.146073579788208,3.23354172706604,0.010174751281738281,0.4918534755706787,42.07358407974243
L3MPI,0.005537271499633789,0.258725643157959,0.13992595672607422,1.35072922706604,0.1375436782836914,1.3458809852600098,0.009575128555297852,0.41028571128845215,42.4933123588562
PhysIPC%,0.0050928592681884766,0.2920706272125244,0.1301555633544922,1.2235305309295654,0.12997651100158691,1.2222857475280762,0.010034799575805664,1.0732033252716064,42.80531430244446
MEM,0.014319896697998047,0.28890323638916016,0.12992143630981445,2.13443660736084,0.12848281860351562,2.092697858810425,0.011333465576171875,0.4660632610321045,43.46150016784668
r2
AFREQ,0.4276838338732739,0.43957428543439026,0.4242542059375194,0.006456386729602026,0.4241936555633731,0.006456377712306116,0.43378167986437266,0.45306932002454603,-0.08336480301793148
EXEC,0.9771390436649504,0.9851402204343853,0.9633820003857787,0.19260166380886234,0.9590119485571751,0.19245880678788618,0.9771528637957505,0.9846148956627617,0.9850485518808673
FREQ,0.946976553982583,0.9621413593903999,0.83680077719211,0.2588558851852527,0.8318539263721666,0.2588513209099267,0.9461498032267376,0.961303274690618,0.9617960115492502
INST,0.9371501697148711,0.9662553343661003,0.8794173318956096,0.06767223873153438,0.8753913102731755,0.06767064903995801,0.9357582370942253,0.9649951273728852,0.9639378152890627
INSTnom%,0.977137033427293,0.9851333112130328,0.9633875097562419,0.19262021690891462,0.961486321592469,0.19254878194273595,0.9771509025493897,0.9846112319997008,0.9846822046123915
IPC,0.9539116346392831,0.9823365889824361,0.890326346682511,0.08694751301154846,0.8843063678864393,0.08694526787530643,0.9539548920891183,0.9819391302595366,0.9817719237587381
